Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time to 'Declaration FOR_APPROVAL by SUPERVISOR' since the 'Declaration SUBMITTED by EMPLOYEE' activity is performed,The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by SUPERVISOR',0 days 00:00:03,
Average time it takes the 'Declaration FOR_APPROVAL by SUPERVISOR' to be done when 'Declaration APPROVED by ADMINISTRATION' activity is performed before,The average of the duration between activity Declaration APPROVED by ADMINISTRATION and activity Declaration FOR_APPROVAL by SUPERVISOR for cases where activity Declaration FOR_APPROVAL by SUPERVISOR occurs,,
Average time between the 'Declaration FOR_APPROVAL by SUPERVISOR' and 'Declaration APPROVED by BUDGET OWNER' activities,The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration APPROVED by BUDGET OWNER',,
Time until 'Declaration FOR_APPROVAL by SUPERVISOR' activity is performed after the 'Declaration FINAL_APPROVED by SUPERVISOR' activity,The sum of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Declaration FOR_APPROVAL by SUPERVISOR',,
Average time for 'Declaration FOR_APPROVAL by SUPERVISOR' grouped by 'concept:name' of 'staff member' and 'director' departments,"ERROR: computing metric {'begin': ""activity == 'Declaration FOR_APPROVAL by SUPERVISOR'"", 'end': '', 'aggregation': 'average', 'group_by': 'concept:name', 'filter': ""concept:name == 'staff member' or concept:name == 'director'""}",,
Average waiting time to 'Declaration FOR_APPROVAL by SUPERVISOR' when 'Declaration APPROVED by ADMINISTRATION' activity is not performed before,The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and the end of case where activity 'Declaration APPROVED by ADMINISTRATION does not occur,0 days 19:02:47,
Total time between the 'Declaration FOR_APPROVAL by SUPERVISOR' and the 'Declaration REJECTED by ADMINISTRATION' activities when the 'Declaration REJECTED by ADMINISTRATION' activity has a greater time duration,The sum of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration REJECTED by ADMINISTRATION',,
Total time to 'Declaration FOR_APPROVAL by SUPERVISOR' after the 'Declaration FOR_APPROVAL by ADMINISTRATION' activity,The sum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration FOR_APPROVAL by SUPERVISOR',,
Average time it takes 'Declaration FOR_APPROVAL by SUPERVISOR' after the 'Declaration FOR_APPROVAL by BUDGET OWNER' is not performed,The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and the end of case where activity 'Declaration FOR_APPROVAL by BUDGET OWNER does not occur,0 days 19:02:47,
Total time for 'Declaration FOR_APPROVAL by SUPERVISOR' when performed before 'Declaration FOR_APPROVAL by ADMINISTRATION' activity,The sum of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration FOR_APPROVAL by ADMINISTRATION',,
Average time to 'Declaration FOR_APPROVAL by SUPERVISOR' when performed after the 'Declaration FOR_APPROVAL by PRE_APPROVER' activity with a smaller time duration,The average of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and activity 'Declaration FOR_APPROVAL by SUPERVISOR',,
Average time between 'Declaration FOR_APPROVAL by SUPERVISOR' when following 'Declaration FOR_APPROVAL by PRE_APPROVER' and preceding 'Declaration REJECTED by PRE_APPROVER',The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration REJECTED by PRE_APPROVER',,
Time from 'Declaration FOR_APPROVAL by SUPERVISOR' to 'Declaration FINAL_APPROVED by SUPERVISOR' when 'Declaration REJECTED by ADMINISTRATION' activity is not present,The sum of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',,
Average time it takes the 'Declaration FOR_APPROVAL by SUPERVISOR' to be done when 'Declaration SAVED by EMPLOYEE' activity is performed before,The average of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by SUPERVISOR',,
Average time for 'Declaration FOR_APPROVAL by SUPERVISOR' activity in variants where 'Declaration APPROVED by ADMINISTRATION -> Declaration FOR_APPROVAL by SUPERVISOR -> Declaration FINAL_APPROVED by SUPERVISOR' occurs,The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and the end of case where activity 'Declaration APPROVED by ADMINISTRATION occurs,,
Average time between 'Declaration FOR_APPROVAL by SUPERVISOR' when following 'Declaration APPROVED by ADMINISTRATION' and 'Declaration REJECTED by PRE_APPROVER' activities,The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration REJECTED by PRE_APPROVER',,
Time until 'Declaration FOR_APPROVAL by SUPERVISOR' when 'Declaration REJECTED by PRE_APPROVER' activity occurs,The sum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration FOR_APPROVAL by SUPERVISOR',,
Average time it takes the 'Declaration FOR_APPROVAL by SUPERVISOR' to be done after 'Declaration REJECTED by ADMINISTRATION' activity,The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration FOR_APPROVAL by SUPERVISOR',,
Average time between 'Declaration FOR_APPROVAL by SUPERVISOR' and 'Declaration FINAL_APPROVED by SUPERVISOR' when 'Declaration FOR_APPROVAL by SUPERVISOR' has a greater time duration,The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',,
