Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'SW-Reviewer Declined' to 'SW-AE Assign Reviewers',The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-AE Assign Reviewers',"17 days, 2:14:47.600000",
Total time elapsed from 'SW-Reviewer Declined' to 'SW-Awaiting AE Recommendation',The sum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Awaiting AE Recommendation',"1133 days, 14:02:19",
Minimum time between 'SW-Reviewer Declined' and 'SW-Awaiting EIC Decision',The minimum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Awaiting EIC Decision',"30 days, 6:57:50",
Average time for 'SW-Reviewer Declined' to be followed by 'Reviewer Invitation Reminder 1',The average of the duration between activity 'SW-Reviewer Declined' and activity 'Reviewer Invitation Reminder 1',"86 days, 21:30:12.640000",
Total resolution time of 'SW-Reviewer Declined' in the review process,The sum of the duration between activity SW-Reviewer Declined and the end of the case,"5614 days, 6:52:14",
Average waiting time to the 'SW-Reviewer Agreed' after 'SW-Reviewer Declined',The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Reviewer Agreed',"19 days, 3:16:39.375000",
Total time it takes 'SW-Reviewer Declined' to lead to a 'SW-EIC Major Revision' decision,The sum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-EIC Major Revision',"1050 days, 14:37:58",
Minimum time it takes from 'SW-Reviewer Declined' to 'SW-Reviewer Agreed',The minimum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Reviewer Agreed',14:04:35,
Total time for 'SW-Reviewer Declined' to impact the decision of 'SW-EIC Reject & Resubmit',"ERROR: computing metric {'begin': ""activity == 'SW-Reviewer Declined'"", 'end': ""activity == 'SW-EIC Reject & Resubmit'"", 'aggregation': 'total'}",,
Average time it takes for a manuscript to go from 'SW-Reviewer Declined' to 'Revised Manuscript Submission Confirmation',The average of the duration between activity 'SW-Reviewer Declined' and activity 'Revised Manuscript Submission Confirmation',"169 days, 15:55:15.933333",
Minimum resolution time of 'SW-Reviewer Declined' before reaching 'SW-Awaiting AE Assignment',The minimum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Awaiting AE Assignment',,
Time until 'SW-Reviewer Declined' from 'Original Manuscript Submission Confirmation',The sum of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Reviewer Declined',"696 days, 14:55:02",
Time from 'SW-Reviewer Declined' to 'SW-Reviewer Selection is now due',The sum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Reviewer Selection is now due',"5 days, 8:55:22",
Time of 'SW-Reviewer Declined' cycle within the review process variants,"ERROR: computing metric {'begin': ""activity == 'SW-Reviewer Declined'"", 'end': '', 'aggregation': 'total', 'group_by': 'variant'}",,
