Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from SW-Reviewer Declined to SW-Awaiting EIC Decision,The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Awaiting EIC Decision',72 days 08:34:03.517241,
Average time between SW-Reviewer Declined and SW-Awaiting AE Recommendation,The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Awaiting AE Recommendation',66 days 16:21:18.764706,
Average time until SW-Reviewer Declined is performed after SW-AE Assign Reviewers,The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Declined',15 days 10:04:55.178571,
Average time to SW-Reviewer Declined grouped by case:concept:name,"ERROR: computing metric {'begin': ""activity == 'SW-Reviewer Declined'"", 'end': '', 'aggregation': 'average', 'group_by': 'case:concept:name'}",,
Average time for SW-Reviewer Declined,The average of the duration between activity SW-Reviewer Declined and the end of the case,193 days 14:18:21.172414,
Average time since SW-Reviewer Declined and SW-AE Assign Reviewers are performed,The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Declined',15 days 10:04:55.178571,
Average waiting time to SW-Reviewer Declined,The average of the duration between the start of the case and activity 'SW-Reviewer Declined',24 days 05:44:47.275862,
Average time it takes SW-Reviewer Declined after the execution of SW-AE Assign Reviewers,The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Declined',15 days 10:04:55.178571,
Average time it takes SW-Reviewer Declined to be done,The average of the duration between the start of the case and activity 'SW-Reviewer Declined',24 days 05:44:47.275862,
Total time from SW-Reviewer Declined to SW-EIC Major Revision,The sum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-EIC Major Revision',1050 days 14:37:58,
Total time between SW-Reviewer Declined and SW-Awaiting EIC Decision,The sum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Awaiting EIC Decision',2098 days 08:27:42,
Total time until SW-Reviewer Declined is performed after SW-Reviewer Selection is due in 1 week,The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Declined',362 days 14:46:55,
Total time to SW-Reviewer Declined grouped by case:concept:name,"ERROR: computing metric {'begin': ""activity == 'SW-Reviewer Declined'"", 'end': '', 'aggregation': 'total', 'group_by': 'case:concept:name'}",,
Total time for SW-Reviewer Declined,The sum of the duration between activity SW-Reviewer Declined and the end of the case,5614 days 06:52:14,
Total time since SW-Reviewer Declined and SW-Awaiting AE Recommendation are performed,The sum of the duration between activity 'SW-Awaiting AE Recommendation' and activity 'SW-Reviewer Declined',,
Total waiting time to SW-Reviewer Declined,The sum of the duration between the start of the case and activity 'SW-Reviewer Declined',702 days 22:38:51,
Total time it takes SW-Reviewer Declined after the execution of SW-Reviewer Selection is now due,The sum of the duration between activity 'SW-Reviewer Selection is now due' and activity 'SW-Reviewer Declined',71 days 19:51:03,
Total time it takes SW-Reviewer Declined to be done,The sum of the duration between the start of the case and activity 'SW-Reviewer Declined',702 days 22:38:51,
Total resolution time of SW-Reviewer Declined,The sum of the duration between activity SW-Reviewer Declined and the end of the case,5614 days 06:52:14,
Minimun time between SW-Reviewer Declined and SW-AE Assign Reviewers,The minimum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Declined',0 days 00:17:25,
Minimun time until SW-Reviewer Declined is performed after SW-Reviewer Selection is 3 days late,The minimum of the duration between activity 'SW-Reviewer Selection is 3 days late' and activity 'SW-Reviewer Declined',2 days 01:21:03,
Minimun time to SW-Reviewer Declined grouped by case:concept:name,"ERROR: computing metric {'begin': ""activity == 'SW-Reviewer Declined'"", 'end': '', 'aggregation': 'minimum', 'group_by': 'case:concept:name'}",,
