Name;Metric;Value;Agrupation
Average time for Accepted + In Progress when followed by Completed + In Call;The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';8.65 hours;
Total time for Accepted + In Progress in variants that include Completed + In Call versus variants that end directly with Completed + Resolved;The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';726.71 days;
Minimum time for Accepted + In Progress in cases where Completed + In Call occurs later in the trace;The minimum of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';4.00 seconds;
Average time between Accepted + In Progress and Completed + In Call across all process variants containing both activities;The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';8.65 hours;
Total elapsed time from the first occurrence of Accepted + In Progress to Completed + In Call in traces where they are consecutive;The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';726.71 days;
Average cycle time of Accepted + In Progress in variants that contain one or more wait states (e.g., Accepted + Wait - User, Accepted + Wait - Vendor) before reaching Completed + In Call;The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';4.70 days;
Minimum time for Accepted + In Progress when it directly precedes Completed + In Call without intermediate activities;The minimum of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';4.00 seconds;
Total time for Accepted + In Progress grouped by country in traces that eventually reach Completed + In Call;The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';0:13.72 minutes;"{""0"":823000,""SE"":312000,""au"":750000,""be"":4004115000,""br"":1275813000,""ca"":4957000,""cl"":null,""cn"":1428000,""de"":null,""fr"":2964000,""gb"":1560000,""in"":17639000,""jp"":null,""kr"":null,""my"":425734000,""nl"":null,""pe"":null,""pl"":36844405000,""ru"":1001000,""se"":18746365000,""th"":621204000,""tr"":null,""us"":838594000}"
Average time for Accepted + In Progress in variants that transition through Queued + Awaiting Assignment before reaching Completed + In Call;The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';4.89 hours;
Elapsed time between the last Accepted + In Progress and Completed + In Call in traces where Accepted + In Progress appears multiple times;The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';8.65 hours;
Average time for Accepted + In Progress when the subsequent activity is Completed + In Call versus when it is Completed + Resolved;The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';8.65 hours;
Total time for Accepted + In Progress in traces that terminate with Completed + In Call compared to those that continue to Completed + Closed;The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';726.71 days;
Minimum cycle time of Accepted + In Progress in high-frequency variants ending with Completed + In Call;The minimum of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';4.00 seconds;
Average time for Accepted + In Progress in variants that include Accepted + Assigned before reaching Completed + In Call;The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';9.96 hours;
Time from the initial Accepted + In Progress to the final Completed + In Call in multi-occurrence traces of Accepted + In Progress;The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';8.65 hours;
