Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of \Accepted + Wait\ transitions to \Completed + Resolved\,Frequency of activity 'Accepted + Wait' for cases where activity 'Completed + Resolved' occurs,1064,
Percentage of cases involving \Accepted + Wait\ out of all cases,Percentage of 'Accepted + Wait' out of all cases,0.15,
Number of \Accepted + Wait\ activities followed by \Accepted + In Progress\,Number of 'Accepted + Wait' activities for cases where activity 'Accepted + In Progress' occurs,1458,
Percentage of \Accepted + Wait\ activities that lead to \Completed + Closed\,Percentage of 'Accepted + Wait' out of all 'Completed + Closed',0.19,
Frequency of \Accepted + Wait\ compared to \Accepted + Wait - User\,Frequency of activity 'Accepted + Wait' for cases where activity 'Accepted + Wait - User' occurs,564,
Percentage of \Accepted + Wait\ activities out of all \Accepted\ activities,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity LIKE 'Accepted%'""}",,
Number of \Accepted + Wait\ activities that precede \Queued + Awaiting Assignment\,Number of 'Accepted + Wait' activities for cases where activity 'Queued + Awaiting Assignment' occurs,1268,
Frequency of \Accepted + Wait\ in relation to \Accepted + Wait - Implementation\,Frequency of activity 'Accepted + Wait' for cases where activity 'Accepted + Wait - Implementation' occurs,116,
Number of \Accepted + Wait\ activities made per month,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait'"", 'aggregation': 'total', 'group_by': 'month'}",,
Percentage of \Accepted + Wait\ activities that are not followed by \Completed + Cancelled\,Percentage of 'Accepted + Wait' out of all cases where 'Completed + Cancelled' does not happen,0.15,
Number of \Accepted + Wait\ in relation to \Accepted + Assigned\,Number of 'Accepted + Wait' activities for cases where activity 'Accepted + Assigned' occurs,825,
Percentage of \Accepted + Wait\ within the top 5 most frequent process variants,Percentage of 'Accepted + Wait' out of all cases,0.15,
Percentage of \Accepted + Wait\ activities that lead to a change in product,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'product != previous_product'}",,
Average number of \Accepted + Wait\ activities in cases with high impact,the average of the number of times `ACTIVITY` == 'Accepted + Wait' filtered by the function ma == 'high' where ma is the last value of impact,,
Percentage of \Accepted + Wait\ activities in cases with medium to high product amounts,Percentage of 'Accepted + Wait' out of all cases,0.15,
Frequency of \Accepted + Wait\ activities in the most common variant paths,Frequency of activity 'Accepted + Wait',1115,
