Name;Metric;Value;Agrupation
Average time from SW-Initial Reviewer Selection to SW-AE Assign Reviewers;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-AE Assign Reviewers';22.06 days;
Total time between SW-Initial Reviewer Selection and the first occurrence of SW-Reviewer Agreed;The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Agreed';1032.04 days;
Minimum time it takes SW-Reviewer Agreed to occur after SW-Initial Reviewer Selection;The minimum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Agreed';14.41 hours;
Average duration of SW-Initial Reviewer Selection until SW-Reviewer Selection is due in 1 week;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Selection is due in 1 week';2.90 days;
Total time from SW-Initial Reviewer Selection to SW-Reviewer Selection is now due;The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Selection is now due';144.90 days;
Average time between SW-Initial Reviewer Selection and SW-Reviewer Declined;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Declined';20.27 days;
Minimum time from SW-Initial Reviewer Selection to SW-Reviewer No Response;The minimum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer No Response';12.85 days;
Average time it takes SW-Initial Reviewer Selection to be followed by any reviewer-related activity (e.g., SW-Reviewer Agreed, SW-Reviewer Declined, SW-Reviewer Unavailable);The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Agreed';22.93 days;
Total elapsed time from SW-Initial Reviewer Selection to SW-Awaiting EIC Decision across variants where SW-Reviewer Agreed occurs at least once;The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Awaiting EIC Decision';3532.36 days;
Average cycle time of SW-Initial Reviewer Selection in process variants that lead to SW-EIC Accept versus those that lead to SW-EIC Reject;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-EIC Accept';5.50 days;
Minimum time between SW-Initial Reviewer Selection and the first Reviewer Invitation Reminder 1;The minimum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'Reviewer Invitation Reminder 1';2.70 days;
Total time from SW-Initial Reviewer Selection to SW-Reviewer Selection is 1 week late in variants containing repeated reviewer assignment attempts;The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Selection is 1 week late';102.71 days;
Average time from SW-Initial Reviewer Selection to the final SW-Reviewer Agreed before proceeding to SW-Awaiting EIC Decision;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Agreed';22.19 days;
Total resolution time of SW-Initial Reviewer Selection in cases where multiple SW-AE Assign Reviewers activities intervene before a reviewer agrees;The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Agreed';1016.61 days;
Average time between SW-Initial Reviewer Selection and SW-Reviewer Unavailable in high-latency variants;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Unavailable';15.64 days;
Minimum time from SW-Initial Reviewer Selection to completion of the entire reviewer selection phase (defined as the last occurrence of SW-Reviewer Agreed before AE recommendation);The minimum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Agreed';3.14 days;
Average time it takes SW-Initial Reviewer Selection to result in a stable set of reviewers (i.e., no further Unassign Reviewer or Uninvite a picked person events);The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Agreed';22.93 days;
Total time from SW-Initial Reviewer Selection to SW-AE Recommendation overdue in variants where SW-Reviewer Agreed is delayed beyond two weeks;The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-AE Recommendation overdue';311.46 days;
Average elapsed time between SW-Initial Reviewer Selection and the point where the process transitions from reviewer assignment to editorial decision-making (marked by SW-Awaiting AE Recommendation or SW-Awaiting EIC Decision);The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Awaiting AE Recommendation';51.70 days;
Minimum time from SW-Initial Reviewer Selection to the first successful SW-Reviewer Agreed in variants that eventually reach SW-EIC Major Revision;The minimum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Agreed';14.41 hours;
