Name;Metric;Value;Agrupation
Average time for Queued + Awaiting Assignment across all process variants;The average of the duration between activity Queued + Awaiting Assignment and the end of the case;17.07 days;
Total time spent in Queued + Awaiting Assignment before transitioning to Accepted + In Progress;The sum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Accepted + In Progress';38996.07 days;
Minimum time required to complete Queued + Awaiting Assignment when followed by Accepted + Wait - User;The minimum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Accepted + Wait - User';5.00 seconds;
Average duration of Queued + Awaiting Assignment in variants that include Completed + In Call;The average of the duration between activity 'Queued + Awaiting Assignment' and the end of case where activity 'Completed + In Call occurs;12.81 days;
Average time between Queued + Awaiting Assignment and Completed + In Call, considering only variants where Completed + In Call appears after Queued + Awaiting Assignment;The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + In Call';;
Minimum time for Queued + Awaiting Assignment in variants that do not contain Completed + In Call;The minimum of the duration between activity Queued + Awaiting Assignment and the end of the case;16.00 seconds;
Average cycle time of Queued + Awaiting Assignment grouped by country;The average of the duration between activity 'Queued + Awaiting Assignment' and the end of case grouped by the last value of organization country;0:12.56 days;"{""0"":1085453307,""SE"":790963655,""au"":1548857823,""be"":1434822715,""br"":788569283,""ca"":873699200,""cl"":1826660500,""cn"":1286815619,""de"":9971011000,""fr"":1901557263,""gb"":1671631578,""in"":1150863380,""jp"":1632554642,""kr"":1459245416,""my"":1026083500,""nl"":17072579534,""pe"":null,""pl"":1040626905,""ru"":1540686515,""se"":1373485108,""th"":1172598000,""tr"":1674368000,""us"":1095304555}"
Total waiting time to Queued + Awaiting Assignment when it occurs as the first activity in a case;The sum of the duration between activity Queued + Awaiting Assignment and the end of the case;76982.64 days;
Time elapsed from the start of the case to the completion of Queued + Awaiting Assignment in variants that later execute Completed + In Call;The sum of the duration between activity 'Queued + Awaiting Assignment' and the end of case where activity 'Completed + In Call occurs;819.65 days;
Average time for Queued + Awaiting Assignment compared to the average time for Accepted + Wait - User in the same variant;The average of the duration between activity Queued + Awaiting Assignment and the end of the case;17.07 days;
Total time between Queued + Awaiting Assignment and Completed + Resolved in variants that include Completed + In Call versus those that do not;The sum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + Resolved';581.10 days;
Minimum time for Queued + Awaiting Assignment when immediately followed by Accepted + In Progress in variants containing Completed + In Call;The minimum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Accepted + In Progress';3.00 seconds;
Average duration of Queued + Awaiting Assignment in high-frequency variants (frequency > 100) that lead to Completed + In Call;The average of the duration between activity 'Queued + Awaiting Assignment' and the end of case where activity 'Completed + In Call occurs;12.81 days;
Time from Queued + Awaiting Assignment to the next occurrence of Queued + Awaiting Assignment in looping variants, and its relation to the eventual execution of Completed + In Call;The sum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Queued + Awaiting Assignment';195.45 days;
