Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'Queued + Awaiting Assignment' leading to 'Accepted + In Progress',Frequency of activity 'Queued + Awaiting Assignment' for cases where activity 'Accepted + In Progress' occurs,4505.0,
Percentage of 'Queued + Awaiting Assignment' followed by 'Completed + In Call' compared to all occurrences of 'Completed + In Call',Percentage of 'Queued + Awaiting Assignment' out of all 'Completed + In Call',0.03,
Number of 'Queued + Awaiting Assignment' transitions directly to 'Completed + Resolved',Number of 'Queued + Awaiting Assignment' activities for cases where activity 'Completed + Resolved' occurs,10761.0,
Percentage of 'Queued + Awaiting Assignment' out of all activities in the VINST system,Percentage of 'Queued + Awaiting Assignment' out of all cases,0.6,
Frequency of 'Queued + Awaiting Assignment' as a starting point of any variant,Frequency of activity 'Queued + Awaiting Assignment',4511.0,
Percentage of 'Queued + Awaiting Assignment' followed by 'Accepted + Wait - User' out of all 'Accepted + Wait - User' occurrences,Percentage of 'Queued + Awaiting Assignment' out of all 'Accepted + Wait - User',0.85,
Number of 'Queued + Awaiting Assignment' activities that precede 'Completed + Closed',Number of 'Queued + Awaiting Assignment' activities for cases where activity 'Completed + Closed' occurs,10675.0,
Percentage of 'Queued + Awaiting Assignment' followed by 'Accepted + Assigned' compared to 'Accepted + In Progress' followed by 'Accepted + Assigned',Percentage of 'Queued + Awaiting Assignment' out of all 'Accepted + Assigned',0.94,
Frequency of 'Queued + Awaiting Assignment' in cases with 'High' impact compared to 'Medium' and 'Low' impact cases,Frequency of activity 'Queued + Awaiting Assignment',209.0,
Percentage of 'Queued + Awaiting Assignment' leading to a resolution ('Completed + Resolved' or 'Completed + Closed') without reassignment ('Accepted + Assigned'),Percentage of 'Queued + Awaiting Assignment' out of all 'Completed + Resolved',0.8,
Number of 'Queued + Awaiting Assignment' activities that are part of variants with performance above the median performance of all variants,Number of 'Queued + Awaiting Assignment' activities,10767.0,
"Percentage of 'Queued + Awaiting Assignment' followed by 'Completed + In Call' in relation to the total number of 'Completed + In Call' activities, highlighting the impact of 'Completed + In Call'",Percentage of 'Queued + Awaiting Assignment' out of all 'Completed + In Call',0.03,
Frequency of 'Queued + Awaiting Assignment' in the top 5 most frequent variants,Frequency of activity 'Queued + Awaiting Assignment',4511.0,
"Percentage of 'Queued + Awaiting Assignment' activities that lead to a 'Completed + Cancelled' status, indicating process inefficiencies or cancellations",Percentage of 'Queued + Awaiting Assignment' out of all 'Completed + Cancelled',0.0,
"Number of 'Queued + Awaiting Assignment' activities that occur before 'Accepted + Wait - Vendor', showing dependency on external vendors",Number of 'Queued + Awaiting Assignment' activities for cases where activity 'Accepted + Wait - Vendor' occurs,564.0,
