Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Accepted + Wait - User' to 'Completed + Resolved',The average of the duration between activity 'Accepted + Wait - User' and activity 'Completed + Resolved',"13 days, 6:24:12.307850",
Average resolution time of 'Accepted + Wait - User' incidents,The average of the duration between activity 'Accepted + Wait - User' and activity 'Completed + Resolved',"13 days, 6:24:12.307850",
Total time spent in 'Accepted + Wait - User' status across all cases,The sum of the duration between activity Accepted + Wait - User and the end of the case,"43386 days, 0:31:20",
Minimum time from 'Accepted + Wait - User' to 'Accepted + Assigned',The minimum of the duration between activity 'Accepted + Wait - User' and activity 'Accepted + Assigned',0:00:55,
Average time it takes to move from 'Accepted + Wait - User' to 'Accepted + In Progress' compared to 'Queued + Awaiting Assignment' to 'Accepted + In Progress',The average of the duration between activity 'Accepted + Wait - User' and activity 'Accepted + In Progress',"13 days, 15:56:10.623377",
Total resolution time of incidents involving 'Accepted + Wait - User' before reaching 'Completed + Closed',The sum of the duration between activity 'Accepted + Wait - User' and activity 'Completed + Closed',"42485 days, 10:40:24",
Average time between 'Accepted + Wait - User' and the next activity in the most frequent variant paths,The average of the duration between activity Accepted + Wait - User and the end of the case,"17 days, 9:20:25.763527",
Minimum resolution time of 'Accepted + Wait - User' in cases with high impact,The minimum of the duration between activity 'Accepted + Wait - User' and activity 'Completed + Resolved',,
Average time from 'Accepted + Wait - User' to 'Accepted + Wait - Implementation' compared to 'Accepted + Wait - User' to 'Accepted + Wait - Vendor',The average of the duration between activity 'Accepted + Wait - User' and activity 'Accepted + Wait - Implementation',"14 days, 8:55:40.297030",
Total time it takes 'Accepted + Wait - User' to be done in the top 5 longest variants,The sum of the duration between activity Accepted + Wait - User and the end of the case,"43386 days, 0:31:20",
Minimum time for 'Accepted + Wait - User' in incidents resolved within the same day,The minimum of the duration between activity Accepted + Wait - User and the end of the case,0:00:00,
Average waiting time to the 'Accepted + Wait - User' from 'Accepted + In Progress',The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait - User',"5 days, 16:16:14.116298",
Total time from 'Accepted + Wait - User' to 'Completed + Resolved' in incidents with medium impact,The sum of the duration between activity 'Accepted + Wait - User' and activity 'Completed + Resolved',,
Average time for 'Accepted + Wait - User' in incidents involving PROD582 product,The average of the duration between activity Accepted + Wait - User and the end of the case,,
Minimum time it takes from 'Accepted + Wait - User' to 'Completed + In Call' in the shortest variant path,The minimum of the duration between activity 'Accepted + Wait - User' and activity 'Completed + In Call',0:01:39,
Total time for 'Accepted + Wait - User' in the variant with the highest performance score,The sum of the duration between activity Accepted + Wait - User and the end of the case,"43386 days, 0:31:20",
"Average time it takes to resolve incidents after 'Accepted + Wait - User' status, compared to after 'Accepted + Wait - Vendor' status",The average of the duration between activity 'Accepted + Wait - User' and activity 'Completed + Resolved',"13 days, 6:24:12.307850",
