Name;Metric;Value;Agrupation
Average time between 'Declaration APPROVED by ADMINISTRATION' and 'Declaration FOR_APPROVAL by SUPERVISOR';The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration FOR_APPROVAL by SUPERVISOR';;
Average waiting time to the 'Declaration FOR_APPROVAL by SUPERVISOR' after 'Declaration APPROVED by ADMINISTRATION';The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration FOR_APPROVAL by SUPERVISOR';;
Total time for 'Declaration FOR_APPROVAL by SUPERVISOR';The sum of the duration between activity Declaration FOR_APPROVAL by SUPERVISOR and the end of the case;19.05 hours;
Time until 'Declaration FOR_APPROVAL by SUPERVISOR';The average of the duration between the start of the case and activity 'Declaration FOR_APPROVAL by SUPERVISOR';3.00 seconds;
Time of 'Declaration FOR_APPROVAL by SUPERVISOR';The average of the duration between activity Declaration FOR_APPROVAL by SUPERVISOR and the end of the case;19.05 hours;
'Declaration FOR_APPROVAL by SUPERVISOR' Cycle Time;The average of the duration between activity Declaration FOR_APPROVAL by SUPERVISOR and the end of the case;19.05 hours;
Average time difference between 'Declaration FOR_APPROVAL by SUPERVISOR' and 'Declaration APPROVED by BUDGET OWNER';The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration APPROVED by BUDGET OWNER';;
Average time difference between 'Declaration FOR_APPROVAL by SUPERVISOR' and 'Declaration REJECTED by SUPERVISOR';The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration REJECTED by SUPERVISOR';;
Ratio of average time for 'Declaration FOR_APPROVAL by SUPERVISOR' to average time for 'Declaration APPROVED by ADMINISTRATION';the average of the function base > 0 where base is the duration between the first time instant when `ACTIVITY` == 'Declaration FOR_APPROVAL by SUPERVISOR' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x7fc9ef3c5790> - AppliesTo.PROCESS;9.523809523809524e-05;
Ratio of average time for 'Declaration FOR_APPROVAL by SUPERVISOR' to average time for 'Declaration FINAL_APPROVED by SUPERVISOR';the average of the function base > 0 where base is the duration between the first time instant when `ACTIVITY` == 'Declaration FOR_APPROVAL by SUPERVISOR' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x7fc9ef3c5790> - AppliesTo.PROCESS;9.523809523809524e-05;
Average time from 'Declaration FOR_APPROVAL by SUPERVISOR' to the next activity in the case;The average of the duration between activity Declaration FOR_APPROVAL by SUPERVISOR and the end of the case;19.05 hours;
Average time for 'Declaration FOR_APPROVAL by SUPERVISOR' in variants containing 'Declaration REJECTED by PRE_APPROVER';The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and the end of case where activity 'Declaration REJECTED by PRE_APPROVER occurs;;
Average time for 'Declaration FOR_APPROVAL by SUPERVISOR' in variants not containing 'Declaration REJECTED by PRE_APPROVER';The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and the end of case where activity 'Declaration REJECTED by PRE_APPROVER does not occur;19.05 hours;
Difference in average time for 'Declaration FOR_APPROVAL by SUPERVISOR' between variants with and without 'Declaration APPROVED by BUDGET OWNER';the average of the function base > 0 where base is the duration between the first time instant when `ACTIVITY` == 'Declaration FOR_APPROVAL by SUPERVISOR' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x7fc9ef3c5790> - AppliesTo.PROCESS;9.523809523809524e-05;
Average time from 'Declaration FOR_APPROVAL by SUPERVISOR' to case completion ('Payment Handled') in successful variants;The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Payment Handled';;
Average time from 'Declaration FOR_APPROVAL by SUPERVISOR' to 'Declaration REJECTED by EMPLOYEE' in rework loops;The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration REJECTED by EMPLOYEE';;
Total time spent in 'Declaration FOR_APPROVAL by SUPERVISOR' across all cases;The sum of the duration between activity Declaration FOR_APPROVAL by SUPERVISOR and the end of the case;19.05 hours;
Minimum time from 'Declaration APPROVED by ADMINISTRATION' to 'Declaration FOR_APPROVAL by SUPERVISOR';The minimum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration FOR_APPROVAL by SUPERVISOR';;
Average time it takes 'Declaration FOR_APPROVAL by SUPERVISOR' after the execution of 'Declaration APPROVED by BUDGET OWNER';The average of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Declaration FOR_APPROVAL by SUPERVISOR';;
Elapsed time between 'Declaration FOR_APPROVAL by SUPERVISOR' and 'Declaration FINAL_APPROVED by SUPERVISOR';The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';;
Average time to 'Declaration FOR_APPROVAL by SUPERVISOR' since the 'Declaration SUBMITTED by EMPLOYEE';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by SUPERVISOR';3.00 seconds;
Average time for 'Declaration FOR_APPROVAL by SUPERVISOR' compared to the average activity time across all activities in the log;the average of the function base > 0 where base is the duration between the first time instant when `ACTIVITY` == 'Declaration FOR_APPROVAL by SUPERVISOR' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x7fc9ef3c5790> - AppliesTo.PROCESS;9.523809523809524e-05;
Average time for 'Declaration FOR_APPROVAL by SUPERVISOR' when the budget owner and supervisor are the same person (inferred from description);"ERROR: computing metric {'begin': activity == 'Declaration FOR_APPROVAL by SUPERVISOR'"", 'end': '', 'aggregation': 'average', 'filter': 'org:resource == org:resource'}""";;
