Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'SW-Initial Reviewer Selection' to 'SW-Reviewer Agreed',The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Agreed',22 days 22:25:11.955556,
Total time from 'SW-Initial Reviewer Selection' to 'SW-Awaiting EIC Decision',The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Awaiting EIC Decision',3667 days 12:19:10,
Minimum time from 'SW-Initial Reviewer Selection' to 'Reviewer Invitation Reminder 1',The minimum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'Reviewer Invitation Reminder 1',2 days 16:45:09,
Average time for 'SW-Initial Reviewer Selection' to complete in cases leading to 'SW-EIC Major Revision',The average of the duration between activity 'SW-Initial Reviewer Selection' and the end of case where activity 'SW-EIC Major Revision occurs,330 days 08:58:58.142857,
Total resolution time of 'SW-Initial Reviewer Selection' in cases ending with 'SW-EIC Accept',The sum of the duration between activity 'SW-Initial Reviewer Selection' and the end of case where activity 'SW-EIC Accept occurs,186 days 03:35:23,
Minimum time for 'SW-Initial Reviewer Selection' in variants leading to 'SW-Reviewer No Response',The minimum of the duration between activity SW-Initial Reviewer Selection and the end of the case,74 days 14:57:51,
Average time it takes 'SW-Initial Reviewer Selection' after 'SW-Awaiting Checklist Completion',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Initial Reviewer Selection',9 days 07:48:00.137931,
Total time it takes 'SW-Initial Reviewer Selection' to be done before 'SW-AE Assign Reviewers',The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-AE Assign Reviewers',992 days 15:33:49,
Average waiting time to the 'SW-Reviewer Agreed' after 'SW-Initial Reviewer Selection',The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Agreed',22 days 22:25:11.955556,
Minimum resolution time of 'SW-Initial Reviewer Selection' in processes ending with 'SW-EIC Reject & Resubmit',"ERROR: computing metric {'begin': ""activity == 'SW-Initial Reviewer Selection'"", 'end': '', 'aggregation': 'minimum', 'filter': ""activity == 'SW-EIC Reject & Resubmit'""}",,
Average time between 'SW-Initial Reviewer Selection' and 'SW-Reviewer Declined',The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Declined',20 days 06:28:40.642857,
Total time for 'SW-Initial Reviewer Selection' across all cases,The sum of the duration between activity SW-Initial Reviewer Selection and the end of the case,8938 days 11:37:38,
Minimum time between 'SW-Initial Reviewer Selection' and 'SW-Reviewer Selection is due in 1 week',The minimum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Selection is due in 1 week',2 days 09:55:57,
Average time from 'SW-Initial Reviewer Selection' to 'SW-Reviewer Selection is now due',The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Selection is now due',12 days 01:47:40.916667,
Total time from 'SW-Initial Reviewer Selection' to 'SW-AE Assign Reviewers' grouped by 'case:concept:name',"ERROR: computing metric {'begin': ""activity == 'SW-Initial Reviewer Selection'"", 'end': ""activity == 'SW-AE Assign Reviewers'"", 'aggregation': 'total', 'group_by': 'case:concept:name'}",,
Average time for 'SW-Initial Reviewer Selection' in cases leading to 'SW-EIC Minor Revision',The average of the duration between activity 'SW-Initial Reviewer Selection' and the end of case where activity 'SW-EIC Minor Revision occurs,250 days 01:09:05.714286,
Minimum time it takes 'SW-Initial Reviewer Selection' after 'Manuscript Export Succeeded',The minimum of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Initial Reviewer Selection',0 days 02:14:53,
Total time it takes 'SW-Initial Reviewer Selection' to be done before 'Reviewer Invitation Reminder 2',The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'Reviewer Invitation Reminder 2',1841 days 06:06:05,
