Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'SW-Awaiting Checklist Completion' to 'SW-Checklist Completed',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Checklist Completed',"4 days, 9:34:26.341463",
Total time from 'SW-Awaiting Checklist Completion' to 'Original Manuscript Submission Confirmation',The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Original Manuscript Submission Confirmation',"194 days, 17:46:12",
Average time between 'SW-Awaiting Checklist Completion' and 'SW-AE Assign Reviewers',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-AE Assign Reviewers',"28 days, 2:43:52.522727",
Total time for 'SW-Awaiting Checklist Completion' to reach 'SW-Awaiting AE Recommendation',The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Awaiting AE Recommendation',"2029 days, 13:24:24",
Minimum time from 'SW-Awaiting Checklist Completion' to 'SW-EIC Reject & Resubmit',"ERROR: computing metric {'begin': ""activity == 'SW-Awaiting Checklist Completion'"", 'end': ""activity == 'SW-EIC Reject & Resubmit'"", 'aggregation': 'minimum'}",,
Average time it takes from 'SW-Awaiting Checklist Completion' to 'SW-Reviewer Agreed' after 'Reviewer Invitation Reminder 1',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Reviewer Agreed',"29 days, 23:29:00.195122",
Total resolution time of 'SW-Awaiting Checklist Completion' in the process of manuscript review,The sum of the duration between activity SW-Awaiting Checklist Completion and the end of the case,"9264 days, 1:01:15",
Average waiting time to the 'SW-Awaiting Checklist Completion' after 'Manuscript Export Succeeded',The average of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Awaiting Checklist Completion',"11 days, 14:30:04",
Total time it takes 'SW-Awaiting Checklist Completion' after the execution of 'Plagiarism Originality Report Completed',The sum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Awaiting Checklist Completion',"50 days, 23:34:31",
Average time for 'SW-Awaiting Checklist Completion' before entering 'SW-Awaiting EIC Decision' phase,The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Awaiting EIC Decision',"69 days, 2:49:39.754386",
Total time since 'SW-Awaiting Checklist Completion' and 'SW-Checklist Completed' are performed in a single manuscript review process,The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Checklist Completed',"360 days, 17:04:00",
Minimum time it takes the 'SW-Awaiting Checklist Completion' to be done before 'SW-AE Assign Reviewers',The minimum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-AE Assign Reviewers',"2 days, 10:36:44",
Average time from 'SW-Awaiting Checklist Completion' to 'SW-Reviewer Declined' and its impact on the review process duration,The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Reviewer Declined',"24 days, 21:06:15.571429",
Total time for 'SW-Awaiting Checklist Completion' across all variants where 'SW-EIC Major Revision' is required,The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-EIC Major Revision',"1421 days, 21:51:16",
Average time between 'SW-Awaiting Checklist Completion' and 'SW-Reviewer Agreed' in the context of reviewer agreement efficiency,The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Reviewer Agreed',"28 days, 18:01:20.318182",
Minimum resolution time of 'SW-Awaiting Checklist Completion' in cases leading to 'SW-EIC Accept',The minimum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-EIC Accept',"2 days, 0:58:25",
Average time for 'SW-Awaiting Checklist Completion' in the fastest variant leading to manuscript acceptance,The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-EIC Accept',"21 days, 0:54:06.333333",
