Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Accepted + In Progress' to 'Completed + Closed',The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',"16 days, 1:40:38.796698",
Median duration of 'Completed + Closed' across all cases,The average of the duration between the start of the case and activity 'Completed + Closed',"16 days, 2:12:02.350018",
Average time from 'Queued + Awaiting Assignment' to 'Completed + Closed',The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + Closed',"17 days, 4:13:54.808305",
Total duration of 'Completed + Closed' activities in the event log,The sum of the duration between the start of the case and activity 'Completed + Closed',"89695 days, 2:26:19",
Average time from 'Completed + Resolved' to 'Completed + Closed',The average of the duration between activity 'Completed + Resolved' and activity 'Completed + Closed',"6 days, 5:09:22.288841",
Longest time to reach 'Completed + Closed' from 'Accepted + In Progress',The maximum of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',"771 days, 8:26:33",
Shortest time to reach 'Completed + Closed' from 'Accepted + In Progress',The minimum of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',0:01:35,
Average time from 'Accepted + Wait - User' to 'Completed + Closed',The average of the duration between activity 'Accepted + Wait - User' and activity 'Completed + Closed',"17 days, 20:03:53.763224",
Average time from 'Accepted + Assigned' to 'Completed + Closed',The average of the duration between activity 'Accepted + Assigned' and activity 'Completed + Closed',"19 days, 5:43:47.930825",
Total time from first 'Accepted + In Progress' to 'Completed + Closed' in the most frequent variant,The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',"89557 days, 12:23:34",
Average time from 'Accepted + Wait - Implementation' to 'Completed + Closed',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Closed',"17 days, 22:53:15.949367",
Difference in average duration between 'Completed + Resolved' and 'Completed + Closed',The average of the duration between activity 'Completed + Resolved' and activity 'Completed + Closed',"6 days, 5:09:22.288841",
Average time from 'Accepted + Wait - Vendor' to 'Completed + Closed',The average of the duration between activity 'Accepted + Wait - Vendor' and activity 'Completed + Closed',"18 days, 1:58:21.393443",
Average duration of 'Completed + Closed' for cases with more than one 'Accepted + In Progress' activity,The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',"16 days, 1:40:38.796698",
Minimum duration of 'Completed + Closed' across all cases,The minimum of the duration between the start of the case and activity 'Completed + Closed',0:01:35,
Maximum duration of 'Completed + Closed' across all cases,the maximum of the duration between the first time instant when <ppinot4py.model.states.RuntimeState object at 0x00000221C23051D0> - AppliesTo.PROCESS and the last time instant when `ACTIVITY` == 'Completed + Closed',"771 days, 8:26:33",
