Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'SW-AE Assign Reviewers' to 'SW-Reviewer Agreed',The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed',"17 days, 10:02:14.444444",
Average time between 'SW-AE Assign Reviewers' and 'SW-Awaiting EIC Decision',The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Awaiting EIC Decision',"74 days, 7:28:14.400000",
Total time from 'SW-AE Assign Reviewers' initiation to 'SW-Reviewer Agreed' confirmation across all cases,The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed',"783 days, 19:40:50",
Minimum time taken for a manuscript to move from 'SW-AE Assign Reviewers' to 'SW-Reviewer Agreed',The minimum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed',0:00:44,
Maximum time taken for a manuscript to move from 'SW-AE Assign Reviewers' to 'SW-Reviewer Agreed',The maximum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed',"93 days, 1:44:01",
Average time for completion of 'SW-AE Assign Reviewers' activity,The average of the duration between activity SW-AE Assign Reviewers and the end of the case,"171 days, 13:41:30.434783",
Total duration of 'SW-AE Assign Reviewers' activity across all cases,The sum of the duration between activity SW-AE Assign Reviewers and the end of the case,"7892 days, 5:49:20",
Average waiting time before 'SW-AE Assign Reviewers' is initiated after 'SW-Reviewer Selection is due in 3 days',The average of the duration between activity 'SW-Reviewer Selection is due in 3 days' and activity 'SW-AE Assign Reviewers',"20 days, 6:10:17.227273",
Time variance analysis of 'SW-AE Assign Reviewers' across different manuscript cases,"ERROR: computing metric {'begin': ""activity == 'SW-AE Assign Reviewers'"", 'end': '', 'aggregation': 'variance', 'group_by': 'code'}",,
Average time from 'SW-AE Assign Reviewers' to 'SW-Reviewer Declined' and its impact on the review process duration,The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Declined',"15 days, 10:04:55.178571",
Total resolution time of manuscripts where 'SW-AE Assign Reviewers' led to a successful 'SW-Reviewer Agreed',The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed',"783 days, 19:40:50",
Average duration between 'SW-AE Assign Reviewers' and the next activity in the process for manuscripts requiring major revisions,The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Declined',"15 days, 10:04:55.178571",
