Name;Metric;Value;Agrupation
Frequency of 'Accepted + Wait - Implementation' leading to 'Completed + Resolved';Frequency of activity 'Accepted + Wait - Implementation' for cases where activity 'Completed + Resolved' occurs;403;
Percentage of cases involving 'Accepted + Wait - Implementation' out of all cases;Percentage of 'Accepted + Wait - Implementation' out of all cases;0.05;
Frequency of 'Accepted + Wait - Implementation' preceded by 'Accepted + In Progress';Frequency of activity 'Accepted + Wait - Implementation' for cases where activity 'Accepted + In Progress' occurs;412;
Percentage of 'Accepted + Wait - Implementation' followed by 'Completed + Closed';Percentage of 'Accepted + Wait - Implementation' out of all 'Completed + Closed';0.07;
Percentage of 'Accepted + Wait - Implementation' activities by country;Percentage of 'Accepted + Wait - Implementation' out of all cases;0:0.08;"{""0"":0.0769230769,""SE"":0.0327868852,""au"":0.0,""be"":0.0477178423,""br"":0.0707395498,""ca"":0.0454545455,""cl"":0.3333333333,""cn"":0.0198019802,""de"":0.0,""fr"":0.071197411,""gb"":0.0454545455,""in"":0.1829268293,""jp"":0.0,""kr"":0.0153846154,""my"":0.0,""nl"":0.224137931,""pe"":0.0,""pl"":0.0584562997,""ru"":0.1777777778,""se"":0.0355908777,""th"":0.0,""tr"":0.0,""us"":0.0217948718}"
Frequency of 'Accepted + Wait - Implementation' in cases with performance above average;Frequency of activity 'Accepted + Wait - Implementation';413;
Percentage of 'Accepted + Wait - Implementation' in the top 5 most frequent variants;Percentage of 'Accepted + Wait - Implementation' out of all cases;0.05;
Number of 'Accepted + Wait - Implementation' activities that lead to 'Completed + In Call';Frequency of activity 'Accepted + Wait - Implementation' for cases where activity 'Completed + In Call' occurs;16;
Percentage of 'Accepted + Wait - Implementation' activities that are part of cases resolved within the target resolution time;Percentage of 'Accepted + Wait - Implementation' out of all cases;0.05;
Frequency of 'Accepted + Wait - Implementation' in relation to 'Accepted + Wait - Vendor';Frequency of activity 'Accepted + Wait - Implementation' for cases where activity 'Accepted + Wait - Vendor' occurs;23;
Number of 'Accepted + Wait - Implementation' activities in cases involving 'Queued + Awaiting Assignment';Frequency of activity 'Accepted + Wait - Implementation' for cases where activity 'Queued + Awaiting Assignment' occurs;359;
Percentage of 'Accepted + Wait - Implementation' in cases with international resources;Percentage of 'Accepted + Wait - Implementation' out of all cases;0.05;
Frequency of 'Accepted + Wait - Implementation' followed by 'Accepted + Assigned';Frequency of activity 'Accepted + Wait - Implementation' for cases where activity 'Accepted + Assigned' occurs;194;
Percentage of 'Accepted + Wait - Implementation' in cases that required escalation;Percentage of 'Accepted + Wait - Implementation' out of all cases;0.05;
Percentage of 'Accepted + Wait - Implementation' activities followed by any 'Completed' activity;Percentage of 'Accepted + Wait - Implementation' out of all cases;0.05;
Number of 'Accepted + Wait - Implementation' activities per month;Number of 'Accepted + Wait - Implementation' activities;473;
