Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Accepted + In Progress' to 'Completed + Cancelled',The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + Cancelled',8:39:48,
Average time from 'Completed + Cancelled' to 'Completed + Resolved',The average of the duration between activity 'Completed + Cancelled' and activity 'Completed + Resolved',,
Total time for 'Completed + Cancelled' cases,The sum of the duration between activity Completed + Cancelled and the end of the case,0:00:00,
Average resolution time of 'Completed + Cancelled' before 'Completed + In Call',The average of the duration between activity 'Completed + Cancelled' and activity 'Completed + In Call',,
Total resolution time of 'Completed + Cancelled' after 'Queued + Awaiting Assignment',The sum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + Cancelled',,
Minimum time from 'Accepted + Assigned' to 'Completed + Cancelled',The minimum of the duration between activity 'Accepted + Assigned' and activity 'Completed + Cancelled',,
Average time it takes 'Completed + Cancelled' after 'Accepted + Wait - User',The average of the duration between activity 'Accepted + Wait - User' and activity 'Completed + Cancelled',8:39:04,
Total time it takes 'Completed + Cancelled' to be done after 'Accepted + Wait - Implementation',The sum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Cancelled',,
Minimum resolution time of 'Completed + Cancelled' before 'Completed + In Call',The minimum of the duration between activity 'Completed + Cancelled' and activity 'Completed + In Call',,
Average time from 'Completed + Cancelled' to the next activity,The average of the duration between activity Completed + Cancelled and the end of the case,0:00:00,
Total time from 'Completed + Cancelled' to the end of the case,The sum of the duration between activity Completed + Cancelled and the end of the case,0:00:00,
Average time between 'Completed + Cancelled' and 'Completed + Closed',The average of the duration between activity 'Completed + Cancelled' and activity 'Completed + Closed',,
Total time between 'Completed + Cancelled' and 'Accepted + In Progress',The sum of the duration between activity 'Completed + Cancelled' and activity 'Accepted + In Progress',,
Minimum time between 'Completed + Cancelled' and any subsequent activity,The minimum of the duration between activity Completed + Cancelled and the end of the case,0:00:00,
Average time until 'Completed + Cancelled' is performed after 'Accepted + Wait - Vendor',The average of the duration between activity 'Accepted + Wait - Vendor' and activity 'Completed + Cancelled',,
Total time until 'Completed + Cancelled' is performed after 'Accepted + Wait - Customer',The sum of the duration between activity 'Accepted + Wait - Customer' and activity 'Completed + Cancelled',,
Minimum time until 'Completed + Cancelled' is performed after 'Queued + Awaiting Assignment',The minimum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + Cancelled',,
