Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Number of Declaration APPROVED by BUDGET OWNER,"ERROR: computing metric {'count': 'activity == Declaration APPROVED by BUDGET OWNER', 'aggregation': 'total'}",,
Percentage of Declaration APPROVED by BUDGET OWNER out of all Declaration FINAL_APPROVED by SUPERVISOR,"ERROR: computing metric {'count': 'activity == Declaration APPROVED by BUDGET OWNER', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Declaration FINAL_APPROVED by SUPERVISOR'}",,
Percentage of Declaration APPROVED by BUDGET OWNER in all variants with more than two approval steps,"ERROR: computing metric {'count': 'activity == Declaration APPROVED by BUDGET OWNER', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Declaration APPROVED by ADMINISTRATION'}",,
Number of Declaration APPROVED by BUDGET OWNER that are preceded by Declaration APPROVED by ADMINISTRATION,"ERROR: computing metric {'count': 'activity == Declaration APPROVED by BUDGET OWNER', 'aggregation': 'total', 'filter': ""preceding_activity == Declaration APPROVED by ADMINISTRATION // unable to translate because it include 'preceding_activity' that is not allowed.""}",,
Percentage of Declaration APPROVED by BUDGET OWNER with amounts above 100 euros,"ERROR: computing metric {'count': 'activity == Declaration APPROVED by BUDGET OWNER', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'case:Amount > 100'}",,
Percentage of Declaration APPROVED by BUDGET OWNER in relation to Declaration FINAL_APPROVED by SUPERVISOR,"ERROR: computing metric {'count': 'activity == Declaration APPROVED by BUDGET OWNER', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Declaration FINAL_APPROVED by SUPERVISOR'}",,
Number of Declaration APPROVED by BUDGET OWNER done per year,"ERROR: computing metric {'count': 'activity == Declaration APPROVED by BUDGET OWNER', 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of Declaration APPROVED by BUDGET OWNER made by STAFF MEMBER,"ERROR: computing metric {'count': 'activity == Declaration APPROVED by BUDGET OWNER', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'org:role == STAFF MEMBER'}",,
Percentage of Declaration APPROVED by BUDGET OWNER in the university's financial process,"ERROR: computing metric {'count': 'activity == Declaration APPROVED by BUDGET OWNER', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'org:role == STAFF MEMBER'}",,
