Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from Manuscript Export Succeeded to SW-Initial Reviewer Selection,The average of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Initial Reviewer Selection',"9 days, 9:22:27.362069",
Total time from SW-Awaiting Checklist Completion to SW-Initial Reviewer Selection,The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Initial Reviewer Selection',"540 days, 20:24:08",
Average time between SW-Initial Reviewer Selection and SW-AE Assign Reviewers,The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-AE Assign Reviewers',"22 days, 1:24:45.088889",
Total time for SW-Initial Reviewer Selection across all cases,The sum of the duration between activity SW-Initial Reviewer Selection and the end of the case,"8938 days, 11:37:38",
Minimum time from SW-Checklist Completed to SW-Initial Reviewer Selection,The minimum of the duration between activity 'SW-Checklist Completed' and activity 'SW-Initial Reviewer Selection',0:00:05,
Average waiting time to SW-Initial Reviewer Selection after Plagiarism Originality Report Completed,The average of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Initial Reviewer Selection',"8 days, 2:54:49.948276",
Total resolution time of SW-Initial Reviewer Selection for cases leading to SW-EIC Major Revision,The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-EIC Major Revision',"1337 days, 2:18:54",
Average time it takes from SW-Initial Reviewer Selection to Reviewer Invitation Reminder 1,The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'Reviewer Invitation Reminder 1',"69 days, 2:48:11.190476",
Minimum time it takes to complete SW-Initial Reviewer Selection after SW-Checklist Completion is due in three days,The minimum of the duration between activity 'SW-Checklist Completion is due in three days' and activity 'SW-Initial Reviewer Selection',14:21:30,
Total time from SW-Initial Reviewer Selection to SW-Reviewer Agreed,The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Agreed',"1032 days, 0:53:58",
Average time between SW-Initial Reviewer Selection and SW-Awaiting EIC Decision,The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Awaiting EIC Decision',"63 days, 5:35:30.172414",
Minimum resolution time of SW-Initial Reviewer Selection in the process leading to SW-EIC Accept,The minimum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-EIC Accept',0:18:35,
Total time it takes from SW-Initial Reviewer Selection to the first Reviewer Invitation Reminder 1,The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'Reviewer Invitation Reminder 1',"2902 days, 21:43:50",
Average time to complete SW-Initial Reviewer Selection from the start of the manuscript review process,The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Initial Reviewer Selection',"9 days, 6:14:28.525424",
