Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Queued + Awaiting Assignment' to 'Completed + Closed',the average of the function base > 0 where base is the duration between the first time instant when `ACTIVITY` == 'Queued + Awaiting Assignment' and the last time instant when `ACTIVITY` == 'Completed + Closed',0.5897537728355838,
Average waiting time to 'Completed + Closed' after 'Accepted + In Progress',the average of the function base > 0 where base is the duration between the first time instant when `ACTIVITY` == 'Accepted + In Progress' and the last time instant when `ACTIVITY` == 'Completed + Closed',0.7377548318771512,
Average time between 'Completed + In Call' and 'Completed + Closed',the average of the function base > 0 where base is the duration between the first time instant when `ACTIVITY` == 'Completed + In Call' and the last time instant when `ACTIVITY` == 'Completed + Closed',0.017738946253640454,
Average time it takes 'Completed + Closed' after the execution of 'Accepted + In Progress',the average of the function base > 0 where base is the duration between the first time instant when `ACTIVITY` == 'Accepted + In Progress' and the last time instant when `ACTIVITY` == 'Completed + Closed',0.7377548318771512,
Time until 'Completed + Closed' is performed,the sum of the function base > 0 where base is the duration between the first time instant when `ACTIVITY` == 'Completed + Closed' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x0000024F43003110> - AppliesTo.PROCESS,120,
Average time for 'Completed + Closed' in incident management cases,The average of the duration between activity Completed + Closed and the end of the case,10:26:28.944385,
Total time from 'Accepted + In Progress' to 'Completed + Closed' for 'PROD582' products,The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',"1084 days, 12:54:41",
Total time until 'Completed + Closed' is performed by the 'Frederic' resource,The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',,
Total time spent in 'Completed + Closed' by 'France' country,The sum of the duration between activity Completed + Closed and the end of the case,0:00:00,
Average time from 'Completed + In Call' to 'Completed + Closed' for cases with medium impact,The average of the duration between activity 'Completed + In Call' and activity 'Completed + Closed',,
Total resolution time of 'Completed + Closed' in the VINST system,The sum of the duration between activity Completed + Closed and the end of the case,"2425 days, 0:12:56",
Time to 'Completed + Closed' since the 'Accepted + In Progress' for cases assigned to 'Anne Claire',The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',,
Total time from 'Queued + Awaiting Assignment' to 'Completed + Closed' by 'USA' country,The sum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + Closed',"14 days, 20:23:16",
Average time between 'Completed + Resolved' and 'Completed + Closed' in cases with low impact,The average of the duration between activity 'Completed + Resolved' and activity 'Completed + Closed',,
Time until 'Completed + Closed' is performed by 'Lierson' resource,The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',,
Total time spent in 'Completed + Closed' for 'Brazil' country,The sum of the duration between activity Completed + Closed and the end of the case,"7 days, 12:54:20",
Total time from 'Accepted + In Progress' to 'Completed + Closed' for 'PROD562' products,The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',"1571 days, 2:24:15",
Average time it takes 'Completed + Closed' after the execution of 'Completed + Resolved',the average of the function base > 0 where base is the duration between the first time instant when `ACTIVITY` == 'Completed + Resolved' and the last time instant when `ACTIVITY` == 'Completed + Closed',0.7378872120730738,
Average time from 'Accepted + In Progress' to 'Completed + In Call' before 'Completed + Closed',the average of the function base > 0 where base is the duration between the first time instant when `ACTIVITY` == 'Accepted + In Progress' and the last time instant when `ACTIVITY` == 'Completed + In Call',0.26701085517606565,
