Name;Metric;Value;Agrupation
Average time from SW-AE Assign Reviewers to SW-Reviewer Agreed;The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';17.42 days;
Average time between SW-Reviewer Selection is due in 1 week and SW-Reviewer Agreed;The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';25.56 days;
Average time until SW-Reviewer Agreed is performed after SW-Initial Reviewer Selection;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Agreed';22.93 days;
Average time for SW-Reviewer Agreed from invitation to acceptance;The average of the duration between the start of the case and activity 'SW-Reviewer Agreed';28.09 days;
Average time since the Reviewer Invitation Reminder 1 and SW-Reviewer Agreed are performed;The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed';13.34 days;
Average waiting time to the SW-Reviewer Agreed after SW-AE Assign Reviewers;The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';17.42 days;
Average time it takes SW-Reviewer Agreed after the execution of Reviewer Invitation Reminder 2;The average of the duration between activity 'Reviewer Invitation Reminder 2' and activity 'SW-Reviewer Agreed';15.82 days;
Average time it takes the SW-Reviewer Agreed to be done from first reviewer assignment;The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';17.42 days;
Total time from SW-AE Assign Reviewers to SW-Reviewer Agreed across all cases;The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';783.82 days;
Total time between SW-Reviewer Selection is due in 3 days and SW-Reviewer Agreed;The sum of the duration between activity 'SW-Reviewer Selection is due in 3 days' and activity 'SW-Reviewer Agreed';464.11 days;
Total time until SW-Reviewer Agreed is performed from manuscript submission;The sum of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Reviewer Agreed';1268.94 days;
Total time to SW-Reviewer Agreed grouped by performer;The sum of the duration between the start of the case and activity 'SW-Reviewer Agreed';ADMIN:49.14 days;"{""ADMIN"":4245814000,""AUTHOR"":7897462000,""EIC"":null,""SYSTEM"":99496319000}"
Total time for SW-Reviewer Agreed in complete review cycle;The sum of the duration between the start of the case and activity 'SW-Reviewer Agreed';1292.12 days;
Total time since the SW-Reviewer Selection is now due and SW-Reviewer Agreed are performed;The sum of the duration between activity 'SW-Reviewer Selection is now due' and activity 'SW-Reviewer Agreed';249.53 days;
Total waiting time to the SW-Reviewer Agreed in variant with highest frequency;The sum of the duration between the start of the case and activity 'SW-Reviewer Agreed';1292.12 days;
Total time it takes SW-Reviewer Agreed after the execution of SW-Reviewer Selection is 3 days late;The sum of the duration between activity 'SW-Reviewer Selection is 3 days late' and activity 'SW-Reviewer Agreed';284.08 days;
Total time it takes the SW-Reviewer Agreed to be done in complex variants;The sum of the duration between the start of the case and activity 'SW-Reviewer Agreed';1292.12 days;
Total resolution time of SW-Reviewer Agreed process phase;The sum of the duration between the start of the case and activity 'SW-Reviewer Agreed';1292.12 days;
Minimum time between SW-AE Assign Reviewers and SW-Reviewer Agreed;The minimum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';44.00 seconds;
Minimum time until SW-Reviewer Agreed is performed in successful review cases;The minimum of the duration between the start of the case and activity 'SW-Reviewer Agreed';5.20 days;
Minimum time to SW-Reviewer Agreed grouped by variant complexity;The minimum of the duration between the start of the case and activity 'SW-Reviewer Agreed';5.20 days;
Minimum time for SW-Reviewer Agreed from initial invitation;The minimum of the duration between the start of the case and activity 'SW-Reviewer Agreed';5.20 days;
Minimum time since the Reviewer Invitation Reminder 1 and SW-Reviewer Agreed are performed;The minimum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed';10.03 minutes;
Minimum waiting time to the SW-Reviewer Agreed in streamlined process variants;The minimum of the duration between the start of the case and activity 'SW-Reviewer Agreed';5.20 days;
Minimum time it takes SW-Reviewer Agreed after the execution of SW-Reviewer Selection is due in 1 week;The minimum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed';3.88 days;
Minimum time it takes the SW-Reviewer Agreed to be done compared to SW-Reviewer Declined;The minimum of the duration between the start of the case and activity 'SW-Reviewer Agreed';5.20 days;
