Name;Metric;Value;Agrupation
Percentage of 'Accepted + Assigned' out of all activity executions in the event log;Percentage of 'Accepted + Assigned' out of all cases;0.24;
Frequency of 'Accepted + Assigned' occurrences across all cases;Number of 'Accepted + Assigned' activities;3121.0;
Percentage of process variants that include 'Accepted + Assigned' as a step;Percentage of 'Accepted + Assigned' out of all cases;0.24;
Frequency of 'Accepted + Assigned' directly followed by 'Accepted + In Progress';Number of 'Accepted + Assigned' activities for cases where activity 'Accepted + In Progress' occurs;3117.0;
Percentage of 'Accepted + Assigned' that occur after 'Queued + Awaiting Assignment';Percentage of 'Accepted + Assigned' out of all 'Queued + Awaiting Assignment';0.38;
Frequency of 'Accepted + Assigned' appearing in variants that eventually lead to 'Completed + In Call';Number of 'Accepted + Assigned' activities for cases where activity 'Completed + In Call' occurs;62.0;
Percentage of 'Accepted + Assigned' within variants that end in 'Completed + Resolved' and 'Completed + Closed';Percentage of 'Accepted + Assigned' out of all 'Completed + Resolved';0.32;
Frequency of 'Accepted + Assigned' compared to the frequency of 'Accepted + Wait - User';Number of 'Accepted + Assigned' activities for cases where activity 'Accepted + Wait - User' occurs;2045.0;
Percentage of total 'Accepted + Assigned' activities that are part of high-frequency variants (frequency ≥ 100);Percentage of 'Accepted + Assigned' out of all cases;0.24;
Frequency of 'Accepted + Assigned' in cases that do not contain 'Completed + In Call';Number of 'Accepted + Assigned' activities for cases where activity 'Completed + In Call' does not occur;3121.0;
Percentage of variants containing 'Accepted + Assigned' that also contain 'Completed + In Call';Percentage of 'Accepted + Assigned' out of all 'Completed + In Call';0.02;
Frequency of 'Accepted + Assigned' relative to 'Queued + Awaiting Assignment';Number of 'Accepted + Assigned' activities for cases where activity 'Queued + Awaiting Assignment' occurs;2981.0;
Percentage of 'Accepted + Assigned' occurring before any 'Accepted + Wait' type activity;Percentage of 'Accepted + Assigned' out of all 'Accepted + Wait';0.51;
Frequency of 'Accepted + Assigned' in the context of multi-loop variants (variants with repeated activities);Number of 'Accepted + Assigned' activities;3121.0;
Percentage of 'Accepted + Assigned' executions that are followed by at least one waiting activity ('Accepted + Wait', 'Accepted + Wait - User', 'Accepted + Wait - Vendor', or 'Accepted + Wait - Implementation');Percentage of 'Accepted + Assigned' out of all 'Accepted + Wait';0.51;
