Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Accepted + In Progress' to 'Completed + Resolved',The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + Resolved',"11 days, 0:27:37.584765",
Median duration of 'Completed + Resolved',The average of the duration between the start of the case and activity 'Completed + Resolved',"11 days, 1:01:12.686209",
Maximum time to achieve 'Completed + Resolved' from case start,the maximum of the duration between the first time instant when <ppinot4py.model.states.RuntimeState object at 0x00000221C23051D0> - AppliesTo.PROCESS and the last time instant when `ACTIVITY` == 'Completed + Resolved',"763 days, 18:10:30",
Average duration difference between 'Completed + Resolved' and 'Completed + Closed',The average of the duration between activity 'Completed + Resolved' and activity 'Completed + Closed',"6 days, 5:09:22.288841",
Total duration of 'Completed + Resolved' across all cases,The sum of the duration between the start of the case and activity 'Completed + Resolved',"62533 days, 17:20:22",
Average lead time to 'Completed + Resolved' from 'Queued + Awaiting Assignment',The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + Resolved',"12 days, 5:20:13.389973",
Earliest start time of 'Completed + Resolved' after 'Accepted + Wait - User',The minimum of the duration between activity 'Accepted + Wait - User' and activity 'Completed + Resolved',0:00:01,
Latest finish time of 'Completed + Resolved' before 'Completed + Closed',The maximum of the duration between activity 'Completed + Resolved' and activity 'Completed + Closed',"765 days, 8:41:24",
Total elapsed time between first 'Accepted + In Progress' and 'Completed + Resolved',The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + Resolved',"62203 days, 7:11:06",
Average time from 'Accepted + Assigned' to 'Completed + Resolved',The average of the duration between activity 'Accepted + Assigned' and activity 'Completed + Resolved',"14 days, 15:54:44.557503",
Minimum duration of 'Completed + Resolved' in cases with high impact,The minimum of the duration between the start of the case and activity 'Completed + Resolved',,
Maximum duration of 'Completed + Resolved' in cases with low impact,the maximum of the duration between the first time instant when <ppinot4py.model.states.RuntimeState object at 0x00000221C23051D0> - AppliesTo.PROCESS and the last time instant when `ACTIVITY` == 'Completed + Resolved' filtered by the function ma == 'low' where ma is the last value of impact,,
Duration of 'Completed + Resolved' in the most frequent process variant,The average of the duration between the start of the case and activity 'Completed + Resolved',"11 days, 1:01:12.686209",
Duration of 'Completed + Resolved' in the least frequent process variant,The average of the duration between the start of the case and activity 'Completed + Resolved',"11 days, 1:01:12.686209",
Average duration of 'Completed + Resolved' in cases involving 'PROD582',The average of the duration between the start of the case and activity 'Completed + Resolved',"173 days, 4:12:34.166667",
Comparison of average duration between 'Completed + Resolved' and 'Accepted + Wait - Vendor',The average of the duration between activity 'Accepted + Wait - Vendor' and activity 'Completed + Resolved',"13 days, 3:15:26.987952",
Total duration of 'Completed + Resolved' for cases handled by top 5 resources,The sum of the duration between the beginning of the case and activity 'Completed + Resolved' for cases where activity 'Completed + Resolved' occurs,,
Average start time of 'Completed + Resolved' across all cases,The average of the duration between the start of the case and activity 'Completed + Resolved',"11 days, 1:01:12.686209",
