Name;Metric;Value;Agrupation
Percentage of Declaration FOR_APPROVAL by ADMINISTRATION out of all activity executions in the event log;Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all cases;0.0;
Frequency of Declaration FOR_APPROVAL by ADMINISTRATION occurring immediately before Declaration APPROVED by ADMINISTRATION;Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration APPROVED by ADMINISTRATION';0.0;
Percentage of process variants containing Declaration FOR_APPROVAL by ADMINISTRATION that eventually lead to Declaration REJECTED by PRE_APPROVER;Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration REJECTED by PRE_APPROVER';0.0;
Frequency of Declaration FOR_APPROVAL by ADMINISTRATION in variants that include a loop due to prior rejections (e.g., involving Declaration REJECTED by EMPLOYEE);Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration REJECTED by EMPLOYEE';0.0;
Percentage of Declaration FOR_APPROVAL by ADMINISTRATION that occur in cases with total amount above 100 euros;Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all cases;0.0;
Ratio of Declaration FOR_APPROVAL by ADMINISTRATION to Declaration SUBMITTED by EMPLOYEE across all cases;Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration SUBMITTED by EMPLOYEE';0.0;
Percentage of Declaration FOR_APPROVAL by ADMINISTRATION that are eventually followed by Declaration FINAL_APPROVED by SUPERVISOR without intermediate rejections;Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.0;
Percentage of cases where Declaration FOR_APPROVAL by ADMINISTRATION appears but Declaration APPROVED by PRE_APPROVER never occurs;Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all cases where 'Declaration APPROVED by PRE_APPROVER' does not happen;0.0;
Percentage of Declaration FOR_APPROVAL by ADMINISTRATION that are directly succeeded by Declaration APPROVED by ADMINISTRATION without any intervening rejection;Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration APPROVED by ADMINISTRATION';0.0;
Frequency of Declaration FOR_APPROVAL by ADMINISTRATION in variants that end successfully with Payment Handled;Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Payment Handled';0.0;
Percentage of Declaration FOR_APPROVAL by ADMINISTRATION that belong to cases later rejected by PRE_APPROVER (i.e., where Declaration REJECTED by PRE_APPROVER occurs after any approval step);Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration REJECTED by PRE_APPROVER';0.0;
Ratio of Declaration FOR_APPROVAL by ADMINISTRATION to Declaration FOR_APPROVAL by PRE_APPROVER across the entire log;Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration FOR_APPROVAL by PRE_APPROVER';0.0;
Percentage of Declaration FOR_APPROVAL by ADMINISTRATION occurring in domestic declaration cases (inferred from absence of pre-approver steps and presence of Request Payment);Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Request Payment';0.0;
Number of unique cases containing Declaration FOR_APPROVAL by ADMINISTRATION that experience more than one submission cycle (i.e., multiple Declaration SUBMITTED by EMPLOYEE events);Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;1.0;
Percentage of Declaration FOR_APPROVAL by ADMINISTRATION that are part of the top 5 most frequent process variants;Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all cases;0.0;
Frequency of Declaration FOR_APPROVAL by ADMINISTRATION in cases that never reach a supervisor approval step (Declaration FINAL_APPROVED by SUPERVISOR);Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all cases where 'Declaration FINAL_APPROVED by SUPERVISOR' does not happen;0.0;
Number of times Declaration FOR_APPROVAL by ADMINISTRATION is followed by any rejection activity (e.g., Declaration REJECTED by ADMINISTRATION, Declaration REJECTED by PRE_APPROVER, etc.);"ERROR: computing metric {'count': activity == 'Declaration FOR_APPROVAL by ADMINISTRATION'"", 'aggregation': 'total', 'filter': ""activity == 'Declaration REJECTED by ADMINISTRATION' or activity == 'Declaration REJECTED by PRE_APPROVER' or activity == 'Declaration REJECTED by EMPLOYEE' or activity == 'Declaration REJECTED by SUPERVISOR' or activity == 'Declaration REJECTED by MISSING' or activity == 'Declaration REJECTED by BUDGET OWNER'""}""";;
Percentage of Declaration FOR_APPROVAL by ADMINISTRATION that are not followed by any rejection activity within the same case;"ERROR: computing metric {'count': activity == 'Declaration FOR_APPROVAL by ADMINISTRATION'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity != 'Declaration REJECTED by ADMINISTRATION' and activity != 'Declaration REJECTED by PRE_APPROVER' and activity != 'Declaration REJECTED by EMPLOYEE' and activity != 'Declaration REJECTED by SUPERVISOR' and activity != 'Declaration REJECTED by MISSING' and activity != 'Declaration REJECTED by BUDGET OWNER'""}""";;
Frequency of Declaration FOR_APPROVAL by ADMINISTRATION in process variants that do not involve any pre-approver role;"ERROR: computing metric {'count': activity == 'Declaration FOR_APPROVAL by ADMINISTRATION'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity != 'Declaration APPROVED by PRE_APPROVER' and activity != 'Declaration REJECTED by PRE_APPROVER' and activity != 'Declaration FOR_APPROVAL by PRE_APPROVER'""}""";;
Number of Declaration FOR_APPROVAL by ADMINISTRATION events per year (2017 vs 2018);"ERROR: computing metric {'count': activity == 'Declaration FOR_APPROVAL by ADMINISTRATION'"", 'aggregation': 'total', 'group_by': 'year'}""";;
