Name;Metric;Value;Agrupation
Percentage of SW-Initial Reviewer Selection out of all activity executions in the event log;Percentage of 'SW-Initial Reviewer Selection' out of all cases;0.65;
Frequency of SW-Initial Reviewer Selection occurring before SW-AE Assign Reviewers;Frequency of activity 'SW-Initial Reviewer Selection' for cases where activity 'SW-AE Assign Reviewers' occurs;45.0;
Percentage of process variants that include SW-Initial Reviewer Selection followed by any reviewer invitation or assignment activity (e.g., SW-AE Assign Reviewers, Reviewer Invitation Reminder 1);Percentage of 'SW-Initial Reviewer Selection' out of all 'SW-AE Assign Reviewers';0.98;
Number of times SW-Initial Reviewer Selection is directly followed by SW-Reviewer Selection is due in 1 week;Number of 'SW-Initial Reviewer Selection' activities for cases where activity 'SW-Reviewer Selection is due in 1 week' occurs;44.0;
Percentage of SW-Initial Reviewer Selection activities that eventually lead to SW-Reviewer Agreed within the same case;Percentage of 'SW-Initial Reviewer Selection' out of all 'SW-Reviewer Agreed';0.98;
Frequency of SW-Initial Reviewer Selection compared to the frequency of SW-Awaiting AE Assignment;Number of 'SW-Initial Reviewer Selection' activities for cases where activity 'SW-Awaiting AE Assignment' occurs;39.0;
Percentage of cases where SW-Initial Reviewer Selection occurs but no subsequent SW-Reviewer Agreed is observed;Percentage of 'SW-Initial Reviewer Selection' out of all cases where 'SW-Reviewer Agreed' does not happen;0.65;
Number of SW-Initial Reviewer Selection events per manuscript submission (case);the average of the number of times `ACTIVITY` == 'SW-Initial Reviewer Selection';0.7;
Percentage of SW-Initial Reviewer Selection occurrences that are part of variants ending in SW-EIC Accept versus those ending in rejection or revision outcomes;Percentage of 'SW-Initial Reviewer Selection' out of all 'SW-EIC Accept';1.0;
Frequency of SW-Initial Reviewer Selection relative to Plagiarism Originality Report Completed, indicating its position in the review workflow;Number of 'SW-Initial Reviewer Selection' activities for cases where activity 'Plagiarism Originality Report Completed' occurs;63.0;
Percentage of SW-Initial Reviewer Selection activities that are followed within 7 days by at least one SW-AE Assign Reviewers event;Percentage of 'SW-Initial Reviewer Selection' out of all 'SW-AE Assign Reviewers';0.98;
Number of distinct cases containing SW-Initial Reviewer Selection that also contain SW-Reviewer No Response;Number of 'SW-Initial Reviewer Selection' activities for cases where activity 'SW-Reviewer No Response' occurs;5.0;
Percentage of all SW-Initial Reviewer Selection instances that occur after SW-Checklist Completed;Percentage of 'SW-Initial Reviewer Selection' out of all 'SW-Checklist Completed';0.71;
Frequency of SW-Initial Reviewer Selection in variants that include multiple reviewer assignment attempts (e.g., repeated SW-AE Assign Reviewers or Reviewer Invitation Reminders);Number of 'SW-Initial Reviewer Selection' activities for cases where activity 'SW-AE Assign Reviewers' occurs;45.0;
Percentage of SW-Initial Reviewer Selection events that precede any form of reviewer outcome (SW-Reviewer Agreed, SW-Reviewer Declined, SW-Reviewer Unavailable, or SW-Reviewer No Response);Percentage of 'SW-Initial Reviewer Selection' out of all 'SW-Reviewer Agreed';0.98;
