Name;Metric;Value;Agrupation
Frequency of 'Declaration REJECTED by BUDGET OWNER' compared to 'Declaration APPROVED by BUDGET OWNER';Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all 'Declaration APPROVED by BUDGET OWNER';0.01;
Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all declarations handled by BUDGET OWNER;Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all cases;;
Number of 'Declaration REJECTED by BUDGET OWNER' that are followed by 'Declaration SUBMITTED by EMPLOYEE';Number of 'Declaration REJECTED by BUDGET OWNER' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;59;
Percentage of 'Declaration REJECTED by BUDGET OWNER' that lead to a 'Declaration APPROVED by ADMINISTRATION';Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all 'Declaration APPROVED by ADMINISTRATION';0.01;
Frequency of 'Declaration REJECTED by BUDGET OWNER' in cases with amounts above 100 euros;Frequency of activity 'Declaration REJECTED by BUDGET OWNER';9;
Percentage of 'Declaration REJECTED by BUDGET OWNER' by each STAFF MEMBER;Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all cases;STAFF MEMBER:0.03;"{""STAFF MEMBER"":0.0306345733,""SYSTEM"":0.004381161}"
Percentage of 'Declaration REJECTED by BUDGET OWNER' that are eventually approved after being resubmitted;Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all 'Declaration APPROVED by BUDGET OWNER';0.01;
Frequency of 'Declaration REJECTED by BUDGET OWNER' in relation to the total number of declarations processed in the event log;Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all cases where '' does not happen;0.01;
Percentage of 'Declaration REJECTED by BUDGET OWNER' in the most frequent process variant;Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all cases where '' does not happen;0.01;
Number of 'Declaration REJECTED by BUDGET OWNER' followed by 'Declaration REJECTED by PRE_APPROVER';Number of 'Declaration REJECTED by BUDGET OWNER' activities for cases where activity 'Declaration REJECTED by PRE_APPROVER' occurs;0;
Percentage of 'Declaration REJECTED by BUDGET OWNER' in cases that required director approval;Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all cases;;
Frequency of 'Declaration REJECTED by BUDGET OWNER' in cases that were submitted for domestic trips;Frequency of activity 'Declaration REJECTED by BUDGET OWNER';58;
Percentage of 'Declaration REJECTED by BUDGET OWNER' in cases that ended with 'Payment Handled' without further rejections;Percentage of 'Declaration REJECTED by BUDGET OWNER' out of all 'Payment Handled';0.0;
Number of 'Declaration REJECTED by BUDGET OWNER' per month;Number of 'Declaration REJECTED by BUDGET OWNER' activities;59;
