Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'SW-Awaiting AE Assignment' followed by 'SW-EIC Reject',Frequency of activity 'SW-Awaiting AE Assignment' for cases where activity 'SW-EIC Reject' occurs,27.0,
Percentage of 'SW-Awaiting AE Assignment' out of all 'SW-Checklist Completed',Percentage of 'SW-Awaiting AE Assignment' out of all 'SW-Checklist Completed',0.7,
Number of 'SW-Awaiting AE Assignment' that are preceded by 'Manuscript Export Succeeded',Number of 'SW-Awaiting AE Assignment' activities for cases where activity 'Manuscript Export Succeeded' occurs,58.0,
Percentage of 'SW-Awaiting AE Assignment' that lead to 'SW-EIC Major Revision',Percentage of 'SW-Awaiting AE Assignment' out of all 'SW-EIC Major Revision',0.27,
Frequency of 'SW-Awaiting AE Assignment' in relation to 'SW-Reviewer Agreed',Frequency of activity 'SW-Awaiting AE Assignment' for cases where activity 'SW-Reviewer Agreed' occurs,24.0,
Percentage of 'SW-Awaiting AE Assignment' followed by 'SW-AE Assign Reviewers',Percentage of 'SW-Awaiting AE Assignment' out of all 'SW-AE Assign Reviewers',0.5,
Number of times 'SW-Awaiting AE Assignment' occurs before 'SW-Reviewer Selection is due in 1 week',Number of 'SW-Awaiting AE Assignment' activities for cases where activity 'SW-Reviewer Selection is due in 1 week' occurs,24.0,
Percentage of 'SW-Awaiting AE Assignment' out of all activities in the event log,Percentage of 'SW-Awaiting AE Assignment' out of all cases,0.61,
Frequency of 'SW-Awaiting AE Assignment' in the most common process variant,Frequency of activity 'SW-Awaiting AE Assignment',57.0,
Percentage of processes including 'SW-Awaiting AE Assignment' that also include 'SW-Reviewer Agreed',Percentage of 'SW-Awaiting AE Assignment' out of all 'SW-Reviewer Agreed',0.52,
Number of 'SW-Awaiting AE Assignment' grouped by 'case:concept:name',"ERROR: computing metric {'count': ""activity == 'SW-Awaiting AE Assignment'"", 'aggregation': 'total', 'group_by': 'case:concept:name'}",,
"Frequency of 'SW-Awaiting AE Assignment' leading to a decision ('SW-EIC Reject', 'SW-EIC Major Revision', 'SW-EIC Minor Revision', 'SW-EIC Accept')",Frequency of activity 'SW-Awaiting AE Assignment' for cases where activity 'SW-EIC Reject' occurs,27.0,
Percentage of 'SW-Awaiting AE Assignment' that are followed by any form of manuscript submission confirmation,Percentage of 'SW-Awaiting AE Assignment' out of all 'Original Manuscript Submission Confirmation',0.66,
Number of 'SW-Awaiting AE Assignment' per month,"ERROR: computing metric {'count': ""activity == 'SW-Awaiting AE Assignment'"", 'aggregation': 'total', 'group_by': 'month'}",,
Percentage of 'SW-Awaiting AE Assignment' followed by 'SW-Awaiting EIC Decision',Percentage of 'SW-Awaiting AE Assignment' out of all 'SW-Awaiting EIC Decision',0.59,
