Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'SW-AE Assign Reviewers' to 'SW-Awaiting EIC Decision',The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Awaiting EIC Decision',74 days 07:28:14.400000,
Average time from 'SW-Reviewer Agreed' to 'SW-Awaiting EIC Decision',The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting EIC Decision',71 days 15:01:45.488889,
Total time for 'SW-Awaiting EIC Decision' across all cases,The sum of the duration between activity SW-Awaiting EIC Decision and the end of the case,5119 days 14:31:51,
Minimum time from 'SW-Awaiting AE Recommendation' to 'SW-Awaiting EIC Decision',The minimum of the duration between activity 'SW-Awaiting AE Recommendation' and activity 'SW-Awaiting EIC Decision',0 days 00:00:12,
Average time between 'SW-Awaiting EIC Decision' and 'SW-EIC Reject & Resubmit',"ERROR: computing metric {'begin': ""activity == 'SW-Awaiting EIC Decision'"", 'end': ""activity == 'SW-EIC Reject & Resubmit'"", 'aggregation': 'average'}",,
Average time between 'SW-Awaiting EIC Decision' and 'SW-EIC Accept',The average of the duration between activity 'SW-Awaiting EIC Decision' and activity 'SW-EIC Accept',5 days 06:38:27,
Total time between 'SW-Awaiting EIC Decision' and 'SW-EIC Major Revision',The sum of the duration between activity 'SW-Awaiting EIC Decision' and activity 'SW-EIC Major Revision',147 days 18:07:08,
Minimum time between 'SW-Awaiting EIC Decision' and 'SW-EIC Minor Revision',The minimum of the duration between activity 'SW-Awaiting EIC Decision' and activity 'SW-EIC Minor Revision',0 days 00:04:52,
Average time from 'SW-Awaiting Checklist Completion' to 'SW-Awaiting EIC Decision',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Awaiting EIC Decision',69 days 02:49:39.754386,
Total resolution time of 'SW-Awaiting EIC Decision',The sum of the duration between activity SW-Awaiting EIC Decision and the end of the case,5119 days 14:31:51,
Average time it takes 'SW-Awaiting EIC Decision' to be done after 'SW-Reviewer Selection is now due',The average of the duration between activity 'SW-Reviewer Selection is now due' and activity 'SW-Awaiting EIC Decision',71 days 06:06:26.900000,
Total time it takes 'SW-Awaiting EIC Decision' to be done after 'SW-AE Assign Reviewers',The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Awaiting EIC Decision',3344 days 00:10:48,
Minimum time for 'SW-Awaiting EIC Decision' across all cases,The minimum of the duration between activity SW-Awaiting EIC Decision and the end of the case,0 days 00:02:15,
Average time from 'Original Manuscript Submission Confirmation' to 'SW-Awaiting EIC Decision',The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Awaiting EIC Decision',69 days 04:28:06.087719,
Total time from 'Manuscript Export Succeeded' to 'SW-Awaiting EIC Decision',The sum of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Awaiting EIC Decision',3857 days 17:59:36,
Minimum time from 'Plagiarism Originality Report Completed' to 'SW-Awaiting EIC Decision',The minimum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Awaiting EIC Decision',1 days 18:35:01,
Average waiting time to the 'SW-Awaiting EIC Decision' after 'SW-Checklist Completed',The average of the duration between activity 'SW-Checklist Completed' and activity 'SW-Awaiting EIC Decision',63 days 22:13:46.105263,
'SW-Awaiting EIC Decision' Cycle Time,The average of the duration between activity 'SW-Awaiting EIC Decision' and activity 'SW-Awaiting EIC Decision',0 days 02:43:57.949153,
