Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'SW-Reviewer Selection is due in 1 week' to 'SW-AE Assign Reviewers',The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-AE Assign Reviewers',23 days 00:04:21.787879,
Average time between 'SW-Reviewer Selection is due in 1 week' and 'Reviewer Invitation Reminder 1',The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'Reviewer Invitation Reminder 1',61 days 15:45:53.322581,
Average time until 'SW-Reviewer Selection is due in 1 week' is performed after 'SW-Initial Reviewer Selection',The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Selection is due in 1 week',2 days 21:41:50.452381,
Average time for 'SW-Reviewer Selection is due in 1 week' to lead to 'SW-Reviewer Selection is due in 3 days',The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Selection is due in 3 days',5 days 05:38:49.666667,
Total time from 'SW-Reviewer Selection is due in 1 week' to 'SW-Reviewer Agreed',The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed',843 days 10:56:50,
Total time for 'SW-Reviewer Selection is due in 1 week' until 'SW-Awaiting EIC Decision',The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Awaiting EIC Decision',2657 days 19:30:47,
Minimum time between 'SW-Reviewer Selection is due in 1 week' and 'SW-Reviewer Declined',The minimum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Declined',0 days 00:43:13,
Average time it takes from 'SW-Reviewer Selection is due in 1 week' to 'Reviewer Invitation Reminder 2',The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'Reviewer Invitation Reminder 2',54 days 19:04:35.120000,
Total resolution time of 'SW-Reviewer Selection is due in 1 week' until 'SW-AE Assign Reviewers',The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-AE Assign Reviewers',759 days 02:23:59,
Minimum time for 'SW-Reviewer Selection is due in 1 week' to lead to 'SW-Reviewer Selection is now due',The minimum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Selection is now due',7 days 16:15:13,
Average time from 'SW-Reviewer Selection is due in 1 week' to 'SW-Reviewer Unavailable',The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Unavailable',15 days 15:47:06.555556,
Total time it takes 'SW-Reviewer Selection is due in 1 week' after 'SW-Initial Reviewer Selection',The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Selection is due in 1 week',121 days 23:17:19,
Minimum resolution time of 'SW-Reviewer Selection is due in 1 week' until 'SW-Reviewer Agreed',The minimum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Agreed',3 days 21:08:23,
Average time for 'SW-Reviewer Selection is due in 1 week' to result in 'SW-Reviewer Selection is 3 days late',The average of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-Reviewer Selection is 3 days late',10 days 22:31:29.272727,
Total time for 'SW-Reviewer Selection is due in 1 week' until a 'SW-EIC Major Revision' decision is made,The sum of the duration between activity 'SW-Reviewer Selection is due in 1 week' and activity 'SW-EIC Major Revision',848 days 17:01:40,
