Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'SW-Awaiting Checklist Completion' to 'SW-Awaiting AE Assignment' after the submission of a manuscript,the average of the function base > 0 where base is the duration between the first time instant when `ACTIVITY` == 'SW-Awaiting Checklist Completion' and the last time instant when `ACTIVITY` == 'SW-Awaiting AE Assignment',0.6129032258064516,
Average time since 'Original Manuscript Submission Confirmation' until 'SW-Awaiting AE Assignment',The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Awaiting AE Assignment',"3 days, 4:28:11.859649",
Average waiting time until 'SW-Awaiting AE Assignment' compared to 'SW-Checklist Completed',The average of the duration between activity 'SW-Checklist Completed' and activity 'SW-Awaiting AE Assignment',0:08:23.052632,
Average time until the completion of 'SW-Awaiting AE Assignment' compared to 'Manuscript Export Succeeded',The average of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Awaiting AE Assignment',"3 days, 4:16:49.754386",
Average resolution time of 'SW-Awaiting AE Assignment',The average of the duration between activity SW-Awaiting AE Assignment and the end of the case,"60 days, 16:40:08",
Minimun time from 'SW-Awaiting Checklist Completion' to 'SW-Awaiting AE Assignment',The minimum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Awaiting AE Assignment',1:10:01,
Minimun time between 'SW-Checklist Completed' and 'SW-Awaiting AE Assignment',The minimum of the duration between activity 'SW-Checklist Completed' and activity 'SW-Awaiting AE Assignment',0:00:03,
Total time of 'SW-Awaiting AE Assignment' for each variant of the process,"ERROR: computing metric {'begin': ""activity == 'SW-Awaiting AE Assignment'"", 'end': '', 'aggregation': 'total', 'group_by': 'case:concept:name'}",,
Average time of 'SW-Awaiting AE Assignment' compared to 'SW-Reviewer Invitation is Overdue',The average of the duration between activity 'SW-Awaiting AE Assignment' and activity 'SW-Reviewer Invitation is Overdue',,
Time from 'SW-Awaiting Checklist Completion' to 'SW-Awaiting AE Assignment' compared to 'SW-Initial Reviewer Selection',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Awaiting AE Assignment',"3 days, 21:06:53.416667",
Minimun time of 'SW-Awaiting AE Assignment' in the variants that include 'SW-Reviewer Agreed',The minimum of the duration between activity SW-Awaiting AE Assignment and the end of the case,"49 days, 6:35:26",
Average time of 'SW-Awaiting AE Assignment' and 'SW-Reviewer Agreed' until 'SW-Reviewer Declined',The average of the duration between activity 'SW-Awaiting AE Assignment' and activity 'SW-Reviewer Declined',"20 days, 11:25:12.875000",
Total resolution time of 'SW-Awaiting AE Assignment' and 'SW-Awaiting EIC Decision',The sum of the duration between activity 'SW-Awaiting AE Assignment' and activity 'SW-Awaiting EIC Decision',"1898 days, 0:59:06",
Average waiting time of 'SW-Awaiting AE Assignment' compared to 'RW-Initial Reviewer Selection',The average of the duration between activity 'RW-Initial Reviewer Selection' and activity 'SW-Awaiting AE Assignment',,
Time from 'Original Manuscript Submission Confirmation' to 'SW-Awaiting AE Assignment' for the variants that include 'SW-Reviewer Agreed',The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Awaiting AE Assignment',"3 days, 2:46:57.541667",
Average cycle time of the activities sequence starting from 'SW-Awaiting AE Assignment',"ERROR: computing metric {'begin': ""activity == 'SW-Awaiting AE Assignment'"", 'end': '', 'aggregation': 'average', 'group_by': 'case:concept:name'}",,
Average time from 'SW-Awaiting AE Assignment' to 'SW-Reviewer Selection is due in 1 week',The average of the duration between activity 'SW-Awaiting AE Assignment' and activity 'SW-Reviewer Selection is due in 1 week',"3 days, 23:04:02.833333",
Total time from 'SW-Awaiting Checklist Completion' to 'SW-Awaiting AE Assignment' for the variant with 'SW-EIC Major Revision' outcome,The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Awaiting AE Assignment',"11 days, 4:27:52",
Minimun time to 'SW-Awaiting AE Assignment' after 'Original Manuscript Submission Confirmation' in the variants with 'SW-Reviewer Agreed',The minimum of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Awaiting AE Assignment',2:15:23,
Time from 'SW-Awaiting Checklist Completion' to 'SW-Awaiting AE Assignment' for the variants with 'SW-EIC Reject',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Awaiting AE Assignment',"1 day, 15:25:56.148148",
Total time between 'SW-Checklist Completed' and 'SW-Awaiting AE Assignment' in the variants that include 'SW-Reviewer Selection is now due',The sum of the duration between activity 'SW-Checklist Completed' and activity 'SW-Awaiting AE Assignment',0:01:35,
Average time from 'Original Manuscript Submission Confirmation' to 'SW-Awaiting AE Assignment' compared to 'SW-AE Assign Reviewers',The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Awaiting AE Assignment',"3 days, 5:42:15.043478",
Time from 'SW-Awaiting Checklist Completion' to 'SW-Awaiting AE Assignment' in the variant with 'SW-EIC Accept' outcome,The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Awaiting AE Assignment',"15 days, 12:57:52.333333",
Minimun resolution time of 'SW-Awaiting AE Assignment' compared to 'SW-Initial Reviewer Selection',The minimum of the duration between activity 'SW-Awaiting AE Assignment' and activity 'SW-Initial Reviewer Selection',0:00:09,
