Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of \Unmatched + Unmatched\ in relation to \Accepted + In Progress\,Percentage of 'Unmatched + Unmatched' out of all 'Accepted + In Progress',0.0,
Percentage of cases involving \Unmatched + Unmatched\ that also include \Completed + Resolved\,Percentage of 'Unmatched + Unmatched' out of all 'Completed + Resolved',0.0,
Number of \Unmatched + Unmatched\ activities followed by \Queued + Awaiting Assignment\,Number of 'Unmatched + Unmatched' activities for cases where activity 'Queued + Awaiting Assignment' occurs,2,
Percentage of \Unmatched + Unmatched\ activities out of total activities in the event log,Percentage of 'Unmatched + Unmatched' out of all cases,0.0,
Frequency of \Unmatched + Unmatched\ as the final activity in a case,Frequency of activity 'Unmatched + Unmatched',5,
Percentage of \Unmatched + Unmatched\ activities preceded by \Accepted + Wait - User\,Percentage of 'Unmatched + Unmatched' out of all 'Accepted + Wait - User',0.0,
Number of times \Unmatched + Unmatched\ occurs in the most frequent variant,Number of 'Unmatched + Unmatched' activities,5,
Percentage of cases with \Unmatched + Unmatched\ that have a performance above the median,"ERROR: computing metric {'count': ""activity == 'Unmatched + Unmatched'"", 'metric_condition': '> median_performance_value', 'aggregation': 'percentage'}",,
Percentage of \Unmatched + Unmatched\ in cases with \Low\ impact versus \High\ impact,Percentage of 'Unmatched + Unmatched' out of all cases,0.0,
Frequency of \Unmatched + Unmatched\ in cases involving product \PROD582\,Frequency of activity 'Unmatched + Unmatched',0,
Percentage of \Unmatched + Unmatched\ activities that occur in cases longer than the average case duration,"ERROR: computing metric {'count': ""activity == 'Unmatched + Unmatched'"", 'metric_condition': '> average_case_duration', 'aggregation': 'percentage'}",,
Number of \Unmatched + Unmatched\ activities that lead to a \Completed + Cancelled\ status,Number of 'Unmatched + Unmatched' activities for cases where activity 'Completed + Cancelled' occurs,0,
