Name;Metric;Value;Agrupation
Ratio of SW-Awaiting AE Assignment to SW-Awaiting Checklist Completion across all cases;ERROR: computing metric {'count': 'activity == SW-Awaiting AE Assignment', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == SW-Awaiting Checklist Completion'};;
Number of SW-Awaiting AE Assignment events that occur without a subsequent reviewer assignment within 30 days;ERROR: computing metric {'count': 'activity == SW-Awaiting AE Assignment', 'aggregation': 'total'};;
Percentage of SW-Awaiting AE Assignment that leads to an eventual SW-EIC Reject outcome;ERROR: computing metric {'count': 'activity == SW-Awaiting AE Assignment', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == SW-EIC Reject'};;
Frequency of SW-Awaiting AE Assignment in variants that end with SW-EIC Accept versus those ending with SW-EIC Reject;ERROR: computing metric {'count': 'activity == SW-Awaiting AE Assignment', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == SW-EIC Accept'};;
Percentage of SW-Awaiting AE Assignment occurrences that are part of the shortest 25% of process variants by duration;ERROR: computing metric {'count': 'activity == SW-Awaiting AE Assignment', 'metric_condition': '> 0', 'aggregation': 'percentage'};;
Number of times SW-Awaiting AE Assignment appears before any reviewer-related activity (e.g., SW-Reviewer Agreed, SW-Reviewer Declined, or SW-Reviewer No Response);ERROR: computing metric {'count': 'activity == SW-Awaiting AE Assignment', 'aggregation': 'total'};;
Percentage of cases where SW-Awaiting AE Assignment is directly followed by SW-Initial Reviewer Selection;ERROR: computing metric {'count': 'activity == SW-Awaiting AE Assignment', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == SW-Initial Reviewer Selection'};;
Ratio of SW-Awaiting AE Assignment to Plagiarism Originality Report Completed across all completed submissions;ERROR: computing metric {'count': 'activity == SW-Awaiting AE Assignment', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Plagiarism Originality Report Completed'};;
Frequency of SW-Awaiting AE Assignment in cases that include at least one instance of SW-Reviewer Agreed;ERROR: computing metric {'count': 'activity == SW-Awaiting AE Assignment', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == SW-Reviewer Agreed'};;
Percentage of SW-Awaiting AE Assignment events that occur in the same case as Immediate Reject Decision from the Checklist;ERROR: computing metric {'count': 'activity == SW-Awaiting AE Assignment', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity == Immediate Reject Decision from the Checklist'};;
