Name;Metric;Value;Agrupation
Average time from SW-Awaiting Checklist Completion to SW-Checklist Completed;The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Checklist Completed';4.40 days;
Average time between SW-Awaiting Checklist Completion and Original Manuscript Submission Confirmation;The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Original Manuscript Submission Confirmation';2.29 days;
Average time until SW-Awaiting Checklist Completion is performed;The average of the duration between the start of the case and activity 'SW-Awaiting Checklist Completion';16.41 hours;
Average time for SW-Awaiting Checklist Completion;The average of the duration between activity SW-Awaiting Checklist Completion and the end of the case;108.99 days;
Average time since the SW-Awaiting Checklist Completion and SW-Checklist Completed are performed;The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Checklist Completed';4.40 days;
Average waiting time to the SW-Awaiting Checklist Completion;The average of the duration between the start of the case and activity 'SW-Awaiting Checklist Completion';16.41 hours;
Average time it takes SW-Awaiting Checklist Completion after the execution of Original Manuscript Submission Confirmation;The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Awaiting Checklist Completion';1.49 days;
Average time it takes the SW-Awaiting Checklist Completion to be done;The average of the duration between activity SW-Awaiting Checklist Completion and the end of the case;108.99 days;
Total time from SW-Awaiting Checklist Completion to SW-Checklist Completed;The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Checklist Completed';360.71 days;
Total time between SW-Awaiting Checklist Completion and Manuscript Export Succeeded;The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Manuscript Export Succeeded';6417.01 days;
Total time until SW-Awaiting Checklist Completion is performed;The sum of the duration between the start of the case and activity 'SW-Awaiting Checklist Completion';58.12 days;
Total time to SW-Awaiting Checklist Completion grouped by performer;The sum of the duration between the start of the case and activity 'SW-Awaiting Checklist Completion';ADMIN:1.48 days;"{""ADMIN"":127573000,""AUTHOR"":2294155000,""EIC"":0,""SYSTEM"":2599552000}"
Total time for SW-Awaiting Checklist Completion;The sum of the duration between activity SW-Awaiting Checklist Completion and the end of the case;9264.04 days;
Total time since the SW-Awaiting Checklist Completion and Plagiarism Originality Report Completed are performed;The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Plagiarism Originality Report Completed';120.76 days;
Total waiting time to the SW-Awaiting Checklist Completion;The sum of the duration between the start of the case and activity 'SW-Awaiting Checklist Completion';58.12 days;
Total time it takes SW-Awaiting Checklist Completion after the execution of Manuscript Export Succeeded;The sum of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Awaiting Checklist Completion';58.02 days;
Total time it takes the SW-Awaiting Checklist Completion to be done;The sum of the duration between activity SW-Awaiting Checklist Completion and the end of the case;9264.04 days;
Total resolution time of SW-Awaiting Checklist Completion;The sum of the duration between activity SW-Awaiting Checklist Completion and the end of the case;9264.04 days;
Minimum time between SW-Awaiting Checklist Completion and SW-Checklist Completed;The minimum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Checklist Completed';1.07 hours;
Minimum time until SW-Awaiting Checklist Completion is performed;The minimum of the duration between the start of the case and activity 'SW-Awaiting Checklist Completion';0.00 seconds;
Minimum time for SW-Awaiting Checklist Completion;The minimum of the duration between activity SW-Awaiting Checklist Completion and the end of the case;3.47 hours;
Minimum time since the SW-Awaiting Checklist Completion and SW-Checklist Completed are performed;The minimum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Checklist Completed';1.07 hours;
Minimum waiting time to the SW-Awaiting Checklist Completion;The minimum of the duration between the start of the case and activity 'SW-Awaiting Checklist Completion';0.00 seconds;
Minimum time it takes SW-Awaiting Checklist Completion after the execution of Original Manuscript Submission Confirmation;The minimum of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Awaiting Checklist Completion';0.00 seconds;
Minimum time it takes the SW-Awaiting Checklist Completion to be done;The minimum of the duration between activity SW-Awaiting Checklist Completion and the end of the case;3.47 hours;
Minimum resolution time of SW-Awaiting Checklist Completion;The minimum of the duration between activity SW-Awaiting Checklist Completion and the end of the case;3.47 hours;
Percentage of time spent in SW-Awaiting Checklist Completion;The average of the duration between activity SW-Awaiting Checklist Completion and the end of the case;108.99 days;
The time between the SW-Awaiting Checklist Completion and the SW-Checklist Completed;The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Checklist Completed';4.40 days;
Elapsed time between SW-Awaiting Checklist Completion and Plagiarism Originality Report Completed;The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Plagiarism Originality Report Completed';1.45 days;
Time until SW-Awaiting Checklist Completion;The average of the duration between the start of the case and activity 'SW-Awaiting Checklist Completion';16.41 hours;
