Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Completed + In Call' to 'Completed + Cancelled',The average of the duration between activity 'Completed + In Call' and activity 'Completed + Cancelled',7:02:52,
Average time between 'Completed + Resolved' and 'Completed + Cancelled',The average of the duration between activity 'Completed + Resolved' and activity 'Completed + Cancelled',,
Average time until 'Completed + Cancelled' is performed,The average of the duration between the start of the case and activity 'Completed + Cancelled',8:39:48,
Average time for 'Completed + Cancelled',The average of the duration between activity Completed + Cancelled and the end of the case,0:00:00,
Average time since 'Completed + Resolved' and 'Completed + Cancelled' are performed,The average of the duration between activity 'Completed + Resolved' and activity 'Completed + Cancelled',,
Average waiting time to 'Completed + Cancelled',The average of the duration between the start of the case and activity 'Completed + Cancelled',8:39:48,
Average time it takes 'Completed + Cancelled' after the execution of 'Completed + Resolved',The average of the duration between activity 'Completed + Resolved' and activity 'Completed + Cancelled',,
Average time it takes 'Completed + Cancelled' to be done,The average of the duration between the start of the case and activity 'Completed + Cancelled',8:39:48,
Total time from 'Completed + In Call' to 'Completed + Cancelled',The sum of the duration between activity 'Completed + In Call' and activity 'Completed + Cancelled',7:02:52,
Total time between 'Completed + Resolved' and 'Completed + Cancelled',The sum of the duration between activity 'Completed + Resolved' and activity 'Completed + Cancelled',,
Total time until 'Completed + Cancelled' is performed,The sum of the duration between the start of the case and activity 'Completed + Cancelled',8:39:48,
Total time for 'Completed + Cancelled',The sum of the duration between activity Completed + Cancelled and the end of the case,0:00:00,
Total time since 'Completed + Resolved' and 'Completed + Cancelled' are performed,The sum of the duration between activity 'Completed + Resolved' and activity 'Completed + Cancelled',,
Total waiting time to 'Completed + Cancelled',The sum of the duration between the start of the case and activity 'Completed + Cancelled',8:39:48,
Total time it takes 'Completed + Cancelled' after the execution of 'Completed + Resolved',The sum of the duration between activity 'Completed + Resolved' and activity 'Completed + Cancelled',,
Total time it takes 'Completed + Cancelled' to be done,The sum of the duration between the start of the case and activity 'Completed + Cancelled',8:39:48,
Total resolution time of 'Completed + Cancelled',The sum of the duration between activity Completed + Cancelled and the end of the case,0:00:00,
Minimum time between 'Completed + Resolved' and 'Completed + Cancelled',The minimum of the duration between activity 'Completed + Resolved' and activity 'Completed + Cancelled',,
Minimum time until 'Completed + Cancelled' is performed,The minimum of the duration between the start of the case and activity 'Completed + Cancelled',8:39:48,
Minimum time for 'Completed + Cancelled',The minimum of the duration between activity Completed + Cancelled and the end of the case,0:00:00,
Minimum time since 'Completed + Resolved' and 'Completed + Cancelled' are performed,The minimum of the duration between activity 'Completed + Resolved' and activity 'Completed + Cancelled',,
Minimum waiting time to 'Completed + Cancelled',The minimum of the duration between the start of the case and activity 'Completed + Cancelled',8:39:48,
Minimum time it takes 'Completed + Cancelled' after the execution of 'Completed + Resolved',The minimum of the duration between activity 'Completed + Resolved' and activity 'Completed + Cancelled',,
Minimum time it takes 'Completed + Cancelled' to be done,The minimum of the duration between the start of the case and activity 'Completed + Cancelled',8:39:48,
Minimum resolution time of 'Completed + Cancelled',The minimum of the duration between activity Completed + Cancelled and the end of the case,0:00:00,
Minimum time from 'Completed + In Call' to 'Completed + Cancelled',The minimum of the duration between activity 'Completed + In Call' and activity 'Completed + Cancelled',7:02:52,
Time until 'Completed + Cancelled',The average of the duration between the start of the case and activity 'Completed + Cancelled',8:39:48,
Time from 'Completed + In Call' to 'Completed + Cancelled',The average of the duration between activity 'Completed + In Call' and activity 'Completed + Cancelled',7:02:52,
Time to 'Completed + Cancelled' since 'Completed + Resolved',The average of the duration between activity 'Completed + Resolved' and activity 'Completed + Cancelled',,
Time of 'Completed + Cancelled',The average of the duration between activity Completed + Cancelled and the end of the case,0:00:00,
'Completed + Cancelled' Cycle Time,The average of the duration between the start of the case and activity 'Completed + Cancelled',8:39:48,
Elapsed time between 'Completed + Resolved' and 'Completed + Cancelled',The average of the duration between activity 'Completed + Resolved' and activity 'Completed + Cancelled',,
Time between 'Accepted + In Progress' and 'Completed + Cancelled',The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + Cancelled',8:39:48,
Time between 'Queued + Awaiting Assignment' and 'Completed + Cancelled',The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + Cancelled',,
Time between 'Accepted + Wait - User' and 'Completed + Cancelled',The average of the duration between activity 'Accepted + Wait - User' and activity 'Completed + Cancelled',8:39:04,
Time between 'Accepted + Wait - Implementation' and 'Completed + Cancelled',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Cancelled',,
Time between 'Accepted + Wait - Vendor' and 'Completed + Cancelled',The average of the duration between activity 'Accepted + Wait - Vendor' and activity 'Completed + Cancelled',,
Time between 'Accepted + Wait - Customer' and 'Completed + Cancelled',The average of the duration between activity 'Accepted + Wait - Customer' and activity 'Completed + Cancelled',,
Time between 'Accepted + Assigned' and 'Completed + Cancelled',The average of the duration between activity 'Accepted + Assigned' and activity 'Completed + Cancelled',,
Time between 'Unmatched + Unmatched' and 'Completed + Cancelled',The average of the duration between activity 'Unmatched + Unmatched' and activity 'Completed + Cancelled',,
Time between 'Completed + In Call' and 'Completed + Cancelled',The average of the duration between activity 'Completed + In Call' and activity 'Completed + Cancelled',7:02:52,
