Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of Completed + Cancelled by Queued + Awaiting Assignment,Percentage of 'Queued + Awaiting Assignment' out of all 'Completed + Cancelled',0.0,
Number of Completed + Cancelled,Number of 'Completed + Cancelled' activities,1.0,
Average number of time Completed + Cancelled is performed in a month,"ERROR: computing metric {'count': ""activity == 'Completed + Cancelled'"", 'aggregation': 'average', 'group_by': 'month'}",,
Number of Completed + Cancelled that are preceded by Accepted + In Progress,Number of 'Completed + Cancelled' activities,1.0,
Percentage of Completed + Cancelled that are not dismissed,Percentage of 'Completed + Cancelled' out of all cases,0.0,
Total Completed + Cancelled done by a specific RESOURCE,Number of 'Completed + Cancelled' activities == 'specific RESOURCE' where ma is the last value of org:resource,,
Number of Completed + Cancelled made per year,"ERROR: computing metric {'count': ""activity == 'Completed + Cancelled'"", 'aggregation': 'total', 'group_by': 'year'}",,
Total Completed + Cancelled performed by the RESOURCE,Number of 'Completed + Cancelled' activities == 'RESOURCE' where ma is the last value of org:resource,,
Percentage of Completed + Cancelled that follow the path Queued + Awaiting Assignment -> Accepted + In Progress,Percentage of 'Completed + Cancelled' out of all cases,0.0,
Percentage of 'frequency' of Completed + Cancelled compared to 'frequency' of Completed + In Call,Percentage of 'Completed + Cancelled' out of all 'Completed + In Call',0.0,
Average number of actions performed before Completed + Cancelled,the average of the number of times `ACTIVITY` == 'Completed + Cancelled',0.0,
The ratio of Completed + Cancelled over Completed + Resolved,Percentage of 'Completed + Cancelled' out of all 'Completed + Resolved',0.0,
Number of Completed + Cancelled that are related to organization: country=br,Number of 'Completed + Cancelled' activities == 'br' where ma is the last value of organization country,0.0,
Total time spent on Completed + Cancelled in a specific variant Accepted + In Progress -> Accepted + In Progress -> Queued + Awaiting Assignment -> Accepted + In Progress -> Completed + Resolved -> Completed + Closed,Number of 'Completed + Cancelled' activities,1.0,
Percentage of Completed + Cancelled compared to Accepted + In Progress,Percentage of 'Completed + Cancelled' out of all 'Accepted + In Progress',0.0,
Percentage of incidents that result in Completed + Cancelled compared to incidents resulted in other activities,Percentage of 'Completed + Cancelled' out of all cases where 'Completed + Cancelled' does not happen,0.0,
The number of times that Completed + Cancelled was performed after Accepted + In Progress,Number of 'Completed + Cancelled' activities,1.0,
The ratio of time spent on Accepted + In Progress that results in Completed + Cancelled and Accepted + In Progress that results in Completed + In Call,Percentage of 'Completed + Cancelled' out of all 'Accepted + In Progress',0.0,
