Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time spent in Completed + In Call,The average of the duration between activity Completed + In Call and the end of the case,19:54:30.675917,
Average time between Accepted + In Progress and Completed + In Call,The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call',8:38:49.233515,
Average time until Accepted + In Progress leads to Completed + In Call,The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call',8:38:49.233515,
Average time from Accepted + In Progress to Completed + In Call for incidents,The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call',8:38:49.233515,
Average time from Completed + In Call to Completed + Resolved,The average of the duration between activity 'Completed + In Call' and activity 'Completed + Resolved',"9 days, 1:33:40.911111",
Average time it takes to complete Accepted + In Progress after Completed + In Call,The average of the duration between activity 'Completed + In Call' and activity 'Accepted + In Progress',"7 days, 7:08:48.073529",
Average waiting time to Completed + In Call,The average of the duration between the start of the case and activity 'Completed + In Call',8:38:33.807730,
Average resolution time of Completed + In Call for incidents in the VINST system,The average of the duration between activity Completed + In Call and the end of the case,19:54:30.675917,
Total time from Accepted + In Progress to Completed + In Call,The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call',"726 days, 17:01:04",
"Total time spent in the cycle of Accepted + In Progress, Completed + In Call and Completed + Resolved",The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + Resolved',"1239 days, 14:39:15",
Total time from first Queued + Awaiting Assignment to Completed + In Call,The sum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + In Call',,
Total resolution time of Completed + In Call for incidents in the VINST system from queuing to resolving,The sum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + Resolved',"55098 days, 11:26:02",
Total time of Completed + In Call in the process variant Accepted + In Progress -> Completed + In Call,The sum of the duration between activity 'Completed + In Call' and the end of case where activity 'Accepted + In Progress occurs,"1673 days, 23:23:44",
Total time from Completed + In Call to the start of the incident resolution process,The sum of the duration between activity 'Completed + In Call' and activity 'Accepted + In Progress',"992 days, 11:56:58",
Time difference between Accepted + In Progress and Completed + In Call for critical incidents,The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call',,
Average time of Completed + In Call that follows Accepted + In Progress and leads to Completed + Resolved,The average of the duration between activity 'Completed + In Call' and activity 'Completed + Resolved',"9 days, 1:33:40.911111",
Average time from last Queued + Awaiting Assignment to Completed + In Call for low-priority incidents,The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + In Call',,
Average time from first Accepted + In Progress to Completed + In Call through different process variants,The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call',8:38:49.233515,
Total time of Completed + In Call in the variant Accepted + In Progress -> Queued + Awaiting Assignment -> Accepted + In Progress -> Completed + In Call,"ERROR: computing metric {'begin': ""activity == 'Completed + In Call'"", 'end': '', 'aggregation': 'total', 'filter': ""activity == 'Accepted + In Progress' AND activity == 'Queued + Awaiting Assignment'""}",,
Average resolution time of Completed + In Call after Accepted + Assigned,The average of the duration between activity 'Completed + In Call' and the end of case where activity 'Accepted + Assigned occurs,"18 days, 18:32:24.914286",
Average time between Completed + In Call and start of Accepted + Wait - User,The average of the duration between activity 'Completed + In Call' and activity 'Accepted + Wait - User',"8 days, 12:30:59.735849",
Time difference between the two consecutive occurrences of Completed + In Call,The average of the duration between activity 'Completed + In Call' and activity 'Completed + In Call',0:00:00,
Average resolution time of the variant Accepted + In Progress -> Accepted + In Progress -> Completed + In Call -> Accepted + In Progress -> Completed + Resolved,The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + Resolved',"9 days, 4:22:30.777778",
Average time from Completed + In Call to the next Completed + In Call in incidents with multiple occurrences of Completed + In Call,The average of the duration between activity 'Completed + In Call' and activity 'Completed + In Call',0:00:00,
Average time it takes to complete the next Completed + In Call after Accepted + Wait,The average of the duration between activity 'Accepted + Wait' and activity 'Completed + In Call',"6 days, 21:16:23.320755",
Total time from first Accepted + In Progress to multiple occurrences of Completed + In Call,The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call',"726 days, 17:01:04",
Average cycle time for Completed + In Call that follows Accepted + In Progress and leads to Completed + Resolved,The average of the duration between activity 'Completed + In Call' and activity 'Completed + Resolved',"9 days, 1:33:40.911111",
Average cycle time for incidents with multiple occurrences of Completed + In Call,The average of the duration between activity 'Completed + In Call' and activity 'Completed + In Call',0:00:00,
Average resolution time of Completed + In Call that follows Queued + Awaiting Assignment in incidents with low-priority issues,The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + In Call',,
