Name;Metric;Value;Agrupation
Average duration from 'Accepted + Assigned' to 'Completed + In Call';The average of the duration between activity 'Accepted + Assigned' and activity 'Completed + In Call';30.00 seconds;
Average duration from 'Accepted + Assigned' to 'Completed + Resolved';The average of the duration between activity 'Accepted + Assigned' and activity 'Completed + Resolved';14.66 days;
Total duration of 'Accepted + Assigned' activity across all cases;The sum of the duration between activity Accepted + Assigned and the end of the case;34941.92 days;
Average duration from 'Accepted + Assigned' to 'Accepted + In Progress';The average of the duration between activity 'Accepted + Assigned' and activity 'Accepted + In Progress';10.58 days;
Earliest start time of 'Accepted + Assigned' after 'Accepted + In Progress';The minimum of the duration between activity 'Accepted + Assigned' and activity 'Accepted + In Progress';3.00 seconds;
Latest finish time of 'Accepted + Assigned' before 'Completed + In Call';The maximum of the duration between activity 'Accepted + Assigned' and activity 'Completed + In Call';30.00 seconds;
Average duration from 'Accepted + Assigned' to 'Completed + Closed';The average of the duration between activity 'Accepted + Assigned' and activity 'Completed + Closed';19.24 days;
Total duration from 'Accepted + Assigned' to 'Completed + In Call' across all variants where both activities occur;The sum of the duration between activity 'Accepted + Assigned' and activity 'Completed + In Call';30.00 seconds;
Longest single instance duration of 'Accepted + Assigned';the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + Assigned' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x000001A843391A90> - AppliesTo.PROCESS;751.60 days;
Shortest single instance duration of 'Accepted + Assigned';The minimum of the duration between activity Accepted + Assigned and the end of the case;30.00 seconds;
Average duration from 'Accepted + Assigned' to the next activity;The average of the duration between activity Accepted + Assigned and the end of the case;19.10 days;
Total elapsed time involving 'Accepted + Assigned' in the top 5 longest process variants;The sum of the duration between activity Accepted + Assigned and the end of the case;34941.92 days;
Duration from 'Accepted + Assigned' to 'Accepted + Wait - User' in cases where both activities occur;The average of the duration between activity 'Accepted + Assigned' and activity 'Accepted + Wait - User';5.95 days;
Average lead time before 'Accepted + Assigned' following 'Queued + Awaiting Assignment';The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Accepted + Assigned';6.46 days;
Total duration of 'Accepted + Assigned' in cases leading to 'Completed + In Call' to understand its impact on resolution time;The sum of the duration between activity 'Accepted + Assigned' and activity 'Completed + In Call';30.00 seconds;
Duration from 'Accepted + Assigned' to 'Accepted + Wait - Implementation' in processes where this transition occurs;The average of the duration between activity 'Accepted + Assigned' and activity 'Accepted + Wait - Implementation';16.15 days;
Average completion time of processes starting with 'Accepted + Assigned' and ending with 'Completed + Closed';The average of the duration between activity 'Accepted + Assigned' and activity 'Completed + Closed';19.24 days;
Median duration for 'Accepted + Assigned' activity;The average of the duration between activity Accepted + Assigned and the end of the case;19.10 days;
Difference in average duration between 'Accepted + Assigned' and 'Queued + Awaiting Assignment';The average of the duration between activity 'Accepted + Assigned' and activity 'Queued + Awaiting Assignment';9.11 days;
Duration variability of 'Accepted + Assigned' across all cases;The sum of the duration between activity Accepted + Assigned and the end of the case;34941.92 days;
