Name;Metric;Value;Agrupation
Minimum time between SW-AE Assign Reviewers and SW-Reviewer Agreed;The minimum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';44.00 seconds;
Time from SW-Checklist Completed to SW-Reviewer Agreed;The average of the duration between activity 'SW-Checklist Completed' and activity 'SW-Reviewer Agreed';23.60 days;
Average time to SW-Reviewer Agreed grouped by case variant;"ERROR: computing metric {'begin': activity == 'SW-AE Assign Reviewers'"", 'end': ""activity == 'SW-Reviewer Agreed'"", 'aggregation': 'average', 'group_by': 'case:variant'}""";;
Minimum waiting time to the SW-Reviewer Agreed after the first invitation;The minimum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';44.00 seconds;
Minimum time it takes SW-Reviewer Agreed after the execution of SW-AE Assign Reviewers Challenge Paper;The minimum of the duration between activity 'SW-AE Assign Reviewers Challenge Paper' and activity 'SW-Reviewer Agreed';2.34 days;
The time between the last SW-AE Assign Reviewers and the SW-Reviewer Agreed;The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';17.42 days;
Comparison of SW-Reviewer Agreed time in initial review vs. revised manuscript (RW) rounds;The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';23.57 days;
Total time for SW-Reviewer Agreed activity across the log;The sum of the duration between activity SW-Reviewer Agreed and the end of the case;7629.31 days;
Minimum time for SW-Reviewer Agreed in the fastest variant;"ERROR: computing metric {'begin': activity == 'SW-Reviewer Agreed'"", 'end': '', 'aggregation': 'minimum', 'group_by': 'case:variant'}""";;
Total resolution time of SW-Reviewer Agreed (from first assignment attempt to agreement);The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';783.82 days;
Minimum resolution time of SW-Reviewer Agreed versus SW-Reviewer Declined;The minimum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';12.18 hours;
Time between SW-Reviewer Agreed and the start of the subsequent review phase in the scientific evaluation process;The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting EIC Decision';71.63 days;
Average delay to SW-Reviewer Agreed after a reviewer becomes unavailable (SW-Reviewer Unavailable);The average of the duration between activity 'SW-Reviewer Unavailable' and activity 'SW-Reviewer Agreed';16.27 days;
Time from SW-Reviewer Agreed to the next major revision decision (SW-EIC Major Revision);The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-EIC Major Revision';84.96 days;
Total time to SW-Reviewer Agreed grouped by the number of previous reviewer declines;"ERROR: computing metric {'begin': activity == 'SW-AE Assign Reviewers'"", 'end': ""activity == 'SW-Reviewer Agreed'"", 'aggregation': 'total', 'group_by': 'case:previous_declines'}""";;
Ratio of average time to SW-Reviewer Agreed vs. average time to SW-Reviewer Declined;The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';18.57 days;
Total time since the SW-Initial Reviewer Selection and SW-Reviewer Agreed are performed;The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Agreed';1032.04 days;
Average time from SW-Reviewer Agreed to SW-Awaiting EIC Decision;The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting EIC Decision';71.63 days;
Total time it takes SW-Reviewer Agreed after the execution of Assign a Different Editor;The sum of the duration between activity 'Assign a Different Editor' and activity 'SW-Reviewer Agreed';76.25 days;
Minimum time it takes the SW-Reviewer Agreed to be done in the variant with the highest performance time;"ERROR: computing metric {'begin': activity == 'SW-AE Assign Reviewers'"", 'end': ""activity == 'SW-Reviewer Agreed'"", 'aggregation': 'minimum', 'group_by': 'case:variant'}""";;
Time of SW-Reviewer Agreed relative to the overall manuscript review cycle time;The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Reviewer Agreed';28.84 days;
Minimum waiting time to the SW-Reviewer Agreed after the manuscript export;The minimum of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Reviewer Agreed';5.19 days;
Minimum time between Reviewer Invitation Reminder 1 and SW-Reviewer Agreed;The minimum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed';10.03 minutes;
