Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'SW-Reviewer Agreed' to 'SW-EIC Reject',The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-EIC Reject',"73 days, 5:09:34.100000",
Total time from 'Original Manuscript Submission Confirmation' to 'SW-EIC Reject',The sum of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-EIC Reject',"917 days, 14:13:22",
Minimum time from 'SW-Awaiting AE Recommendation' to 'SW-EIC Reject',The minimum of the duration between activity 'SW-Awaiting AE Recommendation' and activity 'SW-EIC Reject',0:38:48,
Average time for 'SW-EIC Reject' to occur after 'SW-Awaiting Checklist Completion',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-EIC Reject',"27 days, 16:30:22.545455",
Total resolution time of 'SW-EIC Reject',The sum of the duration between activity SW-EIC Reject and the end of the case,0:48:25,
Minimum resolution time of 'SW-EIC Reject',The minimum of the duration between activity SW-EIC Reject and the end of the case,0:00:00,
Average time between 'SW-Checklist Completed' and 'SW-EIC Reject',The average of the duration between activity 'SW-Checklist Completed' and activity 'SW-EIC Reject',"25 days, 10:26:00.606061",
Total time it takes 'SW-EIC Reject' to be done after 'Plagiarism Originality Report Completed',The sum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-EIC Reject',"893 days, 2:34:07",
Minimum time it takes 'SW-EIC Reject' to be done after 'Manuscript Export Succeeded',The minimum of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-EIC Reject',3:14:28,
Average waiting time to the 'SW-EIC Reject' after 'SW-AE Assign Reviewers',The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-EIC Reject',"76 days, 2:34:43.222222",
Total waiting time to the 'SW-EIC Reject' after 'Reviewer Invitation Reminder 1',The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-EIC Reject',"660 days, 18:47:16",
Average time to 'SW-EIC Reject' grouped by 'case:concept:name',"ERROR: computing metric {'begin': ""activity == 'SW-EIC Reject'"", 'end': '', 'aggregation': 'average', 'group_by': 'case:concept:name'}",,
Time until 'SW-EIC Reject' from the start of the process variant including 'SW-AE Assign Reviewers' and 'SW-Reviewer Agreed',The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-EIC Reject',"684 days, 23:12:29",
Elapsed time between 'SW-AE Assign Reviewers' and 'SW-EIC Reject' in the most frequent process variant,The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-EIC Reject',"684 days, 23:12:29",
Time of 'SW-EIC Reject' in relation to the total process time for cases ending with 'SW-EIC Reject',The average of the duration between activity SW-EIC Reject and the end of the case,0:01:25.441176,
'SW-EIC Reject' Cycle Time in comparison to 'SW-EIC Accept' Cycle Time,The average of the duration between activity 'SW-EIC Reject' and activity 'SW-EIC Accept',,
Average time from 'SW-AE Assign Reviewers' to 'SW-EIC Reject' in cases where 'SW-Reviewer No Response' occurred,The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-EIC Reject',"147 days, 0:24:23",
Total time from 'SW-Initial Reviewer Selection' to 'SW-EIC Reject' across all variants,The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-EIC Reject',"862 days, 23:26:57",
Minimum time between 'SW-Reviewer Agreed' and the next activity after 'SW-EIC Reject',The minimum of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-EIC Reject',"45 days, 16:29:03",
