Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average resolution time from 'Accepted + In Progress' to 'Completed + In Call',The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call',8:38:49.233515,
Median duration of 'Completed + In Call' across all cases,"ERROR: computing metric {'begin': ""activity == 'Completed + In Call'"", 'end': '', 'aggregation': 'median'}",,
Average delay before starting 'Completed + In Call' after 'Accepted + Wait - User',The average of the duration between activity 'Accepted + Wait - User' and activity 'Completed + In Call',"8 days, 3:34:57.158730",
Difference in average duration between 'Completed + In Call' and 'Completed + Resolved',"ERROR: computing metric {'begin': ""activity == 'Completed + In Call'"", 'end': ""activity == 'Completed + Resolved'"", 'aggregation': 'difference_average'}",,
Total duration of 'Completed + In Call' activities in the event log,The sum of the duration between activity Completed + In Call and the end of the case,"1673 days, 23:23:44",
Average time from 'Completed + In Call' to 'Completed + Closed',The average of the duration between activity 'Completed + In Call' and activity 'Completed + Closed',"12 days, 10:53:36.649254",
Longest duration of a single 'Completed + In Call' activity,the maximum of the duration between the first time instant when `ACTIVITY` == 'Completed + In Call' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x000002583FC292D0> - AppliesTo.PROCESS,"120 days, 16:20:28",
Shortest duration of a single 'Completed + In Call' activity,The minimum of the duration between activity Completed + In Call and the end of the case,0:00:00,
Total number of transitions from 'Completed + In Call' to any other activity,"ERROR: computing metric {'begin': ""activity == 'Completed + In Call'"", 'end': '', 'aggregation': 'total_transitions'}",,
Average duration of 'Completed + In Call' during high impact cases,The average of the duration between activity Completed + In Call and the end of the case,0:52:51.500000,
Variation in duration of 'Completed + In Call' across different organizations,"ERROR: computing metric {'begin': ""activity == 'Completed + In Call'"", 'end': '', 'aggregation': 'variation', 'group_by': 'organization involved'}",,
Average duration of 'Completed + In Call' in cases with more than one occurrence of this activity,The average of the duration between activity Completed + In Call and the end of the case,19:54:30.675917,
Time difference between first 'Accepted + In Progress' and 'Completed + In Call' in a case,"ERROR: computing metric {'begin': ""activity == 'Accepted + In Progress'"", 'end': ""activity == 'Completed + In Call'"", 'aggregation': 'time_difference_first'}",,
Average duration of 'Completed + In Call' in cases ending with 'Completed + Closed',The average of the duration between activity 'Completed + In Call' and activity 'Completed + Closed',"12 days, 10:53:36.649254",
Distribution of 'Completed + In Call' duration across different products,"ERROR: computing metric {'begin': ""activity == 'Completed + In Call'"", 'end': '', 'aggregation': 'distribution', 'group_by': 'product'}",,
Average duration of 'Completed + In Call' for cases initiated by 'V30' org:group,The average of the duration between activity Completed + In Call and the end of the case,,
Comparison of average duration of 'Completed + In Call' before and after a specific date in the event log,"ERROR: computing metric {'begin': ""activity == 'Completed + In Call'"", 'end': '', 'aggregation': 'comparison_average', 'filter': ""time:timestamp != 'specific_date'""}",,
Correlation between duration of 'Completed + In Call' and case impact level,"ERROR: computing metric {'begin': ""activity == 'Completed + In Call'"", 'end': '', 'aggregation': 'correlation', 'group_by': 'impact'}",,
Average duration of 'Completed + In Call' for cases with 'Medium' impact vs 'High' impact,The average of the duration between activity Completed + In Call and the end of the case,5:36:10.121173,
