Name;Metric;Value;Agrupation
Frequency of 'Completed + Cancelled' compared to 'Completed + In Call';Percentage of 'Completed + Cancelled' out of all 'Completed + In Call';0.0;
Percentage of cases involving 'Completed + Cancelled' out of all cases;Percentage of 'Completed + Cancelled' out of all cases;0.0;
Frequency of 'Completed + Cancelled' following 'Accepted + In Progress';Frequency of activity 'Completed + Cancelled' for cases where activity 'Accepted + In Progress' occurs;1;
Percentage of 'Completed + Cancelled' preceded by 'Queued + Awaiting Assignment';Percentage of 'Completed + Cancelled' out of all 'Queued + Awaiting Assignment';0.0;
Ratio of 'Completed + Cancelled' over 'Completed + Resolved';Percentage of 'Completed + Cancelled' out of all 'Completed + Resolved';0.0;
Percentage of 'Completed + Cancelled' activities by country;Percentage of 'Completed + Cancelled' out of all cases;0:0.0;"{""0"":0.0,""SE"":0.0,""au"":0.0,""be"":0.0,""br"":0.0,""ca"":0.0,""cl"":0.0,""cn"":0.0,""de"":0.0,""fr"":0.0,""gb"":0.0,""in"":0.0,""jp"":0.0,""kr"":0.0,""my"":0.0,""nl"":0.0,""pe"":0.0,""pl"":0.0005675369,""ru"":0.0,""se"":0.0,""th"":0.0,""tr"":0.0,""us"":0.0}"
Frequency of 'Completed + Cancelled' in cases with performance above average;Frequency of activity 'Completed + Cancelled';1;
Percentage of 'Completed + Cancelled' followed by any activity;Percentage of 'Completed + Cancelled' out of all cases;0.0;
Number of 'Completed + Cancelled' activities that occur after 'Accepted + Wait - User';Frequency of activity 'Completed + Cancelled' for cases where activity 'Accepted + Wait - User' occurs;1;
Percentage of 'Completed + Cancelled' in relation to all 'Completed' activities;Percentage of 'Completed + Cancelled' out of all 'Completed';;
Frequency of 'Completed + Cancelled' in the top 5 most common variants;Frequency of activity 'Completed + Cancelled';1;
Percentage of cases with 'Completed + Cancelled' that have a duration above the median case duration;Percentage of 'Completed + Cancelled' out of all cases;0.0;
