Name;Metric;Value;Agrupation
Average time from SW-Reviewer Agreed to SW-Awaiting EIC Decision;The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting EIC Decision';71.63 days;
Total time between SW-Reviewer Agreed and SW-Awaiting AE Recommendation;The sum of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting AE Recommendation';1617.84 days;
Minimum time it takes SW-Reviewer Agreed after the execution of SW-AE Assign Reviewers;The minimum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';44.00 seconds;
Total resolution time of SW-Reviewer Agreed in variants that include SW-EIC Major Revision;The sum of the duration between activity 'SW-Reviewer Agreed' and the end of case where activity 'SW-EIC Major Revision occurs;4411.54 days;
Elapsed time between SW-Reviewer Agreed and the subsequent occurrence of SW-Reviewer Declined within the same case;The sum of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Reviewer Declined';332.89 days;
Average time until SW-Reviewer Agreed is performed after SW-Reviewer Selection is now due;The average of the duration between activity 'SW-Reviewer Selection is now due' and activity 'SW-Reviewer Agreed';24.95 days;
Minimum time between SW-Reviewer Agreed and Revised Manuscript Submission Confirmation in revision cycles;The minimum of the duration between activity 'SW-Reviewer Agreed' and activity 'Revised Manuscript Submission Confirmation';64.22 days;
Total time it takes SW-Reviewer Agreed to be followed by SW-Awaiting EIC Decision across all variants containing both activities;The sum of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting EIC Decision';3223.18 days;
Average waiting time to the SW-Reviewer Agreed following Reviewer Invitation Reminder 2;The average of the duration between activity 'Reviewer Invitation Reminder 2' and activity 'SW-Reviewer Agreed';15.82 days;
Total time from SW-AE Assign Reviewers to SW-Reviewer Agreed in complex reviewer assignment variants;The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';783.82 days;
Minimum time for SW-Reviewer Agreed in variants that include multiple occurrences of SW-AE Assign Reviewers;The minimum of the duration between activity SW-Reviewer Agreed and the end of the case;44.39 days;
Time from SW-Reviewer Agreed to Manuscript Export Succeeded in accepted manuscript trajectories;The sum of the duration between activity 'SW-Reviewer Agreed' and activity 'Manuscript Export Succeeded';;
Average time for SW-Reviewer Agreed grouped by case:concept:name;"ERROR: computing metric {'begin': activity == 'SW-Reviewer Agreed'"", 'end': '', 'aggregation': 'average', 'group_by': 'concept:name'}""";;
Time of SW-Reviewer Agreed in cases that eventually lead to SW-EIC Reject & Resubmit;"ERROR: computing metric {'begin': activity == 'SW-Reviewer Agreed'"", 'end': ""activity == 'SW-EIC Reject & Resubmit'"", 'aggregation': 'average'}""";;
