Name;Metric;Value;Agrupation
Average time from SW-AE Assign Reviewers to SW-Reviewer Agreed;The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';17.42 days;
Total time between SW-AE Assign Reviewers and SW-Reviewer Agreed across all variants;The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';783.82 days;
Minimum time it takes SW-Reviewer Agreed to occur after SW-AE Assign Reviewers;The minimum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';44.00 seconds;
Average duration of the SW-AE Assign Reviewers activity itself (time between its first and last occurrence within the same case);The average of the duration between activity SW-AE Assign Reviewers and the end of the case;171.57 days;
Total resolution time of SW-AE Assign Reviewers in cases that eventually lead to SW-EIC Accept;The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-EIC Accept';;
Time elapsed from SW-AE Assign Reviewers to SW-Reviewer Declined compared to time to SW-Reviewer Agreed;The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Declined';15.42 days;
Average time from SW-AE Assign Reviewers to SW-Reviewer No Response;The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer No Response';51.65 days;
Minimum time between SW-AE Assign Reviewers and the subsequent Reviewer Invitation Reminder 1;The minimum of the duration between activity 'SW-AE Assign Reviewers' and activity 'Reviewer Invitation Reminder 1';2.26 days;
Total time from SW-AE Assign Reviewers to SW-Awaiting EIC Decision in variants containing multiple reviewer assignment cycles;The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Awaiting EIC Decision';3344.01 days;
Average time it takes SW-AE Assign Reviewers to be followed by a successful SW-Reviewer Agreed after a prior SW-Reviewer Declined;The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';17.42 days;
Elapsed time from SW-AE Assign Reviewers to SW-Reviewer Unavailable versus SW-Reviewer Agreed;The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Unavailable';10.26 days;
Average waiting time to SW-Reviewer Agreed after the final occurrence of SW-AE Assign Reviewers in each case;The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';17.42 days;
Total time from the first SW-AE Assign Reviewers to the last SW-Reviewer Agreed in complex variants with repeated assignments;The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';783.82 days;
Minimum time from SW-AE Assign Reviewers to SW-Reviewer Agreed in variants that result in SW-EIC Major Revision;The minimum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';44.00 seconds;
Time of SW-AE Assign Reviewers activity measured as the span between its earliest and latest timestamp within a single case;The average of the duration between activity SW-AE Assign Reviewers and the end of the case;171.57 days;
Average time between consecutive SW-AE Assign Reviewers events before a SW-Reviewer Agreed is recorded;The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';17.42 days;
Total time from SW-AE Assign Reviewers to SW-Awaiting AE Recommendation in cases where no reviewer ever agreed;The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Awaiting AE Recommendation';1626.58 days;
Elapsed time from SW-AE Assign Reviewers to SW-Reviewer Agreed in comparison with time to RW-Reviewer Agreed in revised manuscript phases;The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'RW-Reviewer Agreed';174.31 days;
Time it takes SW-AE Assign Reviewers to yield a SW-Reviewer Agreed after a Reviewer Invitation Reminder 2 has been issued;The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed';18.66 days;
Time from SW-AE Assign Reviewers to SW-Reviewer Agreed grouped by case:concept:name to identify outlier cases;"ERROR: computing metric {'begin': activity == 'SW-AE Assign Reviewers'"", 'end': ""activity == 'SW-Reviewer Agreed'"", 'aggregation': 'average', 'group_by': 'concept:name'}""";;
