Name;Metric;Value;Agrupation
Average time for Queued + Awaiting Assignment across all process variants;The average of the duration between activity Queued + Awaiting Assignment and the end of the case;17.07 days;
Total time spent in Queued + Awaiting Assignment before transitioning to Accepted + In Progress;The sum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Accepted + In Progress';38996.07 days;
Minimum time required to complete Queued + Awaiting Assignment when followed by Completed + In Call;The minimum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + In Call';;
Average duration of Queued + Awaiting Assignment in variants that eventually lead to Completed + In Call;The average of the duration between activity 'Queued + Awaiting Assignment' and the end of case where activity 'Completed + In Call occurs;12.81 days;
Time from the start of a case to the completion of Queued + Awaiting Assignment in variants ending with Completed + In Call;The average of the duration between activity 'Queued + Awaiting Assignment' and the end of case where activity 'Completed + In Call occurs;12.81 days;
Elapsed time between Queued + Awaiting Assignment and Completed + In Call in the same case;The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + In Call';;
Average time for Queued + Awaiting Assignment compared to the duration of Accepted + Wait - User in the same variant;The average of the duration between activity Queued + Awaiting Assignment and the end of the case;17.07 days;
Total time spent in Queued + Awaiting Assignment versus Completed + Resolved within identical process variants;The sum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + Resolved';55098.48 days;
Minimum time between Queued + Awaiting Assignment and Completed + In Call across all occurrences;The minimum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + In Call';;
Cycle time of Queued + Awaiting Assignment when it appears multiple times in a single case;The average of the duration between activity Queued + Awaiting Assignment and the end of the case;17.07 days;
Average time for Queued + Awaiting Assignment in variants that include Accepted + Assigned versus those that do not;The average of the duration between activity 'Queued + Awaiting Assignment' and the end of case where activity 'Accepted + Assigned occurs;22.19 days;
Time from Queued + Awaiting Assignment to Completed + In Call grouped by country;The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + In Call';0:nan;"{""0"":null,""SE"":null,""au"":null,""be"":null,""br"":null,""ca"":null,""cl"":null,""cn"":null,""de"":null,""fr"":null,""gb"":null,""in"":null,""jp"":null,""kr"":null,""my"":null,""nl"":null,""pe"":null,""pl"":null,""ru"":null,""se"":null,""th"":null,""tr"":null,""us"":null}"
Duration of Queued + Awaiting Assignment in cases where Completed + In Call occurs without any intermediate wait states;The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + In Call';;
Average time for Queued + Awaiting Assignment when directly followed by Accepted + In Progress, specifically in traces that later reach Completed + In Call;The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Accepted + In Progress';5.84 days;
Total time elapsed during all instances of Queued + Awaiting Assignment in variants that contain Completed + In Call;The sum of the duration between activity 'Queued + Awaiting Assignment' and the end of case where activity 'Completed + In Call occurs;819.65 days;
Minimum cycle time of Queued + Awaiting Assignment in high-frequency variants involving Completed + In Call;The minimum of the duration between activity Queued + Awaiting Assignment and the end of the case;5.81 hours;
Time between the first occurrence of Queued + Awaiting Assignment and the final occurrence of Completed + In Call in multi-loop variants;The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + In Call';;
Average duration of Queued + Awaiting Assignment compared to Accepted + Wait - Vendor in variants that end with Completed + Closed after a Completed + In Call;The average of the duration between activity 'Queued + Awaiting Assignment' and the end of case where activity 'Completed + Closed occurs;17.18 days;
Elapsed time from case start to Queued + Awaiting Assignment completion in variants where Completed + In Call is the penultimate activity;The average of the duration between activity 'Queued + Awaiting Assignment' and the end of case where activity 'Completed + In Call occurs;12.81 days;
Time for Queued + Awaiting Assignment when it precedes Completed + In Call without any intervening Accepted + Wait states;The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Completed + In Call';;
