Name;Metric;Value;Agrupation
Average time from SW-Reviewer Declined to SW-AE Assign Reviewers;The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-AE Assign Reviewers';17.09 days;
Total time between SW-Reviewer Declined and the next occurrence of SW-Reviewer Agreed within the same case;The sum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Reviewer Agreed';459.28 days;
Average time it takes to perform SW-AE Assign Reviewers after SW-Reviewer Declined;The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-AE Assign Reviewers';17.09 days;
Minimum time from SW-Reviewer Declined to SW-Reviewer Selection is now due;The minimum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Reviewer Selection is now due';2.42 days;
Total waiting time to SW-AE Assign Reviewers following SW-Reviewer Declined;The sum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-AE Assign Reviewers';341.87 days;
Average time for the sequence SW-Reviewer Declined → SW-AE Assign Reviewers → SW-Reviewer Agreed;The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Reviewer Agreed';19.14 days;
Time elapsed between SW-Reviewer Declined and Reviewer Invitation Reminder 1 in variants where both occur;The average of the duration between activity 'SW-Reviewer Declined' and activity 'Reviewer Invitation Reminder 1';86.90 days;
Average time from SW-Reviewer Declined to SW-Reviewer Selection is 3 days late;The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Reviewer Selection is 3 days late';3.36 days;
Total resolution time of SW-Reviewer Declined measured as time until a new reviewer agrees (SW-Reviewer Agreed);The sum of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Reviewer Agreed';459.28 days;
Minimum time between SW-Reviewer Declined and Assign a Different Editor in cases involving editor reassignment;The minimum of the duration between activity 'SW-Reviewer Declined' and activity 'Assign a Different Editor';11.61 days;
Average time from SW-Reviewer Declined to SW-Awaiting EIC Decision in variants that reach this terminal activity;The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Awaiting EIC Decision';72.36 days;
Time from SW-Reviewer Declined to SW-Reviewer Unavailable when both appear consecutively in complex reviewer assignment loops;The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Reviewer Unavailable';12.68 days;
Total time between SW-Reviewer Declined and the subsequent Revised Manuscript Submission Confirmation in multi-round revision paths;The sum of the duration between activity 'SW-Reviewer Declined' and activity 'Revised Manuscript Submission Confirmation';2544.95 days;
Average cycle time of SW-Reviewer Declined defined as the duration from its occurrence to the completion of the next successful reviewer agreement (SW-Reviewer Agreed);The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-Reviewer Agreed';19.14 days;
Time elapsed between SW-Reviewer Declined and SW-AE Recommendation overdue in delayed recommendation scenarios;The average of the duration between activity 'SW-Reviewer Declined' and activity 'SW-AE Recommendation overdue';75.27 days;
