Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
1) Percentage of SW-Checklist Completion is due in three days out of all Manuscript Export Succeeded,Percentage of 'SW-Checklist Completion is due in three days' out of all 'Manuscript Export Succeeded',0.34,
2) Number of SW-Checklist Completion is due in three days,Number of 'SW-Checklist Completion is due in three days' activities,31,
3) Frequency of SW-Checklist Completion is due in three days,Percentage of 'SW-Checklist Completion is due in three days' out of all cases,0.33,
4) Number of SW-Checklist Completion is due in three days preceded by Plagiarism Originality Report Completed,Number of 'SW-Checklist Completion is due in three days' activities for cases where activity 'Plagiarism Originality Report Completed' occurs,30,
5) Percentage of SW-Checklist Completion is due in three days that are not followed by SW-Checklist Completed,Percentage of 'SW-Checklist Completion is due in three days' out of all cases where 'SW-Checklist Completed' does not happen,0.33,
6) Percentage of SW-Checklist Completion is due in three days from all Co-Author Account Created During Manuscript Submission,Percentage of 'SW-Checklist Completion is due in three days' out of all 'Co-Author Account Created During Manuscript Submission',0.38,
7) Ratio of SW-Checklist Completion is due in three days over Original Manuscript Submission Confirmation,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completion is due in three days'"", 'aggregation': 'ratio', 'filter': ""activity == 'Original Manuscript Submission Confirmation'""}",,
8) Number of SW-Checklist Completion is due in three days in relation to SW-EIC Major Revision,Number of 'SW-Checklist Completion is due in three days' activities for cases where activity 'SW-EIC Major Revision' occurs,6,
9) Percentage of SW-Checklist Completion is due in three days by SYSTEM,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completion is due in three days'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'performer == SYSTEM'}",,
10) Percentage of SW-Checklist Completion is due in three days by onbehalfof@manuscriptcentral.com,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completion is due in three days'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'performer == onbehalfof@manuscriptcentral.com'}",,
11) Percentage of SW-Checklist Completion is due in three days that are not eventually completed,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completion is due in three days'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'activity != SW-Checklist Completed'}",,
12) Average number of SW-Checklist Completion is due in three days on a manuscript,the average of the number of times `ACTIVITY` == 'SW-Checklist Completion is due in three days',0.33,
13) Frequency of SW-Checklist Completion is due in three days on the papers reviewed by a SW-Reviewer Agreed,Percentage of 'SW-Checklist Completion is due in three days' out of all 'SW-Reviewer Agreed',0.37,
14) Number of SW-Checklist Completion is due in three days that result in a SW-EIC Accept,Number of 'SW-Checklist Completion is due in three days' activities for cases where activity 'SW-EIC Accept' occurs,2,
15) Average number of days a manuscript takes to move from SW-Checklist Completion is due in three days to Awaiting Assignment to Batch,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completion is due in three days' AND activity == 'Awaiting Assignment to Batch'"", 'metric_condition': '> 0', 'aggregation': 'average'}",,
16) Percentage of SW-Checklist Completion is due in three days that result in an SW-AE Assign Reviewers,Percentage of 'SW-Checklist Completion is due in three days' out of all 'SW-AE Assign Reviewers',0.39,
17) Frequency of SW-Checklist Completion is due in three days in relation to First Look Manuscript Submission Confirmation,Percentage of 'SW-Checklist Completion is due in three days' out of all 'First Look Manuscript Submission Confirmation',0.48,
18) Number of SW-Checklist Completion is due in three days performed per year,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completion is due in three days'"", 'aggregation': 'total', 'group_by': 'year'}",,
19) Percentage of SW-Checklist Completion is due in three days that are rejected due to Plagiarism Percent Match Threshold Exceeded,Percentage of 'SW-Checklist Completion is due in three days' out of all 'Plagiarism Percent Match Threshold Exceeded',0.41,
20) Percentage of SW-Checklist Completion is due in three days by Revised Manuscript Submission Confirmation,Percentage of 'SW-Checklist Completion is due in three days' out of all 'Revised Manuscript Submission Confirmation',0.46,
21) Average number of SW-Checklist Completion is due in three days to SW-EIC Reject,the average of the number of times `ACTIVITY` == 'SW-Checklist Completion is due in three days' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'SW-EIC Reject',0.26,
22) Frequency of SW-Checklist Completion is due in three days on Withdrawn papers,Percentage of 'SW-Checklist Completion is due in three days' out of all 'Manuscript is Withdrawn',0.5,
23) Percentage of Manuscript Export Succeeded followed by SW-Checklist Completion is due in three days,Percentage of 'Manuscript Export Succeeded' out of all 'SW-Checklist Completion is due in three days',0.97,
24) Frequency of SW-Checklist Completion is due in three days that result in SW-EIC Major Revision,Percentage of 'SW-Checklist Completion is due in three days' out of all 'SW-EIC Major Revision',0.4,
25) Frequency of SW-Checklist Completion is due in three days after Co-Author Account Created During Manuscript Submission,Percentage of 'SW-Checklist Completion is due in three days' out of all 'Co-Author Account Created During Manuscript Submission',0.38,
26) Percentage of SW-Checklist Completion is due in three days by Unassign Editor,Percentage of 'SW-Checklist Completion is due in three days' out of all cases,,
27) Number of SW-Checklist Completion is due in three days in manuscripts with SW-Awaiting Checklist Completion,Number of 'SW-Checklist Completion is due in three days' activities for cases where activity 'SW-Awaiting Checklist Completion' occurs,30,
28) Percentage of SW-Checklist Completion is due in three days followed by Original Manuscript Submission Confirmation,Percentage of 'SW-Checklist Completion is due in three days' out of all 'Original Manuscript Submission Confirmation',0.35,
30) Percentage of manuscripts that have SW-Checklist Completion is due in three days after three attempts,Percentage of 'SW-Checklist Completion is due in three days' out of all 'SW-Checklist Completion is due in three days',1.0,
