Name;Metric;Value;Agrupation
Average time for Completed + In Call;The average of the duration between activity Completed + In Call and the end of the case;19.91 hours;
Total time for Completed + In Call;The sum of the duration between activity Completed + In Call and the end of the case;1673.97 days;
Minimum time for Completed + In Call;The minimum of the duration between activity Completed + In Call and the end of the case;0.00 seconds;
Average time from Accepted + In Progress to Completed + In Call;The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';8.65 hours;
Total time from Accepted + In Progress to Completed + In Call;The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';726.71 days;
Minimum time from Accepted + In Progress to Completed + In Call;The minimum of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';4.00 seconds;
Average time between Accepted + In Progress and Completed + In Call;The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';8.65 hours;
Total time between Accepted + In Progress and Completed + In Call;The sum of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';726.71 days;
Minimum time between Accepted + In Progress and Completed + In Call;The minimum of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call';4.00 seconds;
Average time until Completed + In Call is performed;The average of the duration between the start of the case and activity 'Completed + In Call';8.64 hours;
Total time until Completed + In Call is performed;The sum of the duration between the start of the case and activity 'Completed + In Call';726.71 days;
Minimum time until Completed + In Call is performed;The minimum of the duration between the start of the case and activity 'Completed + In Call';0.00 seconds;
Average waiting time to the Completed + In Call;The average of the duration between the start of the case and activity 'Completed + In Call';8.64 hours;
Total waiting time to the Completed + In Call;The sum of the duration between the start of the case and activity 'Completed + In Call';726.71 days;
Minimum waiting time to the Completed + In Call;The minimum of the duration between the start of the case and activity 'Completed + In Call';0.00 seconds;
Average time it takes the Completed + In Call to be done;The average of the duration between activity Completed + In Call and the end of the case;19.91 hours;
Total time it takes the Completed + In Call to be done;The sum of the duration between activity Completed + In Call and the end of the case;1673.97 days;
Minimum time it takes the Completed + In Call to be done;The minimum of the duration between activity Completed + In Call and the end of the case;0.00 seconds;
Completed + In Call Cycle Time;The average of the duration between the start of the case and activity 'Completed + In Call';8.64 hours;
Average time for Completed + In Call compared to Completed + Resolved;The average of the duration between activity 'Completed + In Call' and the end of case where activity 'Completed + Resolved occurs;12.40 days;
Average time for Completed + In Call compared to Completed + Closed;The average of the duration between activity 'Completed + In Call' and the end of case where activity 'Completed + Closed occurs;12.45 days;
Average time for Completed + In Call compared to Accepted + In Progress;The average of the duration between activity 'Completed + In Call' and the end of case where activity 'Accepted + In Progress occurs;19.91 hours;
Average time for Completed + In Call compared to Queued + Awaiting Assignment;The average of the duration between activity 'Completed + In Call' and the end of case where activity 'Queued + Awaiting Assignment occurs;16.09 days;
Average time for Completed + In Call compared to Accepted + Wait - User;The average of the duration between activity 'Completed + In Call' and the end of case where activity 'Accepted + Wait - User occurs;9.19 days;
Average time for Completed + In Call compared to Accepted + Assigned;The average of the duration between activity 'Completed + In Call' and the end of case where activity 'Accepted + Assigned occurs;18.77 days;
Average time for Completed + In Call compared to Accepted + Wait;The average of the duration between activity 'Completed + In Call' and the end of case where activity 'Accepted + Wait occurs;6.73 days;
Average time for Completed + In Call compared to Accepted + Wait - Implementation;The average of the duration between activity 'Completed + In Call' and the end of case where activity 'Accepted + Wait - Implementation occurs;10.89 days;
