Name;Metric;Value;Agrupation
Frequency of 'Declaration APPROVED by PRE_APPROVER' in variants that eventually lead to 'Payment Handled';Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Payment Handled';0.07;
Percentage of 'Declaration APPROVED by PRE_APPROVER' followed by 'Declaration FINAL_APPROVED by SUPERVISOR';Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.07;
Number of 'Declaration APPROVED by PRE_APPROVER' that are immediately preceded by 'Declaration SUBMITTED by EMPLOYEE';Number of 'Declaration APPROVED by PRE_APPROVER' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;685;
Frequency of 'Declaration APPROVED by PRE_APPROVER' compared to the frequency of 'Declaration REJECTED by PRE_APPROVER';Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration REJECTED by PRE_APPROVER';0.83;
Percentage of 'Declaration APPROVED by PRE_APPROVER' that appear in the shortest successful path to 'Payment Handled';Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Payment Handled';0.07;
Frequency of 'Declaration APPROVED by PRE_APPROVER' relative to total number of submitted declarations ('Declaration SUBMITTED by EMPLOYEE');Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration SUBMITTED by EMPLOYEE';0.06;
Percentage of 'Declaration APPROVED by PRE_APPROVER' that are not followed by any 'Declaration REJECTED by PRE_APPROVER' in the same case;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases where 'Declaration REJECTED by PRE_APPROVER' does not happen;0.06;
Number of variants where 'Declaration APPROVED by PRE_APPROVER' directly leads to 'Declaration FINAL_APPROVED by SUPERVISOR' without intermediate rejections;Number of 'Declaration APPROVED by PRE_APPROVER' activities for cases where activity 'Declaration FINAL_APPROVED by SUPERVISOR' occurs;682;
Percentage of 'Declaration APPROVED by PRE_APPROVER' executed by distinct resources compared to other approvers;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases;STAFF MEMBER:0.01;"{""STAFF MEMBER"":0.0131291028,""SYSTEM"":0.0657174151}"
Frequency of 'Declaration APPROVED by PRE_APPROVER' in cases with claim amounts above 100 euros;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases;0.06;
Ratio of successful completions (ending in 'Payment Handled') after 'Declaration APPROVED by PRE_APPROVER' versus after 'Declaration APPROVED by ADMINISTRATION';Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Payment Handled';0.07;
Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all approval activities (including 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', and 'Declaration APPROVED by PRE_APPROVER');"ERROR: computing metric {'count': activity == 'Declaration APPROVED by PRE_APPROVER'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity == 'Declaration APPROVED by ADMINISTRATION' or activity == 'Declaration APPROVED by BUDGET OWNER' or activity == 'Declaration APPROVED by PRE_APPROVER'""}""";;
Percentage of cases containing 'Declaration APPROVED by PRE_APPROVER' that do not experience any rejection downstream;"ERROR: computing metric {'count': activity == 'Declaration APPROVED by PRE_APPROVER'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity != 'Declaration REJECTED by EMPLOYEE' and activity != 'Declaration REJECTED by ADMINISTRATION' and activity != 'Declaration REJECTED by SUPERVISOR' and activity != 'Declaration REJECTED by MISSING' and activity != 'Declaration REJECTED by PRE_APPROVER' and activity != 'Declaration REJECTED by BUDGET OWNER'""}""";;
Percentage of 'Declaration APPROVED by PRE_APPROVER' occurring in 2018 versus 2017;"ERROR: computing metric {'count': activity == 'Declaration APPROVED by PRE_APPROVER'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'year'}""";;
Number of 'Declaration APPROVED by PRE_APPROVER' in variants that include a prior rejection by any role;"ERROR: computing metric {'count': activity == 'Declaration APPROVED by PRE_APPROVER'"", 'aggregation': 'total', 'filter': ""activity == 'Declaration REJECTED by EMPLOYEE' or activity == 'Declaration REJECTED by ADMINISTRATION' or activity == 'Declaration REJECTED by SUPERVISOR' or activity == 'Declaration REJECTED by MISSING' or activity == 'Declaration REJECTED by PRE_APPROVER' or activity == 'Declaration REJECTED by BUDGET OWNER'""}""";;
