Name;Metric;Value;Agrupation
Frequency of \Reviewer Invitation Reminder 1\ sent before \SW-Reviewer Agreed\;Frequency of activity 'Reviewer Invitation Reminder 1' for cases where activity 'SW-Reviewer Agreed' occurs;43.0;
Percentage of manuscripts that received a \Reviewer Invitation Reminder 1\ before receiving a \SW-Reviewer Agreed\;Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-Reviewer Agreed';0.93;
Number of \Reviewer Invitation Reminder 1\ sent per case;Number of 'Reviewer Invitation Reminder 1' activities;118.0;
Percentage of \Reviewer Invitation Reminder 1\ followed by \SW-Reviewer Declined\;Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-Reviewer Declined';1.0;
Frequency of \Reviewer Invitation Reminder 1\ in relation to total reminders sent;Percentage of 'Reviewer Invitation Reminder 1' out of all 'Reviewer Invitation Reminder 2';1.0;
Percentage of \Reviewer Invitation Reminder 1\ out of all communication activities;Percentage of 'Reviewer Invitation Reminder 1' out of all cases where 'Reviewer Invitation Reminder 1' does not happen;0.51;
Number of \Reviewer Invitation Reminder 1\ that precede \Assign a Different Editor\;Number of 'Reviewer Invitation Reminder 1' activities for cases where activity 'Assign a Different Editor' occurs;22.0;
Percentage of \Reviewer Invitation Reminder 1\ followed by \Reviewer Invitation Reminder 2\;Percentage of 'Reviewer Invitation Reminder 1' out of all 'Reviewer Invitation Reminder 2';1.0;
Frequency of \Reviewer Invitation Reminder 1\ in manuscripts that undergo \SW-EIC Major Revision\;Frequency of activity 'Reviewer Invitation Reminder 1' for cases where activity 'SW-EIC Major Revision' occurs;13.0;
Percentage of \Reviewer Invitation Reminder 1\ in manuscripts that are accepted (\RW-EIC Accept\) after revision cycles;Percentage of 'Reviewer Invitation Reminder 1' out of all 'RW-EIC Accept';0.82;
Number of \Reviewer Invitation Reminder 1\ in relation to \SW-AE Assign Reviewers\;Number of 'Reviewer Invitation Reminder 1' activities for cases where activity 'SW-AE Assign Reviewers' occurs;105.0;
Percentage of \Reviewer Invitation Reminder 1\ leading to a successful reviewer agreement (\SW-Reviewer Agreed\);Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-Reviewer Agreed';0.93;
Frequency of \Reviewer Invitation Reminder 1\ in the context of the entire review process, considering all variants;Frequency of activity 'Reviewer Invitation Reminder 1';47.0;
Percentage of cases where \Reviewer Invitation Reminder 1\ is the final communication before \SW-Awaiting EIC Decision\;Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-Awaiting EIC Decision';0.71;
Number of \Reviewer Invitation Reminder 1\ sent in each variant path that leads to \SW-EIC Major Revision\;Number of 'Reviewer Invitation Reminder 1' activities for cases where activity 'SW-EIC Major Revision' occurs;43.0;
Percentage of \Reviewer Invitation Reminder 1\ that result in \Manuscript Export Succeeded\ as part of the review process outcome;Percentage of 'Reviewer Invitation Reminder 1' out of all 'Manuscript Export Succeeded';0.49;
