Name;Metric;Value;Agrupation
Elapsed time between Reviewer Invitation Reminder 1 and the next reviewer response (SW-Reviewer Agreed or SW-Reviewer Declined);The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed';13.34 days;
Time until Reviewer Invitation Reminder 1 since the manuscript passed Plagiarism Originality Report Completed;The average of the duration between activity 'Plagiarism Originality Report Completed' and activity 'Reviewer Invitation Reminder 1';72.80 days;
Time from Reviewer Invitation Reminder 1 to SW-Reviewer Selection is 3 days late;The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Selection is 3 days late';2.40 days;
Reviewer Invitation Reminder 1 Cycle Time within the reviewer selection phase;The average of the duration between activity Reviewer Invitation Reminder 1 and the end of the case;153.46 days;
Average time from Reviewer Invitation Reminder 1 to SW-Reviewer Unavailable compared to the average time from Reviewer Invitation Reminder 1 to SW-Reviewer Agreed;The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Unavailable';11.74 days;
Average time between Reviewer Invitation Reminder 1 and SW-Reviewer No Response compared to the average time between Reviewer Invitation Reminder 1 and SW-Reviewer Declined;The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer No Response';48.35 days;
Total time from Reviewer Invitation Reminder 1 to the Revised Manuscript Submission Confirmation in the same case;The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'Revised Manuscript Submission Confirmation';2779.41 days;
Minimum time for Reviewer Invitation Reminder 1 compared to the minimum time for Reviewer Invitation Reminder 2;The minimum of the duration between activity Reviewer Invitation Reminder 1 and the end of the case;34.96 days;
Time between Reviewer Invitation Reminder 1 and the Assign a Different Editor activity;The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'Assign a Different Editor';93.19 days;
Average time it takes Reviewer Invitation Reminder 1 after the execution of SW-Reviewer Selection is now due in variants with high overall performance time;The average of the duration between activity 'SW-Reviewer Selection is now due' and activity 'Reviewer Invitation Reminder 1';116.76 days;
