Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from SW-AE Assign Reviewers to SW-Awaiting EIC Decision,The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Awaiting EIC Decision',74 days 07:28:14.400000,
Average time from Manuscript Export Succeeded to SW-Awaiting EIC Decision,The average of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Awaiting EIC Decision',68 days 21:19:16.714286,
Total time spent in SW-Awaiting EIC Decision across all cases,The sum of the duration between activity SW-Awaiting EIC Decision and the end of the case,5119 days 14:31:51,
Average waiting time for SW-Awaiting EIC Decision after SW-Reviewer Agreed,The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting EIC Decision',71 days 15:01:45.488889,
Minimum time from SW-Checklist Completed to SW-Awaiting EIC Decision,The minimum of the duration between activity 'SW-Checklist Completed' and activity 'SW-Awaiting EIC Decision',0 days 00:16:26,
Maximum time from Original Manuscript Submission Confirmation to SW-Awaiting EIC Decision,The maximum of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Awaiting EIC Decision',150 days 00:45:12,
Average time to reach SW-Awaiting EIC Decision from SW-Awaiting AE Recommendation,The average of the duration between activity 'SW-Awaiting AE Recommendation' and activity 'SW-Awaiting EIC Decision',3 days 17:53:47.428571,
Total resolution time of SW-Awaiting EIC Decision,The sum of the duration between activity SW-Awaiting EIC Decision and the end of the case,5119 days 14:31:51,
Time variance of SW-Awaiting EIC Decision across different cases,"ERROR: computing metric {'begin': ""activity == 'SW-Awaiting EIC Decision'"", 'end': '', 'aggregation': 'variance'}",,
Average time between SW-Awaiting EIC Decision and SW-EIC Reject & Resubmit,"ERROR: computing metric {'begin': ""activity == 'SW-Awaiting EIC Decision'"", 'end': ""activity == 'SW-EIC Reject & Resubmit'"", 'aggregation': 'average'}",,
Average time between SW-Awaiting EIC Decision and SW-EIC Accept,The average of the duration between activity 'SW-Awaiting EIC Decision' and activity 'SW-EIC Accept',5 days 06:38:27,
Average time between SW-Awaiting EIC Decision and SW-EIC Major Revision,The average of the duration between activity 'SW-Awaiting EIC Decision' and activity 'SW-EIC Major Revision',9 days 20:24:28.533333,
Average time between SW-Awaiting EIC Decision and SW-EIC Minor Revision,The average of the duration between activity 'SW-Awaiting EIC Decision' and activity 'SW-EIC Minor Revision',6 days 09:11:49.666667,
Elapsed time between SW-AE Assign Reviewers and SW-Awaiting EIC Decision in the most frequent process variant,"ERROR: computing metric {'begin': ""activity == 'SW-AE Assign Reviewers'"", 'end': ""activity == 'SW-Awaiting EIC Decision'"", 'aggregation': 'average', 'group_by': ""variant_frequency == 'highest'""}",,
Elapsed time between SW-AE Assign Reviewers and SW-Awaiting EIC Decision in the least time-consuming process variant,"ERROR: computing metric {'begin': ""activity == 'SW-AE Assign Reviewers'"", 'end': ""activity == 'SW-Awaiting EIC Decision'"", 'aggregation': 'minimum', 'group_by': ""performance_time == 'shortest'""}",,
Comparison of average time spent in SW-Awaiting EIC Decision versus time spent in SW-Awaiting AE Recommendation,"ERROR: computing metric {'begin': ""activity == 'SW-Awaiting EIC Decision'"", 'end': ""activity == 'SW-Awaiting AE Recommendation'"", 'aggregation': 'comparison', 'metric_condition': ""average_time 'SW-Awaiting EIC Decision' > average_time 'SW-Awaiting AE Recommendation'""}",,
Comparison of total time from SW-AE Assign Reviewers to SW-Awaiting EIC Decision against total time from SW-AE Assign Reviewers to SW-EIC Accept,"ERROR: computing metric {'begin': ""activity == 'SW-AE Assign Reviewers'"", 'end': ""activity == 'SW-Awaiting EIC Decision'"", 'aggregation': 'comparison', 'metric_condition': ""total_time 'SW-AE Assign Reviewers' to 'SW-Awaiting EIC Decision' > total_time 'SW-AE Assign Reviewers' to 'SW-EIC Accept'""}",,
Minimum resolution time of SW-Awaiting EIC Decision across all cases,The minimum of the duration between activity SW-Awaiting EIC Decision and the end of the case,0 days 00:02:15,
Cycle time of SW-Awaiting EIC Decision in the variant with the highest frequency,"ERROR: computing metric {'begin': ""activity == 'SW-Awaiting EIC Decision'"", 'end': '', 'aggregation': 'average', 'group_by': ""variant_frequency == 'highest'""}",,
Cycle time of SW-Awaiting EIC Decision in the variant with the longest performance time,"ERROR: computing metric {'begin': ""activity == 'SW-Awaiting EIC Decision'"", 'end': '', 'aggregation': 'maximum', 'group_by': ""performance_time == 'longest'""}",,
