Name;Metric;Value;Agrupation
Percentage of SW-Awaiting Checklist Completion that is followed by Original Manuscript Submission Confirmation;Percentage of 'SW-Awaiting Checklist Completion' out of all 'Original Manuscript Submission Confirmation';0.99;
Number of SW-Awaiting Checklist Completion per case;Number of 'SW-Awaiting Checklist Completion' activities grouped by the last value of code;AER0:2;"{""AER0"":2,""CHK4"":1,""DRSW4"":0,""DRW3"":1,""DSW3"":21,""DSW4"":32,""MSC4"":23,""RJR3"":2,""SW1"":1,""SW12"":2,""SYS1"":1,""SYS11"":1,""SYS2"":1,""SYS5"":1}"
Percentage of SW-Awaiting Checklist Completion out of all SW-Checklist Completed;Percentage of 'SW-Awaiting Checklist Completion' out of all 'SW-Checklist Completed';1.0;
Number of SW-Awaiting Checklist Completion that are preceded by Co-Author Account Created During Manuscript Submission;Number of 'SW-Awaiting Checklist Completion' activities for cases where activity 'Co-Author Account Created During Manuscript Submission' occurs;54;
Percentage of SW-Awaiting Checklist Completion that are not eventually followed by SW-EIC Reject;Percentage of 'SW-Awaiting Checklist Completion' out of all cases where 'SW-EIC Reject' does not happen;0.91;
Percentage of SW-Awaiting Checklist Completion from all SW-Awaiting AE Assignment;Percentage of 'SW-Awaiting Checklist Completion' out of all 'SW-Awaiting AE Assignment';1.0;
Frequency of the variant path starting with SW-Awaiting Checklist Completion and ending with SW-EIC Reject;Percentage of 'SW-Awaiting Checklist Completion' out of all 'SW-EIC Reject';0.97;
Percentage of SW-Awaiting Checklist Completion that occurs before Manuscript Export Succeeded;Percentage of 'SW-Awaiting Checklist Completion' out of all 'Manuscript Export Succeeded';0.96;
Percentage of SW-Awaiting Checklist Completion followed by Plagiarism Originality Report Completed;Percentage of 'SW-Awaiting Checklist Completion' out of all 'Plagiarism Originality Report Completed';0.93;
Percentage of SW-Awaiting Checklist Completion that are followed by an Immediate Reject Decision from the Checklist;Percentage of 'SW-Awaiting Checklist Completion' out of all 'Immediate Reject Decision from the Checklist';0.5;
Number of SW-Awaiting Checklist Completion in relation to SW-Checklist Completion is due in three days;Number of 'SW-Awaiting Checklist Completion' activities for cases where activity 'SW-Checklist Completion is due in three days' occurs;34;
Percentage of cases where SW-Awaiting Checklist Completion is the first activity;Percentage of 'SW-Awaiting Checklist Completion' out of all cases;0.91;
