Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Manuscript Export Succeeded' to 'Plagiarism Originality Report Completed',The average of the duration between activity 'Manuscript Export Succeeded' and activity 'Plagiarism Originality Report Completed',"1 day, 12:03:25.602410",
Total time for 'Plagiarism Originality Report Completed' across all cases,The sum of the duration between activity Plagiarism Originality Report Completed and the end of the case,"9593 days, 3:28:28",
Minimum time to complete 'Plagiarism Originality Report Completed' after 'Original Manuscript Submission Confirmation',The minimum of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'Plagiarism Originality Report Completed',0:21:36,
Average time between 'Plagiarism Originality Report Completed' and 'SW-Checklist Completed',The average of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Checklist Completed',"3 days, 9:19:25.037037",
Total resolution time of 'Plagiarism Originality Report Completed' in the process,The sum of the duration between activity Plagiarism Originality Report Completed and the end of the case,"9593 days, 3:28:28",
Average time it takes from 'Plagiarism Originality Report Completed' to 'SW-Awaiting AE Assignment',The average of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Awaiting AE Assignment',"2 days, 2:54:33.678571",
Minimum time it takes from 'Plagiarism Originality Report Completed' to 'SW-AE Assign Reviewers',The minimum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-AE Assign Reviewers',"1 day, 22:23:35",
Average time until 'Plagiarism Originality Report Completed' is performed after 'Manuscript Export Succeeded',The average of the duration between activity 'Manuscript Export Succeeded' and activity 'Plagiarism Originality Report Completed',"1 day, 12:03:25.602410",
Total time from 'Original Manuscript Submission Confirmation' to 'Plagiarism Originality Report Completed',The sum of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'Plagiarism Originality Report Completed',"125 days, 17:41:23",
Average waiting time to the 'Plagiarism Originality Report Completed' after 'Manuscript Export Succeeded',The average of the duration between activity 'Manuscript Export Succeeded' and activity 'Plagiarism Originality Report Completed',"1 day, 12:03:25.602410",
Time to 'Plagiarism Originality Report Completed' since the 'SW-Awaiting Checklist Completion',The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Plagiarism Originality Report Completed',"120 days, 18:08:16",
'Plagiarism Originality Report Completed' Cycle Time in relation to the total process cycle time,The average of the duration between activity Plagiarism Originality Report Completed and the end of the case,"107 days, 18:54:55.595506",
Total time it takes 'SW-Reviewer Agreed' after the execution of 'Plagiarism Originality Report Completed',The sum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Reviewer Agreed',"1221 days, 16:42:52",
Minimum resolution time of 'Plagiarism Originality Report Completed' before 'SW-Awaiting AE Recommendation',The minimum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Awaiting AE Recommendation',"1 day, 18:28:41",
Average time between 'Plagiarism Originality Report Completed' and the next occurrence of 'SW-Reviewer Agreed',The average of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Reviewer Agreed',"27 days, 18:22:47.545455",
Total time for 'Plagiarism Originality Report Completed' before reaching 'SW-Awaiting EIC Decision',The sum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Awaiting EIC Decision',"3869 days, 8:20:37",
Minimum time between 'Plagiarism Originality Report Completed' and 'SW-Checklist Completed' across variants,The minimum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Checklist Completed',0:01:46,
