Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time spent on 'Declaration REJECTED by ADMINISTRATION',The average of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case,"13 days, 20:26:24.892435",
Average time between 'Declaration SUBMITTED by EMPLOYEE' and 'Declaration REJECTED by ADMINISTRATION',The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION',"8 days, 7:56:15.401891",
Average time from 'Declaration APPROVED by PRE_APPROVER' to 'Declaration REJECTED by ADMINISTRATION',The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration REJECTED by ADMINISTRATION',,
Total time spent on 'Declaration REJECTED by ADMINISTRATION',The sum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case,"11718 days, 12:26:59",
Total time between 'Declaration SUBMITTED by EMPLOYEE' and 'Declaration REJECTED by ADMINISTRATION',The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION',"7047 days, 19:13:10",
Total time from 'Declaration APPROVED by PRE_APPROVER' to 'Declaration REJECTED by ADMINISTRATION',The sum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration REJECTED by ADMINISTRATION',,
Minimum time spent on 'Declaration REJECTED by ADMINISTRATION',The minimum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case,0:00:00,
Minimum time between 'Declaration SUBMITTED by EMPLOYEE' and 'Declaration REJECTED by ADMINISTRATION',The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION',0:00:01,
Minimum time from 'Declaration APPROVED by PRE_APPROVER' to 'Declaration REJECTED by ADMINISTRATION',The minimum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration REJECTED by ADMINISTRATION',,
Time spent on 'Declaration REJECTED by ADMINISTRATION' compared to 'Declaration APPROVED by ADMINISTRATION',The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration APPROVED by ADMINISTRATION',"7 days, 22:11:43.218944",
Time spent on 'Declaration REJECTED by ADMINISTRATION' compared to 'Declaration FINAL_APPROVED by SUPERVISOR',The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',"10 days, 12:52:47.882075",
Time spent on 'Declaration REJECTED by ADMINISTRATION' in variants containing 'Declaration REJECTED by PRE_APPROVER',The sum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and the end of case where activity 'Declaration REJECTED by PRE_APPROVER occurs,,
Time spent on 'Declaration REJECTED by ADMINISTRATION' in variants not containing 'Declaration REJECTED by PRE_APPROVER',The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and the end of case where activity 'Declaration REJECTED by PRE_APPROVER does not occur,"11718 days, 12:26:59",
Time spent on 'Declaration REJECTED by ADMINISTRATION' grouped by 'case:BudgetNumber',The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and the end of case grouped by the last value of case:BudgetNumber,budget 86566:11718 days 12:26:59,"{""budget 86566"":1012480019000}"
Time spent on 'Declaration REJECTED by ADMINISTRATION' for domestic declarations,"ERROR: computing metric {'begin': ""activity == 'Declaration REJECTED by ADMINISTRATION'"", 'end': '', 'aggregation': 'total', 'filter': 'case:DeclarationNumber > 0'}",,
Time spent on 'Declaration REJECTED by ADMINISTRATION' for pre-paid travel costs,The sum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case,"10862 days, 11:56:00",
Time spent on 'Declaration REJECTED by ADMINISTRATION' for requests for payment,The sum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and the end of case where activity 'Request Payment occurs,"10860 days, 9:50:12",
Time it takes for 'Declaration REJECTED by ADMINISTRATION' after the execution of 'Declaration SUBMITTED by EMPLOYEE',The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION',"7047 days, 19:13:10",
Time it takes for 'Declaration REJECTED by ADMINISTRATION' after the execution of 'Declaration APPROVED by PRE_APPROVER',The sum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration REJECTED by ADMINISTRATION',,
