Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average duration of 'Accepted + In Progress' before transitioning to 'Completed + Resolved',The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + Resolved',11 days 00:27:37.584765,
Median duration of 'Accepted + In Progress' across all cases,The average of the duration between activity Accepted + In Progress and the end of the case,12 days 01:31:32.497611,
Longest duration of 'Accepted + In Progress' before any subsequent activity,the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + In Progress' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x00000221C2305210> - AppliesTo.PROCESS,771 days 08:26:33,
Shortest duration of 'Accepted + In Progress' to 'Queued + Awaiting Assignment',The minimum of the duration between activity 'Accepted + In Progress' and activity 'Queued + Awaiting Assignment',0 days 00:00:04,
Average duration from 'Accepted + In Progress' to 'Accepted + Wait - User',The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait - User',5 days 16:16:14.116298,
Total duration of 'Accepted + In Progress' across all variants,The sum of the duration between activity Accepted + In Progress and the end of the case,90911 days 01:37:42,
Average duration from 'Accepted + In Progress' to 'Completed + Closed' in the most frequent variant,The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',16 days 01:40:38.796698,
Difference in average duration of 'Accepted + In Progress' between the top 2 most frequent variants,"ERROR: computing metric {'begin': ""activity == 'Accepted + In Progress'"", 'end': '', 'aggregation': 'average', 'filter': ""variant in ['top 1', 'top 2']""}",,
Average duration from 'Accepted + In Progress' to 'Accepted + Assigned',The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Assigned',6 days 12:39:26.304276,
Standard deviation of the duration of 'Accepted + In Progress' across all cases,The average of the duration between activity Accepted + In Progress and the end of the case,12 days 01:31:32.497611,
Average duration from 'Accepted + In Progress' to 'Completed + In Call',The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + In Call',0 days 08:38:49.233515,
Total duration of 'Accepted + In Progress' in cases with 'Completed + Resolved' as the final activity,The sum of the duration between activity Accepted + In Progress and the end of the case,90911 days 01:37:42,
Average duration from 'Accepted + In Progress' to 'Accepted + Wait - Implementation',The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait - Implementation',11 days 23:31:57.208738,
Duration of 'Accepted + In Progress' in the shortest and longest case,The minimum of the duration between activity Accepted + In Progress and the end of the case,0 days 00:00:00,
Average duration from 'Accepted + In Progress' to 'Accepted + Wait - Vendor',The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait - Vendor',5 days 10:07:25.375000,
Comparison of average duration of 'Accepted + In Progress' in cases with high impact vs. low impact products,"ERROR: computing metric {'begin': ""activity == 'Accepted + In Progress'"", 'end': '', 'aggregation': 'average', 'filter': ""impact in ['high', 'low']""}",,
Average duration from 'Accepted + In Progress' to 'Accepted + Wait - Customer' in cases originating from France vs. USA,"ERROR: computing metric {'begin': ""activity == 'Accepted + In Progress'"", 'end': ""activity == 'Accepted + Wait - Customer'"", 'aggregation': 'average', 'filter': ""organization country in ['France', 'USA']""}",,
Total cumulative duration of 'Accepted + In Progress' for all cases in the event log,The sum of the duration between activity Accepted + In Progress and the end of the case,90911 days 01:37:42,
Average duration from 'Accepted + In Progress' to the next activity for cases with medium impact products,The average of the duration between activity Accepted + In Progress and the end of the case,,
Duration of 'Accepted + In Progress' for cases that transition directly to 'Completed + Closed' without intermediate activities,The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed',16 days 01:40:38.796698,
