Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
1) Percentage of SW-Checklist Completed with respect to total Manuscript Export Succeeded,Percentage of 'SW-Checklist Completed' out of all 'Manuscript Export Succeeded',0.92,
2) Number of SW-Checklist Completed per quarter,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completed'"", 'aggregation': 'total', 'group_by': 'quarter'}",,
3) Percentage of SW-Checklist Completed after Original Manuscript Submission Confirmation,Percentage of 'SW-Checklist Completed' out of all 'Original Manuscript Submission Confirmation',0.95,
4) Frequency of SW-Checklist Completed before SW-AE Assign Reviewers,Percentage of 'SW-Checklist Completed' out of all 'SW-AE Assign Reviewers',0.96,
5) Percentage of SW-Checklist Completed which are not followed by SW-Reviewer Declined,Percentage of 'SW-Checklist Completed' out of all cases where 'SW-Reviewer Declined' does not happen,0.88,
6) Frequency of SW-AE Assign Reviewers before SW-Checklist Completed,Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Checklist Completed',0.54,
7) Number of SW-Checklist Completed that are not proceeded by SW-Reviewer Declined,Number of 'SW-Checklist Completed' activities for cases where activity 'SW-Reviewer Declined' does not occur,87,
9) Percentage of SW-Checklist Completed that lead to RW-EIC Accept with respect to those that lead to SW-EIC Reject,Percentage of 'SW-Checklist Completed' out of all 'RW-EIC Accept',0.86,
10) Number of SW-Checklist Completed per Manuscript Export Succeeded,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completed'"", 'aggregation': 'total', 'group_by': ""activity == 'Manuscript Export Succeeded'""}",,
11) Percentage of SW-Checklist Completed preceding Original Manuscript Submission Confirmation,Percentage of 'SW-Checklist Completed' out of all 'Original Manuscript Submission Confirmation',0.95,
12) Frequency of SW-Checklist Completed before First Look-Please submit updates,Percentage of 'SW-Checklist Completed' out of all 'First Look-Please submit updates',0.96,
14) Frequency of First Look Manuscript Submission Confirmation after SW-Checklist Completed,Percentage of 'First Look Manuscript Submission Confirmation' out of all 'SW-Checklist Completed',0.27,
15) Number of SW-Checklist Completed grouped by Original Manuscript Submission Confirmation and Manuscript Export Succeeded,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completed'"", 'aggregation': 'total', 'group_by': '[Original Manuscript Submission Confirmation, Manuscript Export Succeeded]'}",,
16) Percentage of SW-Reviewer Agreed before SW-Checklist Completed that are actually processed,Percentage of 'SW-Reviewer Agreed' out of all 'SW-Checklist Completed',0.54,
17) Frequency of SW-AE Assign Reviewers before SW-Checklist Completed every day,"ERROR: computing metric {'count': ""activity == 'SW-AE Assign Reviewers'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity == 'SW-Checklist Completed'"", 'group_by': 'day'}",,
18) Percentage of SW-Checklist Completed out of all SW-AE Assign Reviewers which are actually revised,Percentage of 'SW-Checklist Completed' out of all 'SW-AE Assign Reviewers',0.96,
19) Frequency of SW-Reviewer Unavailable when SW-Checklist Completed is seen,Percentage of 'SW-Reviewer Unavailable' out of all 'SW-Checklist Completed',0.27,
20) Average number of SW-Checklist Completed before SW-AE Assign Reviewers in Revised Manuscript Submission Confirmation,the average of the number of times `ACTIVITY` == 'SW-Checklist Completed' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'SW-AE Assign Reviewers',1.02,
21) Number of manuscripts that are submitted after SW-Checklist Completed that are eventually accepted,Number of 'Manuscript Submission' activities for cases where activity 'SW-Checklist Completed' occurs,0,
22) Percentage of SW-Checklist Completed that happen after Original Manuscript Submission Confirmation in Co-Author Account Created During Manuscript Submission,Percentage of 'SW-Checklist Completed' out of all 'Original Manuscript Submission Confirmation',0.95,
"23) Frequency of SW-AE Assign Reviewers, SW-AE Assign Reviewers -> SW-Checklist Completed and SW-Checklist Completed simultaneously",Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Checklist Completed',0.54,
24) Percentage of SW-Checklist Completed immediately before SW-AE Assign Reviewers from Awaiting Assignment to Batch,Percentage of 'SW-Checklist Completed' out of all 'SW-AE Assign Reviewers',0.96,
26) Ratio of SW-Checklist Completed to total SW-Reviewer Declined in reviewer unavailable,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completed'"", 'aggregation': 'ratio', 'filter': ""activity == 'SW-Reviewer Unavailable'""}",,
27) Percentage of SW-Checklist Completed rejected that are eventually accepted by RW-Reviewer Agreed,Percentage of 'SW-Checklist Completed' out of all 'RW-Reviewer Agreed',0.9,
