Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'Accepted + Wait - Customer' leading to 'Completed + In Call',Frequency of activity 'Accepted + Wait - Customer' for cases where activity 'Completed + In Call' occurs,1,
Percentage of 'Accepted + Wait - Customer' out of all 'Accepted + In Progress' activities,Percentage of 'Accepted + Wait - Customer' out of all 'Accepted + In Progress',0.01,
Number of 'Accepted + Wait - Customer' activities that precede 'Completed + Resolved',Number of 'Accepted + Wait - Customer' activities for cases where activity 'Completed + Resolved' occurs,99,
Percentage of 'Accepted + Wait - Customer' followed by 'Completed + Closed',Percentage of 'Accepted + Wait - Customer' out of all 'Completed + Closed',0.02,
Frequency of 'Accepted + Wait - Customer' in relation to 'Accepted + Wait - Vendor',Frequency of activity 'Accepted + Wait - Customer' for cases where activity 'Accepted + Wait - Vendor' occurs,4,
Frequency of 'Accepted + Wait - Customer' per month,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Customer'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'month'}",,
Percentage of 'Accepted + Wait - Customer' that lead to a variant ending in 'Completed + Closed',Percentage of 'Accepted + Wait - Customer' out of all 'Completed + Closed',0.02,
Number of times 'Accepted + Wait - Customer' is performed before 'Queued + Awaiting Assignment',Number of 'Accepted + Wait - Customer' activities for cases where activity 'Queued + Awaiting Assignment' occurs,84,
Percentage of 'Accepted + Wait - Customer' out of all activities in the event log,Percentage of 'Accepted + Wait - Customer' out of all cases where '' does not happen,0.01,
Frequency of 'Accepted + Wait - Customer' in variants with performance above average,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Customer'"", 'metric_condition': '> average', 'aggregation': 'total'}",,
Percentage of 'Accepted + Wait - Customer' followed by any activity within the same case,Percentage of 'Accepted + Wait - Customer' out of all cases where '' does not happen,0.01,
Number of 'Accepted + Wait - Customer' activities that are part of the top 5 most frequent variants,Number of 'Accepted + Wait - Customer' activities,99,
