Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of \Completed + In Call\ compared to \Completed + Resolved\,Percentage of 'Completed + In Call' out of all 'Completed + Resolved',0.02,
Percentage of cases including \Completed + In Call\ before \Accepted + In Progress\,Percentage of 'Completed + In Call' out of all 'Accepted + In Progress',0.27,
Number of \Completed + In Call\ activities per month,"ERROR: computing metric {'count': ""activity == 'Completed + In Call'"", 'aggregation': 'total', 'group_by': 'month'}",,
Percentage of \Completed + In Call\ followed by \Completed + Closed\,Percentage of 'Completed + In Call' out of all 'Completed + Closed',0.02,
Frequency of \Completed + In Call\ in relation to all activities in the event log,Percentage of 'Completed + In Call' out of all cases,0.27,
Frequency of \Completed + In Call\ within the most common process variant,Percentage of 'Completed + In Call' out of all cases,0.27,
Percentage of \Completed + In Call\ activities that occur after \Accepted + Wait - User\,Percentage of 'Completed + In Call' out of all 'Accepted + Wait - User',0.04,
Number of \Completed + In Call\ activities that lead directly to case closure,Number of 'Completed + In Call' activities for cases where activity 'Completed + Closed' occurs,134,
Percentage of \Completed + In Call\ activities with a Medium or High impact,Percentage of 'Completed + In Call' out of all cases,0.19,
Frequency of \Completed + In Call\ as the final activity before \Completed + Closed\,Percentage of 'Completed + In Call' out of all 'Completed + Closed',0.02,
Percentage of \Completed + In Call\ activities initiated by \V30\ org:group,Percentage of 'Completed + In Call' out of all cases,0.0,
Number of \Completed + In Call\ activities performed by the top 5 resources,Number of 'Completed + In Call' activities == 'Top 5 Resources' where ma is the last value of org:resource,,
Percentage of \Completed + In Call\ out of all completed activities,Percentage of 'Completed + In Call' out of all 'Completed',,
Frequency of \Completed + In Call\ in cases with product \PROD582\,Percentage of 'Completed + In Call' out of all cases,0.25,
Percentage of \Completed + In Call\ activities by year,"ERROR: computing metric {'count': ""activity == 'Completed + In Call'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'year'}",,
Number of \Completed + In Call\ activities followed by any \Accepted + Wait\ activity,Number of 'Completed + In Call' activities for cases where activity 'Accepted + Wait' occurs,79,
Percentage of \Completed + In Call\ in the first half of the year vs the second half,Percentage of 'Completed + In Call' out of all cases,0.27,
