Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from Manuscript Export Succeeded to Plagiarism Originality Report Completed,The average of the duration between activity 'Manuscript Export Succeeded' and activity 'Plagiarism Originality Report Completed',1 days 12:03:25.602410,
Average time to complete Plagiarism Originality Report Completed after Original Manuscript Submission Confirmation,The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'Plagiarism Originality Report Completed',1 days 11:55:29.559524,
Total time spent on activities between Original Manuscript Submission Confirmation and Plagiarism Originality Report Completed,The sum of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'Plagiarism Originality Report Completed',125 days 17:41:23,
Average time between Plagiarism Originality Report Completed and SW-Checklist Completed,The average of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Checklist Completed',3 days 09:19:25.037037,
Total time from Plagiarism Originality Report Completed to SW-Awaiting AE Assignment,The sum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Awaiting AE Assignment',118 days 18:55:26,
Minimum time taken for Plagiarism Originality Report Completed across all cases,The minimum of the duration between activity Plagiarism Originality Report Completed and the end of the case,0 days 00:06:37,
Average time from Plagiarism Originality Report Completed to the first occurrence of SW-Reviewer Agreed,The average of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Reviewer Agreed',27 days 18:22:47.545455,
Total resolution time of Plagiarism Originality Report Completed for manuscripts that undergo SW-EIC Major Revision,The sum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-EIC Major Revision',1402 days 02:13:34,
Time from Plagiarism Originality Report Completed to Revised Manuscript Submission Confirmation in cases requiring major revisions,The average of the duration between activity 'Plagiarism Originality Report Completed' and activity 'Revised Manuscript Submission Confirmation',206 days 22:12:16.428571,
Average time between Plagiarism Originality Report Completed and SW-AE Assign Reviewers in the review process,The average of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-AE Assign Reviewers',27 days 03:04:48.863636,
Total time for completing Plagiarism Originality Report Completed in cases leading to SW-EIC Accept,The sum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-EIC Accept',27 days 02:16:23,
Minimum time from Plagiarism Originality Report Completed to SW-AE Assign Reviewers Challenge Paper for manuscripts with challenges,The minimum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-AE Assign Reviewers Challenge Paper',0 days 19:18:30,
Cycle Time of Plagiarism Originality Report Completed in the context of scientific paper review process,The sum of the duration between activity Plagiarism Originality Report Completed and the end of the case,9593 days 03:28:28,
Average time from Plagiarism Originality Report Completed to SW-EIC Reject & Resubmit decisions,"ERROR: computing metric {'begin': ""activity == 'Plagiarism Originality Report Completed'"", 'end': ""activity == 'SW-EIC Reject & Resubmit'"", 'aggregation': 'average'}",,
Total time from Plagiarism Originality Report Completed to the final decision by EIC across all variants,The sum of the duration between activity 'Plagiarism Originality Report Completed' and activity 'SW-Awaiting EIC Decision',3869 days 08:20:37,
