Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average duration of Accepted + Wait compared to Accepted + In Progress,The average of the duration between activity 'Accepted + Wait' and activity 'Accepted + In Progress',"15 days, 16:34:59.729426",
Time from Queued + Awaiting Assignment to start Accepted + Wait in the VINST problem management system,The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Accepted + Wait',,
Average time spent in Accepted + Wait after Completed + In Call in the Completed + In Call path,The average of the duration between activity 'Completed + In Call' and activity 'Accepted + Wait',"7 days, 0:16:36.037037",
Time until Accepted + Wait is performed since the start of the case,The average of the duration between the start of the case and activity 'Accepted + Wait',"7 days, 23:41:12.279821",
Time to Accepted + Wait since the Accepted + In Progress milestone,The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait',"7 days, 23:41:15.359712",
Total time from Accepted + Wait to Completed + Resolved in the problem management process,The sum of the duration between activity 'Accepted + Wait' and activity 'Completed + Resolved',,
Total duration of Accepted + Wait when followed by Completed + In Call,The sum of the duration between activity 'Accepted + Wait' and activity 'Completed + In Call',"364 days, 23:28:36",
Time between Accepted + Wait and Completed + In Call when both activities are performed,The average of the duration between activity 'Accepted + Wait' and activity 'Completed + In Call',"6 days, 21:16:23.320755",
Minimum time from Queued + Awaiting Assignment to start Accepted + Wait,The minimum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Accepted + Wait',0:00:04,
Time to Accepted + Wait since the Queued + Awaiting Assignment milestone in the variants with Completed + Resolved,The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Accepted + Wait',"9 days, 19:19:59.758255",
Total time from Accepted + Wait to Completed + In Call when the Completed + In Call activity is performed,The sum of the duration between activity Accepted + Wait and activity Completed + In Call for cases where activity Completed + In Call occurs,"364 days, 23:28:36",
Average duration of Accepted + Wait in the variants with Completed + In Call and Accepted + In Progress,The average of the duration between activity 'Accepted + Wait' and activity 'Completed + In Call',"6 days, 21:16:23.320755",
Time until Accepted + Wait is performed since the Queued + Awaiting Assignment milestone,The average of the duration between activity 'Queued + Awaiting Assignment' and activity 'Accepted + Wait',"9 days, 19:19:59.758255",
Average time spent in Accepted + Wait after Accepted + In Progress in the Completed + In Call path,The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait',"2 days, 22:30:52.278481",
Time to Accepted + Wait since the Completed + In Call milestone in the variants with Queued + Awaiting Assignment,The average of the duration between activity 'Completed + In Call' and activity 'Accepted + Wait',"6 days, 18:36:40.920000",
Total duration of Accepted + Wait compared to Queued + Awaiting Assignment in the problem management process,The sum of the duration between activity 'Queued + Awaiting Assignment' and activity 'Accepted + Wait',"8315 days, 2:36:35",
Time between Accepted + Wait and Queued + Awaiting Assignment when both activities are performed,The average of the duration between activity 'Accepted + Wait' and activity 'Queued + Awaiting Assignment',"9 days, 21:33:03.553360",
