Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time between 'SW-Initial Reviewer Selection' and 'SW-AE Assign Reviewers',The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-AE Assign Reviewers',22 days 01:24:45.088889,
Average time from 'SW-Initial Reviewer Selection' to 'SW-Reviewer Agreed',The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Agreed',22 days 22:25:11.955556,
Average time 'SW-Initial Reviewer Selection' takes after the execution of 'Original Manuscript Submission Confirmation',The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Initial Reviewer Selection',9 days 06:14:28.525424,
Average time 'SW-Initial Reviewer Selection' takes before 'SW-AE Assign Reviewers',The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-AE Assign Reviewers',22 days 01:24:45.088889,
Average time until 'SW-AE Assign Reviewers' is performed since 'SW-Initial Reviewer Selection',The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-AE Assign Reviewers',22 days 01:24:45.088889,
Total time from 'Original Manuscript Submission Confirmation' to 'SW-Reviewer Agreed' through 'SW-Initial Reviewer Selection',The sum of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Reviewer Agreed',1268 days 22:30:07,
Total time 'SW-Initial Reviewer Selection' takes to be done compared to 'Manuscript Export Succeeded',The sum of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Initial Reviewer Selection',544 days 15:42:27,
Time 'SW-Initial Reviewer Selection' takes to be done since 'Manuscript Export Succeeded' is performed,The sum of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Initial Reviewer Selection',544 days 15:42:27,
Average time from 'SW-Awaiting Checklist Completion' to 'SW-Initial Reviewer Selection',The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Initial Reviewer Selection',9 days 07:48:00.137931,
Average time from 'SW-Initial Reviewer Selection' to 'SW-Reviewer Selection is due in 1 week',The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Selection is due in 1 week',2 days 21:41:50.452381,
Total time between 'SW-Initial Reviewer Selection' and 'SW-Reviewer Declined',The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Declined',567 days 13:22:58,
Average time from 'SW-Initial Reviewer Selection' to 'RW-Initial Reviewer Selection',The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'RW-Initial Reviewer Selection',166 days 10:19:25.761905,
Average time 'SW-Initial Reviewer Selection' takes compared to 'SW-Checklist Completed',The average of the duration between activity 'SW-Checklist Completed' and activity 'SW-Initial Reviewer Selection',4 days 04:26:12.482759,
Total time 'SW-Initial Reviewer Selection' takes to be done compared to 'SW-Reviewer Unavailable',The sum of the duration between activity 'SW-Reviewer Unavailable' and activity 'SW-Initial Reviewer Selection',,
Total time 'SW-Initial Reviewer Selection' takes compared to 'Co-Author Account Created During Manuscript Submission',The sum of the duration between activity 'Co-Author Account Created During Manuscript Submission' and activity 'SW-Initial Reviewer Selection',455 days 03:41:42,
Time 'SW-Initial Reviewer Selection' takes to be done since 'SW-Awaiting Checklist Completion' is performed,The sum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Initial Reviewer Selection',540 days 20:24:08,
Total time 'SW-Initial Reviewer Selection' takes to be done compared to the average time of 'SW-AE Assign Reviewers',The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Initial Reviewer Selection',,
Average time 'SW-Initial Reviewer Selection' takes to be done compared to 'SW-Reviewer Unavailable',The average of the duration between activity 'SW-Reviewer Unavailable' and activity 'SW-Initial Reviewer Selection',,
Total time 'SW-Initial Reviewer Selection' takes compared to 'Original Manuscript Submission Confirmation',The sum of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Initial Reviewer Selection',546 days 08:14:03,
Total time from 'Original Manuscript Submission Confirmation' to 'SW-AE Assign Reviewers' through 'SW-Initial Reviewer Selection',The sum of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-AE Assign Reviewers',1240 days 21:41:43,
Time 'SW-Initial Reviewer Selection' takes compared to 'SW-Checklist Completed',The sum of the duration between activity 'SW-Checklist Completed' and activity 'SW-Initial Reviewer Selection',242 days 17:20:04,
Average time 'SW-Initial Reviewer Selection' takes to be done since 'SW-Awaiting Checklist Completion' is performed,The average of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'SW-Initial Reviewer Selection',9 days 07:48:00.137931,
Total time 'SW-Initial Reviewer Selection' takes compared to 'SW-Reviewer Selection is due in 3 days',The sum of the duration between activity 'SW-Reviewer Selection is due in 3 days' and activity 'SW-Initial Reviewer Selection',,
Time from 'Original Manuscript Submission Confirmation' to 'SW-Initial Reviewer Selection',The sum of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Initial Reviewer Selection',546 days 08:14:03,
Total time 'SW-Initial Reviewer Selection' takes compared to 'RW-Initial Reviewer Selection',The sum of the duration between activity 'RW-Initial Reviewer Selection' and activity 'SW-Initial Reviewer Selection',,
Average time 'SW-Initial Reviewer Selection' takes compared to 'SW-AE Assign Reviewers',The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Initial Reviewer Selection',,
