Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'SW-AE Assign Reviewers' to 'SW-Reviewer Agreed',The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed',17 days 10:02:14.444444,
Average time between 'Reviewer Invitation Reminder 1' and 'SW-Reviewer Agreed',The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed',13 days 08:15:45.025641,
Average time until 'SW-Reviewer Agreed' is performed after 'SW-AE Assign Reviewers',The average of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed',17 days 10:02:14.444444,
Average time to 'SW-Reviewer Agreed' grouped by 'case:concept:name',"ERROR: computing metric {'begin': ""activity == 'SW-AE Assign Reviewers'"", 'end': ""activity == 'SW-Reviewer Agreed'"", 'aggregation': 'average', 'group_by': 'case:concept:name'}",,
Total time from 'SW-AE Assign Reviewers' to 'SW-Reviewer Agreed' for all cases,The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed',783 days 19:40:50,
Total time since 'Reviewer Invitation Reminder 1' until 'SW-Reviewer Agreed',The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed',520 days 10:14:16,
Minimum time between 'SW-AE Assign Reviewers' and 'SW-Reviewer Agreed',The minimum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed',0 days 00:00:44,
Average waiting time to the 'SW-Reviewer Agreed' after 'Reviewer Invitation Reminder 2',The average of the duration between activity 'Reviewer Invitation Reminder 2' and activity 'SW-Reviewer Agreed',15 days 19:37:58.440000,
Total resolution time of 'SW-Reviewer Agreed' from the first 'SW-AE Assign Reviewers',The sum of the duration between activity 'SW-AE Assign Reviewers' and activity 'SW-Reviewer Agreed',783 days 19:40:50,
Average time it takes from 'SW-Reviewer Agreed' to 'SW-Awaiting EIC Decision',The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting EIC Decision',71 days 15:01:45.488889,
Total time for 'SW-Reviewer Agreed' across all cases,The sum of the duration between activity SW-Reviewer Agreed and the end of the case,7629 days 07:21:21,
Minimum time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Agreed',The minimum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed',0 days 00:10:02,
Average time from 'SW-Reviewer Agreed' to the next activity in the process,The average of the duration between activity SW-Reviewer Agreed and the end of the case,165 days 20:30:27.847826,
Total time it takes from 'SW-Reviewer Agreed' to 'SW-AE Assign Reviewers' in the case of reassignment,The sum of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-AE Assign Reviewers',560 days 01:35:40,
Minimum resolution time of 'SW-Reviewer Agreed' in the context of the entire review process,The minimum of the duration between activity SW-Reviewer Agreed and the end of the case,44 days 09:23:04,
Average time to 'SW-Reviewer Agreed' from 'SW-Reviewer Selection is now due',The average of the duration between activity 'SW-Reviewer Selection is now due' and activity 'SW-Reviewer Agreed',24 days 22:51:40.500000,
Total time from 'SW-Reviewer Agreed' to 'SW-Awaiting AE Recommendation',The sum of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting AE Recommendation',1617 days 20:02:57,
Average time between 'SW-Reviewer Agreed' and 'SW-EIC Major Revision' in cases leading to major revisions,The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-EIC Major Revision',84 days 22:59:36.928571,
Minimum time it takes the 'SW-Reviewer Agreed' to be followed by 'Reviewer Invitation Reminder 1' in cases of additional reminders,The minimum of the duration between activity 'SW-Reviewer Agreed' and activity 'Reviewer Invitation Reminder 1',1 days 01:34:37,
