Name;Metric;Value;Agrupation
Average time from SW-Initial Reviewer Selection to SW-Reviewer Agreed;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Agreed';22.93 days;
Average time between SW-Initial Reviewer Selection and SW-AE Assign Reviewers;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-AE Assign Reviewers';22.06 days;
Average time until SW-Initial Reviewer Selection is performed after SW-Checklist Completed;The average of the duration between activity 'SW-Checklist Completed' and activity 'SW-Initial Reviewer Selection';4.18 days;
Average waiting time to SW-Initial Reviewer Selection after SW-Awaiting AE Assignment;The average of the duration between activity 'SW-Awaiting AE Assignment' and activity 'SW-Initial Reviewer Selection';19.22 hours;
Total time from SW-Initial Reviewer Selection to first SW-AE Assign Reviewers;The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-AE Assign Reviewers';992.65 days;
Total time between SW-Initial Reviewer Selection and SW-Reviewer Selection is due in 1 week;The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Selection is due in 1 week';121.97 days;
Minimum time from SW-Initial Reviewer Selection to SW-Reviewer Agreed;The minimum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Agreed';14.41 hours;
Minimum time between SW-Initial Reviewer Selection and SW-AE Assign Reviewers;The minimum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-AE Assign Reviewers';30.88 minutes;
Time until SW-Initial Reviewer Selection from manuscript submission confirmation;The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'SW-Initial Reviewer Selection';9.26 days;
Time from SW-Initial Reviewer Selection to final reviewer assignment completion;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-AE Assign Reviewers';22.06 days;
SW-Initial Reviewer Selection Cycle Time;The average of the duration between activity SW-Initial Reviewer Selection and the end of the case;148.97 days;
Average time difference between SW-Initial Reviewer Selection and SW-Reviewer Selection is due in 1 week;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Selection is due in 1 week';2.90 days;
Total time from SW-Initial Reviewer Selection to SW-Reviewer Selection is now due;The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Selection is now due';144.90 days;
Average time from SW-Initial Reviewer Selection to first reviewer response (SW-Reviewer Agreed or SW-Reviewer Declined);The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Agreed';23.37 days;
Time between SW-Initial Reviewer Selection and SW-Reviewer Selection is 3 days late;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Selection is 3 days late';13.83 days;
Average duration of SW-Initial Reviewer Selection compared to SW-AE Assign Reviewers;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-AE Assign Reviewers';22.06 days;
Total time from SW-Initial Reviewer Selection to SW-Awaiting EIC Decision;The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Awaiting EIC Decision';3667.51 days;
Minimum time from SW-Initial Reviewer Selection to Reviewer Invitation Reminder 1;The minimum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'Reviewer Invitation Reminder 1';2.70 days;
Time from SW-Initial Reviewer Selection to SW-Reviewer Selection is 1 week late;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Selection is 1 week late';18.26 days;
Average time difference between SW-Initial Reviewer Selection duration and Plagiarism Originality Report Completed duration;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'Plagiarism Originality Report Completed';;
Total time from SW-Initial Reviewer Selection to final review completion;The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Awaiting EIC Decision';3667.51 days;
Time between SW-Initial Reviewer Selection and first reviewer invitation activity;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'Reviewer Invitation Reminder 1';69.12 days;
Average time from SW-Initial Reviewer Selection to SW-EIC Major Revision decision;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-EIC Major Revision';95.51 days;
SW-Initial Reviewer Selection processing time compared to Manuscript Export Succeeded;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'Manuscript Export Succeeded';258.84 days;
Total time from SW-Initial Reviewer Selection to Revised Manuscript Submission Confirmation;The sum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'Revised Manuscript Submission Confirmation';3494.53 days;
Time between SW-Initial Reviewer Selection and SW-Awaiting AE Recommendation;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Awaiting AE Recommendation';51.70 days;
Average duration of SW-Initial Reviewer Selection relative to overall review process duration;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Awaiting EIC Decision';63.23 days;
Minimum time from SW-Initial Reviewer Selection to RW-Initial Reviewer Selection;The minimum of the duration between activity 'SW-Initial Reviewer Selection' and activity 'RW-Initial Reviewer Selection';15.06 days;
Time from SW-Initial Reviewer Selection to SW-Reviewer Unavailable occurrence;The average of the duration between activity 'SW-Initial Reviewer Selection' and activity 'SW-Reviewer Unavailable';15.64 days;
Average time for SW-Initial Reviewer Selection grouped by case variant;The average of the duration between activity SW-Initial Reviewer Selection and the end of the case;148.97 days;
