Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from Manuscript Export Succeeded to SW-Reviewer Agreed,The average of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Reviewer Agreed',29 days 06:13:33.976744,
Average time from Original Manuscript Submission Confirmation to Manuscript Export Succeeded,The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'Manuscript Export Succeeded',74 days 15:52:58.430233,
Total time from Manuscript Export Succeeded to Plagiarism Originality Report Completed,The sum of the duration between activity 'Manuscript Export Succeeded' and activity 'Plagiarism Originality Report Completed',124 days 16:44:25,
Minimum time from Manuscript Export Succeeded to SW-Awaiting AE Assignment,The minimum of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Awaiting AE Assignment',0 days 01:07:07,
Average time for Manuscript Export Succeeded across all cases,The average of the duration between activity Manuscript Export Succeeded and the end of the case,103 days 19:31:48.505618,
Total time for Manuscript Export Succeeded in the review process of scientific papers,The sum of the duration between activity Manuscript Export Succeeded and the end of the case,9239 days 10:10:57,
Average time between Manuscript Export Succeeded and SW-Checklist Completed,The average of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Checklist Completed',4 days 11:28:45.975309,
Minimum time until Manuscript Export Succeeded after SW-Awaiting Checklist Completion,The minimum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Manuscript Export Succeeded',0 days 00:00:08,
Total resolution time of Manuscript Export Succeeded in cases leading to SW-EIC Reject,The sum of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-EIC Reject',917 days 08:38:52,
Average time it takes Manuscript Export Succeeded to be done before SW-AE Assign Reviewers,The average of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-AE Assign Reviewers',28 days 17:27:04.046512,
Total time from Manuscript Export Succeeded to the first occurrence of Reviewer Invitation Reminder 1,The sum of the duration between activity 'Manuscript Export Succeeded' and activity 'Reviewer Invitation Reminder 1',2955 days 19:33:56,
Minimum time from Manuscript Export Succeeded to Revised Manuscript Submission Confirmation in cases of major revision,The minimum of the duration between activity 'Manuscript Export Succeeded' and activity 'Revised Manuscript Submission Confirmation',100 days 20:56:12,
Average time between Manuscript Export Succeeded and SW-AE Assign Reviewers in the longest process variant,The average of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-AE Assign Reviewers',,
Total time for Manuscript Export Succeeded in processes ending with SW-EIC Accept,The sum of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-EIC Accept',63 days 02:21:54,
Average time from Manuscript Export Succeeded to SW-AE Recommendation in processes requiring major revision,The average of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-AE Recommendation',,
