Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of 'Completed + Resolved' activities out of all incident management activities.,Percentage of 'Completed + Resolved' out of all cases where 'Unmatched + Unmatched' does not happen,0.75,
Number of 'Completed + Resolved' activities that are preceded by 'Queued + Awaiting Assignment'.,Number of 'Completed + Resolved' activities for cases where activity 'Queued + Awaiting Assignment' occurs,4908,
Percentage of 'Completed + Resolved' activities that lead to 'Completed + Closed'.,Percentage of 'Completed + Resolved' out of all 'Completed + Closed',1.0,
Frequency of 'Completed + Resolved' per month over the total event log period.,"ERROR: computing metric {'count': ""activity == 'Completed + Resolved'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'month'}",,
Number of 'Completed + Resolved' activities that occur after 'Accepted + Wait - User'.,Number of 'Completed + Resolved' activities for cases where activity 'Accepted + Wait - User' occurs,2728,
Percentage of 'Completed + Resolved' activities that are not followed by any other activity.,Percentage of 'Completed + Resolved' out of all 'Completed + Closed',1.0,
Percentage of 'Completed + Resolved' activities with a performance above the average of all activities.,"ERROR: computing metric {'count': ""activity == 'Completed + Resolved'"", 'metric_condition': '> average', 'aggregation': 'percentage', 'filter': ""activity != 'Unmatched + Unmatched'""}",,
Number of 'Completed + Resolved' activities that are followed by 'Completed + Closed' within 24 hours.,Number of 'Completed + Resolved' activities for cases where activity 'Completed + Closed' occurs,6014,
Percentage of 'Completed + Resolved' activities that occur in cases with a product related to 'PROD582'.,Percentage of 'Completed + Resolved' out of all cases,0.75,
Number of 'Completed + Resolved' activities that are part of incidents reported from France.,Number of 'Completed + Resolved' activities == 'France' where ma is the last value of resource country,5,
"Frequency of 'Completed + Resolved' in relation to all completed activities (including 'Completed + Closed', 'Completed + In Call', etc.).",Percentage of 'Completed + Resolved' out of all cases where 'Unmatched + Unmatched' does not happen,0.75,
Percentage of 'Completed + Resolved' activities that lead to a re-opening of the incident (followed by 'Accepted + In Progress').,Percentage of 'Completed + Resolved' out of all 'Accepted + In Progress',0.75,
Number of 'Completed + Resolved' activities that occur after 'Accepted + Wait - Vendor'.,Number of 'Completed + Resolved' activities for cases where activity 'Accepted + Wait - Vendor' occurs,288,
Percentage of 'Completed + Resolved' activities within incidents that have a duration longer than the average duration of all incidents.,"ERROR: computing metric {'count': ""activity == 'Completed + Resolved'"", 'metric_condition': '> average', 'aggregation': 'percentage', 'filter': ""activity != 'Unmatched + Unmatched'""}",,
Frequency of 'Completed + Resolved' in incidents involving 'PROD321' compared to other products.,Percentage of 'Completed + Resolved' out of all cases,0.52,
"Number of 'Completed + Resolved' activities that are immediately followed by customer feedback (e.g., 'Accepted + Wait - Customer').",Number of 'Completed + Resolved' activities for cases where activity 'Accepted + Wait - Customer' occurs,96,
